_country,category,data,scraped_at,url
SA,health-care,"{""Name"": ""Qasr Al Raed Medical Clinic King Fahd Riyadh"", ""Phone_1"": ""+966 112690606"", ""Location"": ""Prince Naif Street, King Fahd Dist., Riyadh, King Fahd Dist., Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""Prince Naif Street"", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Qasr Al Raed Medical Clinic King Fahd Riyadh""}",2026-04-14T20:27:15.216665+00:00,https://arablocal.com/business/view/qasr-al-raed-medical-clinic-king-fahd-riyadh
SA,health-care,"{""Name"": ""Ssent Herbal Clinic"", ""Location"": ""38 debi nabas road, Riyadh Area, Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""38 debi nabas road"", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Traditional healing by African traditional healer Chief Dembe who has traditional muti, traditional spells casting, traditional herbal remedies & divination to assist humanity resolve problems in their lives by getting in touch with the ancestral spirits SSENT Herbal and Therapy is the home of traditional medicine, spell casting, muti, herbs and herbal therapies that work to cure any disease, illness or solve any problem. Traditional healer to help you get back with a ex lover, traditional he...""}",2026-04-14T20:27:14.432586+00:00,https://arablocal.com/business/view/ssent-herbal-clinic
SA,health-care,"{""Name"": ""ShieldMe"", ""Email"": ""info@shieldmeglobal.com"", ""Location"": ""Exit 18, Istanbul Street, Al Fouzan Industrial Area, Sulayil, Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""Exit 18"", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""SHIELDme™ is the home of a market-leading formula that is designed to destroy viruses and germs in an incredibly effective yet safe manner. Following the outbreak of Covid 19, the world has had to adapt to a new way of living. The KSA, like most countries around the globe, have implemented certain measures to keep their citizens safe. SHIELDme™ is playing a role in this, too, as our experts have created a formula that is safe for humans and the environment. The substance contains natural elem..."", ""Website"": ""http://www.ksa.shieldmeglobal.com/"", ""Facebook"": ""https://www.facebook.com/Shieldmeglobal-102961727986019"", ""Instagram"": ""https://www.instagram.com/shieldmeglobal/"", ""LinkedIn"": ""https://www.linkedin.com/company/shieldme%E2%84%A2-global/"", ""Twitter"": ""https://twitter.com/ShieldmeGlobal"", ""YouTube"": ""https://www.youtube.com/channel/UCBE0j73EdhG4nbcNACasikQ""}",2026-04-14T20:27:14.378894+00:00,https://arablocal.com/business/view/shieldme
SA,health-care,"{""Name"": ""Turki Medical Clinic Complex"", ""Phone_1"": ""+966 127441111"", ""Location"": ""Al Shuhdah Dist., Taif, Al Shuhdah Dist., Taif, Makkah Province, Saudi Arabia"", ""Area"": ""Al Shuhdah Dist."", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Turki Medical Clinic Complex""}",2026-04-14T20:27:14.177178+00:00,https://arablocal.com/business/view/turki-medical-clinic-complex
SA,health-care,"{""Name"": ""Sarabeel Commercial Est."", ""Phone_1"": ""+966 126572246"", ""Location"": ""Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia"", ""Area"": ""Sharafiyah Dist."", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Sarabeel Commercial Est.""}",2026-04-14T20:27:13.256226+00:00,https://arablocal.com/business/view/sarabeel-commercial-est
SA,health-care,"{""Name"": ""White Wing Medical Center"", ""Phone_1"": ""+966 114834286"", ""Location"": ""West Of National Commercial Bank, Takhassusi St., Riyadh, Takhassusi St., Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""West Of National Commercial Bank"", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""White Wing Medical Center""}",2026-04-14T20:27:13.232922+00:00,https://arablocal.com/business/view/white-wing-medical-center
SA,health-care,"{""Name"": ""Thyrocare Gulf"", ""Email"": ""thyrocaregulf8@gmail.com"", ""Location"": ""43, Bldg No.737, Road 1510, BIIP, Al Ewaiqilah, Arar City, Northern Borders Province, Saudi Arabia"", ""Area"": ""43"", ""Governorate"": ""Northern Borders Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Thyrocare is Bahrain fully automated diagnostic laboratory with a focus on providing quality at affordable costs to laboratories and hospitals in Bahrain and other countries. We have focus on strong technologies, strong brands and strong systems that enable all laboratories to give their clients the best of science and technology at an affordable cost. With a belief that 'Quality' is the heart of any intelligent management, Thyrocare became one of the first Indian diagnostic laboratories to o..."", ""Website"": ""http://thyrocaregulf.com/"", ""Facebook"": ""https://www.facebook.com/thyrocaregulf/"", ""LinkedIn"": ""https://www.linkedin.com/company/thyrocare-gulf"", ""Twitter"": ""https://twitter.com/thyrocare_gulf""}",2026-04-14T20:27:13.121366+00:00,https://arablocal.com/business/view/thyrocare-gulf
SA,health-care,"{""Name"": ""Thanaya Clinic Dental Clinics Batha Quraish Mecca"", ""Phone_1"": ""+966 125660036"", ""Location"": ""Batha Quraish, Makkah Al Mukarrmah, Batha Quraish, Mecca, Makkah Province, Saudi Arabia"", ""Area"": ""Batha Quraish"", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Thanaya Clinic Dental Clinics Batha Quraish Mecca"", ""Facebook"": ""https://www.facebook.com/pages/category/Hospital/Thanaya-Clinic-227470230602758/""}",2026-04-14T20:27:13.082256+00:00,https://arablocal.com/business/view/thanaya-clinic-dental-clinics-batha-quraish-mecca
SA,health-care,"{""Name"": ""Ram Dental And Orthodontic Clinics Dammam"", ""Phone_1"": ""+966 138425701"", ""Location"": ""Othman Ibn Affan Street, Al Murakbat Dist., Dammam, Al Murakbat Dist., Dammam, Eastern Province, Saudi Arabia"", ""Area"": ""Othman Ibn Affan Street"", ""Governorate"": ""Eastern Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Ram Dental And Orthodontic Clinics Dammam"", ""Website"": ""http://ramclinics.net/"", ""Facebook"": ""https://www.facebook.com/RamClinics/"", ""Instagram"": ""https://www.instagram.com/ramclinics/"", ""LinkedIn"": ""https://www.linkedin.com/company/13197747/"", ""Twitter"": ""https://twitter.com/ramclinics"", ""YouTube"": ""https://www.youtube.com/channel/UCfLOECTggBtJ0L4LZ7b0FFw""}",2026-04-14T20:27:11.922990+00:00,https://arablocal.com/business/view/ram-dental-and-orthodontic-clinics-dammam
SA,health-care,"{""Name"": ""Saba Clinics - Al Bawadei Jeddah"", ""Phone_1"": ""+966 126547842"", ""Location"": ""West Of Siteen Street, Al Bawadei Dist., Jeddah, Al Bawadei Dist., Jeddah, Makkah Province, Saudi Arabia"", ""Area"": ""West Of Siteen Street"", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Saba Clinics - Al Bawadei Jeddah"", ""Website"": ""http://sabamedical.com/"", ""Facebook"": ""https://www.facebook.com/pages/Saba-Medical-%D8%B3%D8%A7%D8%A8%D8%A7-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9/189169524447356"", ""Instagram"": ""https://www.instagram.com/sabamedical/?hl=en"", ""LinkedIn"": ""https://www.linkedin.com/company/saba-clinics/"", ""Twitter"": ""https://twitter.com/SABAMEDICAL"", ""YouTube"": ""https://www.youtube.com/user/SABAMEDICALKSA""}",2026-04-14T20:27:11.831356+00:00,https://arablocal.com/business/view/saba-clinics-al-bawadei-jeddah
SA,health-care,"{""Name"": ""Wajha Specialist Medical Complex"", ""Phone_1"": ""+966 505825059"", ""Phone_2"": ""+966 138327139"", ""Location"": ""Al Rowadh Dist., Dammam, Al Rowadh Dist., Dammam, Eastern Province, Saudi Arabia"", ""Area"": ""Al Rowadh Dist."", ""Governorate"": ""Eastern Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Wajha Specialist Medical Complex""}",2026-04-14T20:27:11.809303+00:00,https://arablocal.com/business/view/wajha-specialist-medical-complex
SA,health-care,"{""Name"": ""Shifa Al Bawadi Medical Services Co."", ""Phone_1"": ""+966 126625908"", ""Location"": ""Rabwa Dist., Jeddah, Rabwa Dist., Jeddah, Makkah Province, Saudi Arabia"", ""Area"": ""Rabwa Dist."", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Shifa Al Bawadi Medical Services Co.""}",2026-04-14T20:25:55.577890+00:00,https://arablocal.com/business/view/shifa-al-bawadi-medical-services-co
SA,health-care,"{""Name"": ""Shifa Al Baraka Medical Center"", ""Phone_1"": ""+966 125479000"", ""Location"": ""Biban Dist., Makkah Al Mukarrmah, Biban Dist., Mecca, Makkah Province, Saudi Arabia"", ""Area"": ""Biban Dist."", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Shifa Al Baraka Medical Center""}",2026-04-14T20:25:51.743179+00:00,https://arablocal.com/business/view/shifa-al-baraka-medical-center
SA,health-care,"{""Name"": ""Shifa Jeddah Polyclinic And Diagnostic Center"", ""Phone_1"": ""+966 126533636"", ""Location"": ""King Khalid Street, Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia"", ""Area"": ""King Khalid Street"", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Shifa Jeddah Polyclinic And Diagnostic Center""}",2026-04-14T20:25:51.258640+00:00,https://arablocal.com/business/view/shifa-jeddah-polyclinic-and-diagnostic-center
SA,health-care,"{""Name"": ""Saudi Health Services Institute Madinah Road Jeddah"", ""Phone_1"": ""+966 126974451"", ""Location"": ""Madinah Road, Jeddah, Madinah Road, Jeddah, Makkah Province, Saudi Arabia"", ""Area"": ""Madinah Road"", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Saudi Health Services Institute Madinah Road Jeddah"", ""Website"": ""http://www.saudihealth.biz/"", ""Facebook"": ""https://www.facebook.com/Saudi-Health-Services-Company-Ltd-193701377380627/""}",2026-04-14T20:25:50.821060+00:00,https://arablocal.com/business/view/saudi-health-services-institute-madinah-road-jeddah
SA,health-care,"{""Name"": ""Sahaj Medical Clinic"", ""Phone_1"": ""+966 112450683"", ""Location"": ""Al Jonadriyah, Riyadh, Al Jonadriyah, Riyadh, Riyadh Province, Saudi Arabia"", ""Area"": ""Al Jonadriyah"", ""Governorate"": ""Riyadh Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Sahaj Medical Clinic""}",2026-04-14T20:25:50.580211+00:00,https://arablocal.com/business/view/sahaj-medical-clinic
SA,health-care,"{""Name"": ""Chronic Care Specialty Hospital"", ""Phone_1"": ""+966 126180600"", ""Phone_2"": ""+966 536534791"", ""Location"": ""Hamza Shahta Street, Baghdadiya Al Gharbiya, Al Baghdadiyah Dist., Jeddah, Makkah Province, Saudi Arabia"", ""Area"": ""Hamza Shahta Street"", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Chronic Care Specialty Hospital is the first transitional care hospital in the Kingdom of Saudi Arabia. Adapted from the western model of holistic care approach, transitional care offers smooth and carefully planned movement of a patient from a tertiary hospital to a more relaxed level of care, in a transitional care hospital offering long term healing and care.Most of such patients are chronic patients that have undergone a procedure at a tertiary hospital and now require a specialized healt..."", ""Website"": ""http://www.chroniccare.sa/"", ""Facebook"": ""https://www.facebook.com/chroniccareksa/"", ""Instagram"": ""https://instagram.com/chroniccareksa/"", ""LinkedIn"": ""https://www.linkedin.com/company/chroniccare/"", ""Twitter"": ""https://twitter.com/chroniccareksa/""}",2026-04-14T19:33:45.576142+00:00,https://arablocal.com/business/view/chronic-care-specialty-hospital
SA,health-care,"{""Name"": ""Your Health Medical Clinic Taif"", ""Phone_1"": ""+966 127499099"", ""Location"": ""Al Washha Dist., Taif, Al Washha Dist., Taif, Makkah Province, Saudi Arabia"", ""Area"": ""Al Washha Dist."", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Your Health Medical Clinic Taif""}",2026-04-14T19:33:45.280336+00:00,https://arablocal.com/business/view/your-health-medical-clinic-taif
SA,health-care,"{""Name"": ""Shifa Al Munthaza Polyclinic"", ""Phone_1"": ""+966 122620501"", ""Location"": ""Al Muntzhat Dist., Jeddah, Al Muntzhat Dist., Jeddah, Makkah Province, Saudi Arabia"", ""Area"": ""Al Muntzhat Dist."", ""Governorate"": ""Makkah Province"", ""Country"": ""Saudi Arabia"", ""About"": ""Shifa Al Munthaza Polyclinic""}",2026-04-14T19:33:45.164949+00:00,https://arablocal.com/business/view/shifa-al-munthaza-polyclinic
