Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/aramex-warehouse
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-huda-tower
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/123-facility-management
Al Faisal International Business Security and Services,+974 44823937,,,"Al Jazira Al Arabiya St, Doha",Al Jazira Al Arabiya St,,Qatar,Al Faisal International Business Security and Services,,,2903,https://qatar.arablocal.com/business/view/al-faisal-international-business-security-and-services
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/asklan-trading-and-agriculture-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/dahra-global-technologies-and-consultancy-services-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/aamal-services-office
CEC QATAR CONFIDENT ENGINEERING and CONSTRUCTION WLL,+974 44887936,,,Doha,,,Qatar,CEC QATAR CONFIDENT ENGINEERING and CONSTRUCTION WLL,,,2391,https://qatar.arablocal.com/business/view/cec-qatar-confident-engineering-and-construction-wll
Qatar Canadian Co For Nurseries and Ornamental Plants,+974 44872352,+974 74496039,,"Ahmed Bin Ali St. Town Center? Entrance #3, 1st Floor? P.O.Box 24011? Doha, Qatar",Ahmed Bin Ali St. Town Center? Entrance #3,1st Floor? P.O.Box 24011? Doha,Qatar,Qatar Canadian Co For Nurseries and Ornamental Plants,,,2375,https://qatar.arablocal.com/business/view/qatar-canadian-co-for-nurseries-and-ornamental-plants
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/adastra-wll
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-kaun-telecoms
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-darwish-engineering-1
Al Nakheel Agriculture and Trading Wll,+974 44085333,,,"Al Muftah Plaza, 2nd FloorCorner, Al Rayyan RoadDoha, Qata P.O.Box 8873",Al Muftah Plaza,Al Rayyan RoadDoha,Qatar,Al Nakheel Agriculture and Trading Wll,,,1893,https://qatar.arablocal.com/business/view/al-nakheel-agriculture-and-trading-wll
Al Fadaa Sponge and Plastic Factory,+974 44142159,,,"Main Road Industrial Area Rd, Doha",Main Road Industrial Area Rd,,Qatar,Al Fadaa Sponge and Plastic Factory,,0,1880,https://qatar.arablocal.com/business/view/al-fadaa-sponge-and-plastic-factory
Aktor Qatar Head Office,+974 44109200,,,"New Salata complex, Office no 21, PO Box 37108, Doha, Qatar",New Salata complex,Doha,Qatar,Aktor Qatar Head Office,http://www.aktor.gr,,3047,https://qatar.arablocal.com/business/view/aktor-qatar-head-office
LINC Facility Services,+974 55031835,,,"Office No.4 , Floor No1, Building No1 (Al Emadi Building), C-Ring Road (Opposite Holiday Villa)? Doha, Qatar",Office No.4,C-Ring Road (Opposite Holiday Villa)? Doha,Qatar,"Building value. It’s your focus for your business. And it’s ABM’s priority for your facility. When everything is clean and comfortable – and your critical infrastructure runs smoothly – your business and everyone involved can thrive. There’s a reason why more than half of the Fortune 500 companies rely on ABM. We have the experience, technology, capabilities, and dedication to care for the people, places, and spaces that matter to you.",http://www.abm.com,,2737,https://qatar.arablocal.com/business/view/linc-facility-services-1
AL JOUD PLASTIC and CHARCOAL FACTORY,+974 44415159,,,Ar-Rayyan,,,Qatar,AL JOUD PLASTIC and CHARCOAL FACTORY,http://www.aljoudqatar.com,,2609,https://qatar.arablocal.com/business/view/al-joud-plastic-and-charcoal-factory
Associated Engineering Trading and Contracting WLL AETC,+974 44353636,,info@aetc-group.com,"Al Ezz Tower-4, 8th Floor,Office - 82 Al Aaliya StreetDoha - Qatar PO Box 30404",Al Ezz Tower-4,8th Floor,Qatar,"Associated Engineering exists to provide quality services and make our candidates, clients and industry successful through determination, creativity and passion for boosting business productivity",http://www.aetc-group.com,,2115,https://qatar.arablocal.com/business/view/associated-engineering-trading-and-contracting-wll-aetc
Alshaya Group,+974 44528444,,,Doha,,,Qatar,Alshaya Group,http://www.alshaya.com,,1933,https://qatar.arablocal.com/business/view/alshaya-group
BU MATAR GERMAN FACTORY FOR PLASTIC PRODUCTS,+974 44444856,,,"New Industrial Area ZO 81 ST 1 GAT 230, Doha",New Industrial Area ZO 81 ST 1 GAT 230,,Qatar,BU MATAR GERMAN FACTORY FOR PLASTIC PRODUCTS,http://www.bgfplast.com,,1876,https://qatar.arablocal.com/business/view/bu-matar-german-factory-for-plastic-products
