Name,Phone_1,Phone_2,Phone_3,WhatsApp,Email,Location,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Barracuda Dive Center,+96565998266,,,,,Surra,Capital Governorate,Kuwait,مركزبركودا دايف سنتر للغوص الترفيهي والتقني,,https://kuwaitlocal.com/business/barracuda-dive-center,,,,,
The One Dive Swim Academy Center,+96555599001,+96566069977,,,,Hawally,Hawalli Governorate,Kuwait,The One Dive Swim Academy Providing Following Things: .Swimming Pool . Men-Swimming Classes . Swimming Pool for kids .Women-Swimming Classes . Scuba Diving,,https://kuwaitlocal.com/business/the-one-dive-swim-academy-center,,,,https://twitter.com/Theone_Center,
Alboom Marine Scuba Dive Center,+96566203000,,,,,Kuwait City,Capital Governorate,Kuwait,Diving Center Marine Album Company For Marine Trips For Individuals And families As well As Diving Education.,,https://kuwaitlocal.com/business/alboom-marine-scuba-dive-center,,https://www.instagram.com/alboom_dive_center/,,,
Omega Sports Academy,+96599391239,+96550511550,,,,"Qadsiya Sports Club,Baghdad Street,Hawally",Hawalli Governorate,Kuwait,"Omega Academy swimming is a subsidiary of Omega sports academies in Kuwait specialized in the management and operation of swimming pools programs and have the Academy was established at the beginning of July 2013 and includes a selection of trainers outstanding in the State of Kuwait and the Arab world, ""more than 30 coaches,"" the Academy is interested in education and training of swimming and water polo for all Sunni ages from the beginning of the year of age and even older and the academic ...",,https://kuwaitlocal.com/business/omega-sports-academy,https://www.facebook.com/Omega-Sports-Academy-1856767097871012/,,,,https://www.youtube.com/channel/UCiml1om3x5sSwizk5kTCAzw
Banana Leaves Coffee Shope,+96594180110,,,,,"shalimya,Kuwait City",Capital Governorate,Kuwait,Love at first sip Banana Leaves Coffee Coffee Shop.,,https://kuwaitlocal.com/business/banana-leaves-coffee-shope,,https://www.instagram.com/bananalvskw/,,,
Gulf Kayak Academy,,,,,,"Palms Beach Hotel Resort, Rumaithiya, Kuwait,Rumaithiya",Hawalli Governorate,Kuwait,"Only GCC certified ISKGA kayak expedition center, PADI dive center, RSSailing center, water ski, wake board, SUP, surf ski, Olympic kayak, and boat tours.",,https://kuwaitlocal.com/business/gulf-kayak-academy,,https://www.instagram.com/gulfkayakacademy/,,,
Elite Diving Center KW,+96555002267,,,,,"Jabriya, Block1A, Street 105, Building 187, Floor 8, Office 15, 46300 Kuwait, Kuwait,Jabriya",Hawalli Governorate,Kuwait,Elite Diving Center KW,,https://kuwaitlocal.com/business/elite-diving-center-kw,,https://www.instagram.com/elitedivingcenter/,,,
Ocean Dive Center,,,,,,"129 Street, Building 475, No 3 First Floor, Kuwait City, Kuwait,Kuwait City",Capital Governorate,Kuwait,Ocean Dive Center,,https://kuwaitlocal.com/business/ocean-dive-center,https://www.facebook.com/people/Ocean-dive-center/100063545470284/,,,,
Barmaee Dive Center,,,,,,"Block C, Street 32, Shuwaikh, Kuwait,Shuwaikh",Capital Governorate,Kuwait,Barmaee Dive Center,,https://kuwaitlocal.com/business/barmaee-dive-center,,https://www.instagram.com/barmaee.q8/?hl=en,,,
BullShark Diver,,,,,,"Salimiya, Block 10 St.Amman,Building 40.2nd Floor .APT7,Kuwait 20010,Salmiya",Hawalli Governorate,Kuwait,BullShark Diver,,https://kuwaitlocal.com/business/bullshark-diver,https://www.facebook.com/BullsharkdiverKW/,,,,
Sea Club Diving Center,+96599111300,,,,,"Salmiya Block 1, Hamad Al-Mubarak St., 13059 Hawaly, Safat, Kuwait,Salmiya",Hawalli Governorate,Kuwait,Sea Club Diving Center,,https://kuwaitlocal.com/business/sea-club-diving-center,,https://www.instagram.com/seaclubkw/,,,
Royal Marine Dive Centre,+96594444527,,,,,"Qortuba,block-4, First Street,avenue-3,house-23., Kuwait, Kuwait,Qurtuba",Hawalli Governorate,Kuwait,Royal Marine Dive Centre,,https://kuwaitlocal.com/business/royal-marine-dive-centre,,https://www.instagram.com/royal.marine/,,,
KSSC Dive Center,,,,,,"Salmiya Block 1,Hamad Al-Mubarak St.,Hawaly, Safat 13059,Hawally",Hawalli Governorate,Kuwait,KSSC Dive Center,,https://kuwaitlocal.com/business/kssc-dive-center,https://www.facebook.com/KSSCDiveCenter,,,,
House of X,+96599357937,,,,,"Block: Al Hashimiya, 1 Abdulmunim Riyadh St, Kuwait City, ,Kuwait City",Capital Governorate,Kuwait,"House of X Address: 1 Abdulmunim Riyadh St, Kuwait City, Kuwait Phone: +965 9935 7937 Hours: 12 PM - 3 AM Description: House of X is an exciting entertainment hub in Kuwait City, offering a diverse range of activities designed to cater to both casual visitors and serious gamers. Located on Abdulmunim Riyadh Street, this venue provides a dynamic environment where fun and leisure are the main attractions. Activities: Bowling: Enjoy a classic game of bowling in a modern and well-maintained bowli...",,https://kuwaitlocal.com/business/house-of-x,,https://www.instagram.com/houseofx_kw/,,,
Explorers Base - Shuwaikh,+965 22256324,,,,,"Al Tilal Complex,Shop No.42,Shuwaikh",Capital Governorate,Kuwait,Explorers Base Which Is Located In Kuwait,http://www.explorersbase.com/,https://kuwaitlocal.com/business/explorers-base-shuwaikh,https://www.facebook.com/Explorersbase,https://instagram.com/explorersbase/,,https://twitter.com/ExplorersBase,https://www.youtube.com/user/explorersbase
