Name,Phone_1,Phone_2,Phone_3,WhatsApp,Email,Location,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Ajeel Trading Est,+965 22427712,,,,,"P.O.Box: 1676, Safat 13017, Kuwait City,Kuwait City",Capital Governorate,Kuwait,"AL AJEEL TRADING EST is located in Kuwait City, Kuwait. Company is working in General office services, Computer software solution, Computer services, Software applications, Arts and Crafts, Picture framing, Engineering, Farming, Wood products, Agriculture, Industrial equipment, Electrical goods, Computers, Home and Garden, Tools, Transport business activities.",,https://kuwaitlocal.com/business/al-ajeel-trading-est,,,,,
Pak Store - Salmiya,,,,,,"Al Qatami Street,7th Lane,Salmiya",Hawalli Governorate,Kuwait,,,https://kuwaitlocal.com/business/pak-store-salmiya,,,,,
Al Qatami Agriculture Company Wll - Al Rai,+965 24720056,,,,,"Ghazali Street,Al-Rai",Al Farwaniyah Governorate,Kuwait,Al Qatami Agriculture Company Which Is Located In Kuwait,,https://kuwaitlocal.com/business/al-qatami-agriculture-company-wll-al-rai,,,,,
Hamoor International Trading And Contracting Company - Sharq,+965 22446601,,,,,"Ahmed Al Jaber Street,Sharq",Capital Governorate,Kuwait,Hamoor International Trading and Contracting Company Which Is Located In Kuwait,,https://kuwaitlocal.com/business/hamoor-international-trading-and-contracting-company-sharq,,,,,
Andalos Agriculture Company - Kuwait City,+965 24752261,,,,,Kuwait City,Capital Governorate,Kuwait,Andalos Agriculture Company Which Is Located In Kuwait,,https://kuwaitlocal.com/business/andalos-agriculture-company-kuwait-city,,,,,
Al Swany Agricultural Company - Kuwait City,+965 24711999,,,,,Kuwait City,Capital Governorate,Kuwait,Al Swany Agricultural Company Which Is Located In Kuwait,,https://kuwaitlocal.com/business/al-swany-agricultural-company-kuwait-city,,,,,
Advance Machine General Trading And Contracting Center And Agriculture - Kuwait City,+96566212186,,,,,Kuwait City,Capital Governorate,Kuwait,Advance Machine General Trading and Contracting Center and Agriculture Which Is Located In Kuwait,,https://kuwaitlocal.com/business/advance-machine-general-trading-and-contracting-center-and-agriculture-kuwait-city,,,,,
Gulf Chemicals Co - Kuwait City,+965 24831409,,,,,Kuwait City,Capital Governorate,Kuwait,Gulf Chemicals Company,,https://kuwaitlocal.com/business/gulf-chemicals-co-kuwait-city,,,,,
Resources For Food Products - Shuwaikh,+96599052888,,,,,Shuwaikh,Capital Governorate,Kuwait,"We are a leading Fresh Fruit and Vegetable Distributor in Kuwait and import goods directly from all over the world. In Kuwait all the branches are whole sale dealers of frozen items and fresh fruits. We have been operating in Kuwait since 1992, and our office and Cold Storages are located in Ardiya, Kuwait. We have more than 4000 Cubic meter capacity cold store. Our Cold Store rooms are situated on the same building , enabling us to keep a close watch on the work on a daily basis. We have thi...",,https://kuwaitlocal.com/business/resources-for-food-products-shuwaikh,,,,,
Kuwait International Pest Control Co(kipc) - Hawally,+96597535585,,,,,"Al Awathi Building,Block 20,Tunisi Street,Hawally",Hawalli Governorate,Kuwait,"Kuwait International Pest Control Company is one of the leading Pest Control Companies in the State of Kuwait, providing pest control services to commercial, residential and industrial premises. We offer complete protection services against health destroying insects and rodents, our pest control program is committed to providing a pest-free environment for your home, office, commercial, industrial and institutional properties For most effective pest control, please contact us on Mob.: +965 97...",,https://kuwaitlocal.com/business/kuwait-international-pest-control-co-kipc-hawally,,,,,
Aramco Gulf Pest Control - Kuwait City,+96599346636,+96599346626,,,,Kuwait City,Capital Governorate,Kuwait,Aramco Gulf Pest Control is located in Kuwait.,,https://kuwaitlocal.com/business/aramco-gulf-pest-control-kuwait-city,,,,,
Al Jahra Cleaning Equipment Co - Kuwait City,+965 24762605,,,,,Kuwait City,Capital Governorate,Kuwait,Al Jahra Cleaning Equipment Comapny,,https://kuwaitlocal.com/business/al-jahra-cleaning-equipment-co-kuwait-city,,,,,
Sabaek Trading Co - Salmiya,+965 25722333,,,,,Salmiya,Hawalli Governorate,Kuwait,Sabaek Trading Company,,https://kuwaitlocal.com/business/sabaek-trading-co-salmiya,,,,,
Pats Pest Control - Kuwait City,+96555809493,+96566809493,,,,"Gulf Abrar Cleaning Company,Kuwait City",Capital Governorate,Kuwait,"PATS PEST CONTROL (LICENSE NO/3418/2004) INSECTICIDE FOR ALL KINDS OF HOUSE INSECTS. FOR FLATS, SHOPS, OFFICE, CAMPS, HOTELS, SCHOOLS ETC, SPECIAL PACKAGES FOR PREGNANT WOMEN`S,CHILDREN`S,OLD AGES, ASTHMA PATIENTS ETC. USING ONLY SAFE RESIDUAL OSHA STANDARD INSECTICIDES. MATERIAL SAFETY DATA SHEETS (M S D S) ARE PROVIDING FOR COMPANY`S AND CAMPS.ONCE YOU FEEL OUR SERVICE YOU WILL NEVER LOOK OTHERS. FEEL FREE TO CONTACT - 66809493 / 55809493 (A DIVISION OF GULF ABRAR CLEANING COMPANY)",,https://kuwaitlocal.com/business/pats-pest-control-kuwait-city,,,,,
Kz Pest Control Co - Kuwait City,+96590077244,,,,,Kuwait City,Capital Governorate,Kuwait,Kz Pest Control Company,,https://kuwaitlocal.com/business/kz-pest-control-co-kuwait-city,,,,,
Anamul Husain - Salmiya,+96565826904,,,,,Salmiya,Hawalli Governorate,Kuwait,Anamul Husain is located in Kuwait.,,https://kuwaitlocal.com/business/anamul-husain-salmiya,,,,,
Abrar Al Naim Fruits And Vegetables Est - Shuwaikh,+965 24815998,,,,,Shuwaikh,Capital Governorate,Kuwait,Abrar Al Naim Fruits And Vegetables Est,,https://kuwaitlocal.com/business/abrar-al-naim-fruits-and-vegetables-est-shuwaikh,,,,,
Al Quood Est For Fresh Fruit And Vegetables - Kuwait City,+965 24847138,,,,,Kuwait City,Capital Governorate,Kuwait,Al Quood Est For Fresh Fruit And Vegetables,,https://kuwaitlocal.com/business/al-quood-est-for-fresh-fruit-and-vegetables-kuwait-city,,,,,
Dawood Sulaiman Al Busairy Co - Kaifan,+965 24842068,,,,,Abraq Khaitan,Al Farwaniyah Governorate,Kuwait,Dawood Sulaiman Al Busairy Company,,https://kuwaitlocal.com/business/dawood-sulaiman-al-busairy-co-kaifan,,,,,
Sabhan Agricultural Company - Kuwait City,,,,,,Kuwait City,Capital Governorate,Kuwait,Sabhan Agricultural Company,,https://kuwaitlocal.com/business/sabhan-agricultural-company-kuwait-city,,,,,
Gulf Axis Environmental Consulting,,,,,,"Block 4,Street 110,Building No.239,Floor 1,Flat 22,PACI No-10868874,Al Shaab",Hawalli Governorate,Kuwait,Gulf Axis Environmental Consulting is Located in Kuwait,,https://kuwaitlocal.com/business/gulf-axis-environmental-consulting,,,,,
Green House For Environmental Consultancy And Training,,,,,,"Block 1,Building No.739 A,PACI No-13079336,Jleeb Al-Shuyoukh",Al Farwaniyah Governorate,Kuwait,Green House For Environmental Consultancy And Training is Located in kuwait,,https://kuwaitlocal.com/business/green-house-for-environmental-consultancy-and-training,,,,,
Sultan Fruits Co - Hawally,+965 25612355,,,,,Hawally,Hawalli Governorate,Kuwait,Sultan Fruits Company,,https://kuwaitlocal.com/business/sultan-fruits-co-hawally,,,,,
Kuwiat Hygiene,+96551597822,,,,,"P.O.Box: 15988,Hawally",Hawalli Governorate,Kuwait,"Kuwait Hygiene is one of the leading Hygiene services companies in the State of Kuwait which provides complete Hygiene solutions (Pest Control & Cleaning) to industrial, commercial and residential properties using approved chemicals for our services. The experts at Kuwait Hygiene, for pest control we identify the reasons that caused pest to appear and has developed service protocols which are based on three core IPM concepts i.e. Inspection, Problem Solving and Communication.",,https://kuwaitlocal.com/business/kuwiat-hygiene,,,,,
Fresh Fruits Company - Shuwaikh 1,+965 24819169,,,,,Shuwaikh,Capital Governorate,Kuwait,Fresh Fruit Company-Shuwaikh,,https://kuwaitlocal.com/business/fresh-fruits-company-shuwaikh-1,,,,,
Afnan Company WLL,+96596626194,+96524769955,,,,Kuwait City,Capital Governorate,Kuwait,"Afnan Company WLL is one of the most prominent agricultural companies in Kuwait. Here at Afnan Company, we aim to invest continuously and develop agricultural projects across the Middle East, while maintaining interest in other regions. We imports our products also from countries located in various parts of the globe. We are diversifying our domain to agriculture and the trading of rice, fruits and vegetables.",,https://kuwaitlocal.com/business/afnan-company-wll,,,,,
Agricultural Supplies And Equipment Company,,,,,,"Shuwaikh Industrial Area,street 16,Shuwaikh",Capital Governorate,Kuwait,Agricultural Supplies And Equipment Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/agricultural-supplies-and-equipment-company,,,,,
Green Oasis Agriculture Establishment,,,,,,Kuwait City,Capital Governorate,Kuwait,Green Oasis Agriculture Establishment Which is Located in Kuwait,,https://kuwaitlocal.com/business/green-oasis-agriculture-establishment,,,,,
Al Hajri Commercial Bureau Company,,,,,,Kuwait City,Capital Governorate,Kuwait,Al Hajri Commercial Bureau Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-hajri-commercial-bureau-company,,,,,
Dana & Berkeley Trading Company,,,,,,"Block 3,Kuwait City",Capital Governorate,Kuwait,Dana & Berkeley Trading Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/dana-berkeley-trading-company,,,,,
Raad Stores Company,,,,,,Kuwait City,Capital Governorate,Kuwait,Raad Stores Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/raad-stores-company,,,,,
Abdul H Salem Plant Nursery,,,,,,Kuwait City,Capital Governorate,Kuwait,Abdul H Salem Plant Nursery Which is Located in Kuwait,,https://kuwaitlocal.com/business/abdul-h-salem-plant-nursery,,,,,
Aziz Ashiri Nursery,,,,,,Al-Rai,Al Farwaniyah Governorate,Kuwait,Aziz Ashiri Nursery Which is Located in Kuwait,,https://kuwaitlocal.com/business/aziz-ashiri-nursery,,,,,
Al Jadeer Trading Company,,,,,,Kuwait City,Capital Governorate,Kuwait,Al Jadeer Trading Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-jadeer-trading-company,,,,,
Al Amer Woollens Company,,,,,,Kuwait City,Capital Governorate,Kuwait,Al Amer Woollens Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-amer-woollens-company,,,,,
Abdulla Ghannam Establishment,,,,,,Kuwait City,Capital Governorate,Kuwait,Abdulla Ghannam Establishment Which is Located in Kuwait,,https://kuwaitlocal.com/business/abdulla-ghannam-establishment,,,,,
Al Amal Agricultural Company,+965 22430060,,,,,Kuwait City,Capital Governorate,Kuwait,Al Amal Agricultural Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-amal-agricultural-company,,,,,
United Agricultural and Livestock Production Company,,,,,,"Block 4,Jahra",Al Jahra Governorate,Kuwait,United Agricultural and Livestock Production Company Which is Located in Kuwait,,https://kuwaitlocal.com/business/united-agricultural-and-livestock-production-company,,,,,
Al Qusoor Contracting Agriculture Exhibition,,,,,,Kuwait City,Capital Governorate,Kuwait,Al Qusoor Contracting Agriculture Exhibition Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-qusoor-contracting-agriculture-exhibition,,,,,
Abdullateef Al Othman Est,,,,,,Mubarak Al-Kabeer,Mubarak Al-Kabeer Governorate,Kuwait,Abdullateef Al Othman Est Which is Located in Kuwait,,https://kuwaitlocal.com/business/abdullateef-al-othman-est,,,,,
Alhesn Pest Control,+96566064023,,,,,Salmiya,Hawalli Governorate,Kuwait,Al Hesn Pest Control Services* Cockroaches* Bedbugs* Rats and Mouse* All Crawling and Flying Insects* Termite Control,,https://kuwaitlocal.com/business/alhesn-pest-control,,,,,
Fourty Four Nursery,,,,,,Al-Rai,Al Farwaniyah Governorate,Kuwait,Fourty Four Nursery,,https://kuwaitlocal.com/business/fourty-four-nursery,,,,,
Yas Nursery,,,,,,Al-Rai,Al Farwaniyah Governorate,Kuwait,Yas Nursery,,https://kuwaitlocal.com/business/yas-nursery,,,,,
TRUSTOEN,+96550671234,,,,,"Hawally - Tunis St. - Al Refae biulding - 6th floor - office 13,Hawally",Hawalli Governorate,Kuwait,TRUSTOEN is a general trading and contracting company specialized in the field of pest management and bird Control.,,https://kuwaitlocal.com/business/zahrat-al-tawheed-co,,,,,
Tissue Culture Palms Center,+96524756080,+96599743525,+96560660412,,,"Nursery Market,Al-Rai",Al Farwaniyah Governorate,Kuwait,Tissue Culture palms Center,,https://kuwaitlocal.com/business/tissue-culture-palms-center,,,,,
A A center kuwait,+96560761122,,,,,"Near oxygen company infornt of Hayat Mabel. A A CENTER,Shuwaikh",Capital Governorate,Kuwait,We do all Kind of welding molding Tools fabrication Motor winding Water pumps repair Electric generators,,https://kuwaitlocal.com/business/a-a-center-kuwait,https://www.facebook.com/AACkuwait/,,,,
Fresh Mozzarella And Fruits,+96560401244,+96566349990,,,,"Al-Yarmouk- Mushrif- Shamiya- Sabah Al-Salem - Sultan Center.,Rawda",Capital Governorate,Kuwait,"Fresh Mozzarela Providing Following Things: Fruits, Food Products, Cheese Food Products,Milk Products.",,https://kuwaitlocal.com/business/fresh-mozzarella-and-fruits-,,https://www.instagram.com/freshmozzarella/,,,
Batel Al Khair Company West Abu Fatira,+965 1888844,,,,,"Mubarak Al Kabir Governorate \ West Abu Fatira - inside Qurain Market - Block 1, Plot 490,Abu Futaira",Mubarak Al-Kabeer Governorate,Kuwait,Batel Al Khair Company West Abu Fatira,,https://kuwaitlocal.com/business/batel-al-khair-company-west-abu-fatira,,https://www.instagram.com/batel_alkhair/,,,
The Sultan Wholesale Center Egaila Arabia Mall,+965 1844449,,,,,"Arabia Mall - Block 5, Corner of Street 250 and 103,Egaila",Al-Ahmadi Governorate,Kuwait,"The Sultan Center, or TSC, is a leading regional business with its headquarters in Kuwait. Our business portfolio includes retail, restaurants, telecommunications, investments, IT, real estate and security solutions. Commitment to providing exceptional service and delivering the best possible products and unforgettable shopping experience to our customers have been the cornerstones to TSC’s continued success, and it’s from this platform that the business aspires to expand further in the Middl...",,https://kuwaitlocal.com/business/the-sultan-wholesale-center-egaila-arabia-mall,https://www.facebook.com/Sultan.Center,https://www.instagram.com/sultan_center/,,https://twitter.com/Sultan_Center,https://www.youtube.com/channel/UCBls29gig5WcRmbbdm5Mdaw
Batel Al Khair Company Shweikh Branch,+965 1888844,,,,,,Capital Governorate,Kuwait,Batel Al Khair Company Shweikh Branch,,https://kuwaitlocal.com/business/batel-al-khair-company-shweikh-branch,,https://www.instagram.com/batel_alkhair/,,,
Bayan botanical garden,,,,,,"Bayan Botanical Garden, 22 Road, Bayan,Bayan",Hawalli Governorate,Kuwait,Bayan Botanical Garden located in kuwait.,,https://kuwaitlocal.com/business/bayan-botanical-garden,https://www.facebook.com/pages/Bayan-Botanical-Garden/1187436027956165,,,,https://www.youtube.com/watch?v=6QDhyz_eVH0
Abraaj Water Company - Shuwaikh,+965 1844666,,,,,"KuwaitFree Trade Zone,Building 12,Shuwaikh",Capital Governorate,Kuwait,Abraaj Water Companyis located in kuwait.,http://www.abraajwater.com/,https://kuwaitlocal.com/business/abraaj-water-company-shuwaikh,https://www.facebook.com/abraajwater,,,http://twitter.com/abraajwater,http://www.youtube.com/abraajwater
Pinkberry Restaurant - Salmiya 1,,,,,,"Al Beda'a Complex,Al Beda'a Area along Gulf Road,Salmiya",Hawalli Governorate,Kuwait,"Pinkberry offers a tangy, refreshing taste and is a healthy guilt free treat, made with real nonfat milk and real nonfat yogurt containing calcium, protein, vitamins and minerals and packed with live and active yogurt cultures. Our yogurt is certified by the National Yogurt Association in the U.S, and researchers have found early evidence linking live and active yogurt cultures to a variety of health benefits including support for a healthy immune system, joint health and flexibility. Our fru...",http://www.pinkberry.com/,https://kuwaitlocal.com/business/pinkberry-restaurant-salmiya-1,https://www.facebook.com/PinkberryMiddleEast,http://instagram.com/PinkberryME,,http://www.twitter.com/pinkberry,http://www.youtube.com/pinkberry
Gulfmart - Hawally 1,,,,,,"Alyaa Complex,Al Othama Street,Hawally",Hawalli Governorate,Kuwait,"Gulfmart, “the supermarket of choice”, is the fastest growing supermarket chain in Kuwait. It is a division of the UAE based renowned retail conglomerate which is located in Kuwait.",http://gulfmartkuwait.com/,https://kuwaitlocal.com/business/gulfmart-hawally-1,https://www.facebook.com/pages/Gulfmart-Supermarket-Kuwait/801448839931521,,https://www.linkedin.com/pub/gulf-mart-imran-imran/40/925/7a5,https://twitter.com/gulfmart_kuwait,
