Name,Phone_1,Phone_2,Email,Location,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Sharq Cinema,+96569302050,,,Sharq,Capital Governorate,Kuwait,Sharq Cinema is Located in Kuwait,,https://kuwaitlocal.com/business/sharq-cinema,,,,,
Ajial Theater - Fahaheel,,,,"Block 11,57 Street,Balat Al Shuhada St Ajyal complex,Fahaheel",Al-Ahmadi Governorate,Kuwait,"Cinescape AJIAL was the first Cinema to open in Fahaheel in the year of 2003 to serve the growing community in the area. With its 4 state of the art cinema screens facilities, it quickly became one of the more visited cinemas due to its convenience and comfort. Located in Ajial Mall in Fahaheel, Cinescape made sure that every movie-goer no matter where they lived had a Cinema within 15-20 minutes away from their home. The Theater has a total capacity level of 1050 seats",,https://kuwaitlocal.com/business/ajial-theater-fahaheel,,,,,
Kuwait Cinema Club - Al Salmiya,,,,Salmiya,Hawalli Governorate,Kuwait,Kuwait Cinema Club is Locted in Kuwait,,https://kuwaitlocal.com/business/kuwait-cinema-club-al-salmiya,,,,,
Al Fanar Cinema,,,,"Salem Al Mubarak Street,Salmiya",Hawalli Governorate,Kuwait,Al Fanar Cinema is Located in Kuwait,,https://kuwaitlocal.com/business/al-fanar-cinema,,,,,
Sulaibikhat Cinema,,,,"Block 3,Kuwait City",Capital Governorate,Kuwait,Sulaibikhat Cinema Which is Located in Kuwait,,https://kuwaitlocal.com/business/sulaibikhat-cinema,,,,,
Cinemagic Rooftop Venue,,,,"Salem Al Mubarak Street, Souk Salmiya, Above LG,Salmiya",Hawalli Governorate,Kuwait,,,https://kuwaitlocal.com/business/cinemagic-rooftop-venue,,,,,
Cinescape - Plaza Complex Salmiya,,,,Salmiya,Hawalli Governorate,Kuwait,Cinema in kuwait,,https://kuwaitlocal.com/business/cinescape-plaza-complex-salmiya,,,,,
VIP Cinescape,,,,Al-Rai,Al Farwaniyah Governorate,Kuwait,VIP Cinescape Which is Located in Kuwait,,https://kuwaitlocal.com/business/vip-cinescape,,,,,
Al Ahmadi Cinemas,,,,Kuwait City,Capital Governorate,Kuwait,Al Ahmadi Cinemas Which is Located in Kuwait,,https://kuwaitlocal.com/business/al-ahmadi-cinemas,,,,,
F&M BAGS,+96599472911,,,"souk zal shop 49,Kuwait City",Capital Governorate,Kuwait,WE SELL LADIES BAGS ON OUR SHOP WE ALSO SELL GENTS POUCH WE ALSO SELL BACKPACKS VIST OUR SHOP IN KUWAIT CITY,,https://kuwaitlocal.com/business/fm-bags-,,,,,
