Name,Phone_1,Phone_2,Phone_3,Location,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter
Afandem,+965 1847847,,,"Shaab Area, Maidan Hawalli,Maidan Hawally",Hawalli Governorate,Kuwait,"The Turkish cuisine offers a variety of mouthwatering dishes, derived from the Eastern fragrance of Asia, combined with a western touch. The amazing geographical nature, along with the glorious historical past of Turkey, allows chefs to develop enrich flavors that reflects creativity and culture.Afendim Restauranst is your gateway to enjoy a Turkish ambience with the best Turkish dishes in Kuwait.",http://www.afendim.com/,https://kuwaitlocal.com/business/afandem,,http://instagram.com/Affendim,,
Applebees The Avenues Mall,+965 1844466,,,"Avenues Mall-Phase Two, Food Court Area, 2nd Floor,Store FL 77 & 78, Al Rai Area,Al-Rai",Al Farwaniyah Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,https://kuwaitlocal.com/business/applebees-the-avenues-mall,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
Altro Level - Abu Hasaniya,+96598855669,+96598855670,+96594930202,"The Village, Abu Hasaniya Funaitees, Road 208 ,In front of Fahaheel Express Way,Abu Hasaniya",Mubarak Al-Kabeer Governorate,Kuwait,"ALTRO LEVEL serves a great variety of American, Burgers and Italian.",https://www.altrolevel.com,https://kuwaitlocal.com/business/altro-level-abu-hasaniya,,http://instagram.com/altrolevel,,https://twitter.com/ALTROLEVEL
Applebees Fintas,+965 1844466,,,"7 Coastal Road,Next To Abu Halifa Park,Fintas",Al-Ahmadi Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,https://kuwaitlocal.com/business/applebees-fintas,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
Applebees Bneid Al Gar,+965 1844466,,,"Arabian Gulf Road, After Officers Club,Bneid Al Gar",Capital Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,https://kuwaitlocal.com/business/applebees-bneid-al-gar,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
10.oh.8 - Sharq,+96560416151,+96522479372,,"Al-Shuhada Street,Sharq",Capital Governorate,Kuwait,"Welcome 10.Oh.8 Restaurant in Sharq, Kuwait. We serve comfort food in distinctive styles of our own; with a cause. The cause changes every three months to reflect the changing seasons and to serve a greater good. A percentage of our proceeds goes to charity. Come on in and eat for a cause.",http://www.10oh8.com,https://kuwaitlocal.com/business/10-oh-8-sharq,https://www.facebook.com/10oh8,http://instagram.com/10oh8,,https://twitter.com/10oh8
10.oh.8 - Awtad Mall,+96560416151,+96522479372,,"Awtad Mall ,Jahra",Al Jahra Governorate,Kuwait,"Welcome 10.Oh.8 Restaurant in Sharq, Kuwait. We serve comfort food in distinctive styles of our own; with a cause. The cause changes every three months to reflect the changing seasons and to serve a greater good. A percentage of our proceeds goes to charity. Come on in and eat for a cause.",http://www.10oh8.com,https://kuwaitlocal.com/business/10-oh-8-awtad-mall,https://www.facebook.com/10oh8,http://instagram.com/10oh8,,https://twitter.com/10oh8
Applebees Mishref,+965 1844466,,,"206th Street, Next to Yarmaook Sports Club,Mishref",Hawalli Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,https://kuwaitlocal.com/business/applebees-mishref,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
Am Darweesh - Hawally,,,,"Qadsiyah & Sultan Centre Cross Rd,Hawally",Hawalli Governorate,Kuwait,"Our mission is to provide our customers with a unique & fashionable Arabic fast-food experience, that is generous, authentic and high in its quality and sensational value, creating a new arabic franchise that will expand internationally in the near future.We also aspire to carry & transfer the middle eastern & oriental Arabic food culture to foreign countries by bringing them this part of our Arabic traditional cuisine served and packaged in style & value. We believe that food is a cultural s...",http://www.amdarweesh.com,https://kuwaitlocal.com/business/am-darweesh-hawally,https://www.facebook.com/AmDarweesh,http://instagram.com/AmDarweesh,,https://twitter.com/AmDarweesh
Applebees Souk Sharq Mall,+965 1844466,,,"Souk Shar Mall, Second Floor,Arabian Gulf Street,Sharq",Capital Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,https://kuwaitlocal.com/business/applebees-souk-sharq-mall,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
