Category,URL,Scraped_At,Runtime_Sec,Name,Phone_1,Phone_2,Phone_3,WhatsApp,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax,Facebook,Instagram,LinkedIn,Twitter
restaurants,https://kuwaitlocal.com/business/afandem,2026-04-14 18:36:13,114975,Afandem,+965 1847847,,,,,"Shaab Area, Maidan Hawalli,Maidan Hawally",,Hawalli Governorate,Kuwait,"The Turkish cuisine offers a variety of mouthwatering dishes, derived from the Eastern fragrance of Asia, combined with a western touch. The amazing geographical nature, along with the glorious historical past of Turkey, allows chefs to develop enrich flavors that reflects creativity and culture.Afendim Restauranst is your gateway to enjoy a Turkish ambience with the best Turkish dishes in Kuwait.",http://www.afendim.com/,,,,,http://instagram.com/Affendim,,
restaurants,https://kuwaitlocal.com/business/ashas-marina-crescent,2026-04-14 18:36:13,114975,Ashas Marina Crescent,+965 22244504,,,,,"Marina Mall Bldg, Arabian Gulf St,Salmiya",,Hawalli Governorate,Kuwait,"Adding a little spice to life The world renowned Asha Bhosle, the legendary Indian artiste who heralds from Indias first family of music, with her own unique and distinctive voice, has translated her second passion in life into the latest concept of cooking to hit the culinary scene. Experience at Ashas a fresh and exotic innovative style of an Indian restaurant, combining traditional North Western cuisine, Indian home style cooking and new age fusion selection. Enjoy the succulent meats flav...",https://www.ashasrestaurants.com/kuwait/,,,,,,,https://twitter.com/asharestaurant
restaurants,https://kuwaitlocal.com/business/applebees-the-avenues-mall,2026-04-14 18:36:14,114975,Applebees The Avenues Mall,+965 1844466,,,,,"Avenues Mall-Phase Two, Food Court Area, 2nd Floor,Store FL 77 & 78, Al Rai Area,Al-Rai",,Al Farwaniyah Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,,,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
restaurants,https://kuwaitlocal.com/business/altro-level-abu-hasaniya,2026-04-14 18:36:14,114975,Altro Level - Abu Hasaniya,+96598855669,+96598855670,+96594930202,,,"The Village, Abu Hasaniya Funaitees, Road 208 ,In front of Fahaheel Express Way,Abu Hasaniya",,Mubarak Al-Kabeer Governorate,Kuwait,"ALTRO LEVEL serves a great variety of American, Burgers and Italian.",https://www.altrolevel.com,,,,,http://instagram.com/altrolevel,,https://twitter.com/ALTROLEVEL
restaurants,https://kuwaitlocal.com/business/applebees-fintas,2026-04-14 18:36:14,114975,Applebees Fintas,+965 1844466,,,,,"7 Coastal Road,Next To Abu Halifa Park,Fintas",,Al-Ahmadi Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,,,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
restaurants,https://kuwaitlocal.com/business/applebees-bneid-al-gar,2026-04-14 18:36:15,114975,Applebees Bneid Al Gar,+965 1844466,,,,,"Arabian Gulf Road, After Officers Club,Bneid Al Gar",,Capital Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,,,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
restaurants,https://kuwaitlocal.com/business/10-oh-8-sharq,2026-04-14 18:36:15,114975,10.oh.8 - Sharq,+96560416151,+96522479372,,,,"Al-Shuhada Street,Sharq",,Capital Governorate,Kuwait,"Welcome 10.Oh.8 Restaurant in Sharq, Kuwait. We serve comfort food in distinctive styles of our own; with a cause. The cause changes every three months to reflect the changing seasons and to serve a greater good. A percentage of our proceeds goes to charity. Come on in and eat for a cause.",http://www.10oh8.com,,,,https://www.facebook.com/10oh8,http://instagram.com/10oh8,,https://twitter.com/10oh8
restaurants,https://kuwaitlocal.com/business/10-oh-8-awtad-mall,2026-04-14 18:36:15,114975,10.oh.8 - Awtad Mall,+96560416151,+96522479372,,,,"Awtad Mall ,Jahra",,Al Jahra Governorate,Kuwait,"Welcome 10.Oh.8 Restaurant in Sharq, Kuwait. We serve comfort food in distinctive styles of our own; with a cause. The cause changes every three months to reflect the changing seasons and to serve a greater good. A percentage of our proceeds goes to charity. Come on in and eat for a cause.",http://www.10oh8.com,,,,https://www.facebook.com/10oh8,http://instagram.com/10oh8,,https://twitter.com/10oh8
restaurants,https://kuwaitlocal.com/business/applebees-mishref,2026-04-14 18:36:15,114975,Applebees Mishref,+965 1844466,,,,,"206th Street, Next to Yarmaook Sports Club,Mishref",,Hawalli Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,,,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
restaurants,https://kuwaitlocal.com/business/am-darweesh-hawally,2026-04-14 18:36:15,114975,Am Darweesh - Hawally,,,,,,"Qadsiyah & Sultan Centre Cross Rd,Hawally",,Hawalli Governorate,Kuwait,"Our mission is to provide our customers with a unique & fashionable Arabic fast-food experience, that is generous, authentic and high in its quality and sensational value, creating a new arabic franchise that will expand internationally in the near future.We also aspire to carry & transfer the middle eastern & oriental Arabic food culture to foreign countries by bringing them this part of our Arabic traditional cuisine served and packaged in style & value. We believe that food is a cultural s...",http://www.amdarweesh.com,,,,https://www.facebook.com/AmDarweesh,http://instagram.com/AmDarweesh,,https://twitter.com/AmDarweesh
restaurants,https://kuwaitlocal.com/business/applebees-souk-sharq-mall,2026-04-14 18:36:15,114975,Applebees Souk Sharq Mall,+965 1844466,,,,,"Souk Shar Mall, Second Floor,Arabian Gulf Street,Sharq",,Capital Governorate,Kuwait,Kout Food Group brought Applebee\'s to Kuwait in March 1998.The first branch opened in Bnaid Al Gar followed by the second in Fintas during September 2001.,http://www.applebeesme.com/,,,,https://www.facebook.com/ApplebeesKuwait,http://instagram.com/Applebees_Kuwait,https://www.linkedin.com/company/applebee%27s,https://twitter.com/Applebeeskw
hajj-omra-services,https://kuwaitlocal.com/business/tvs-travels-and-cargo-fahaheel,2026-04-14 23:24:18,132264,TVS Travels and Cargo Fahaheel,+96597689099,+96523913309,+9659969249,,,"Al Dabbous Building,block 7,Fahaheel",,Al-Ahmadi Governorate,Kuwait,"Flagged off from a small unit, TVS Hyder Group is one among the leading Cargo and Travel operators having offices in Kuwait, India, Qatar and Sri Lanka. TVS is a group establishment of Mr. SM Hyder Ali - The Chairman with associate of more than 100 employees with 30 offices throughout the globe. We provide worldwide market coverage for our clients. Being one of the leading and trustworthy company, we have been able to provide most economical, faster transit time and a reliable services that a...",http://tvshydergroup.com/,,,,,
hajj-omra-services,https://kuwaitlocal.com/business/tvs-travel-agency-farwaniya,2026-04-14 23:24:19,132264,Tvs Travel Agency Farwaniya,+96594962410,+9659465710,+96599992352,,,"Block 1,Street 71 Opposite SAS Indian Restaurant,Farwaniya",,Al Farwaniyah Governorate,Kuwait,"Flagged off from a small unit, TVS Hyder Group is one among the leading Cargo and Travel operators having offices in Kuwait, India, Qatar and Sri Lanka. TVS is a group establishment of Mr. SM Hyder Ali - The Chairman with associate of more than 100 employees with 30 offices throughout the globe. We provide worldwide market coverage for our clients. Being one of the leading and trustworthy company, we have been able to provide most economical, faster transit time and a reliable services that a...",https://tvshydergroup.com/,,,,https://www.facebook.com/fly.tvs.71,https://www.youtube.com/channel/UCk2veL4WMvYRvDT62xkqbJw
hajj-omra-services,https://kuwaitlocal.com/business/badur-travel-jleeb-al-shouyoukh,2026-04-14 23:24:19,132264,Badur Travel - Jleeb Al Shouyoukh,+965 24311122,,,,,"Jleeb Co Op,Block 1,Jleeb Al-Shuyoukh",,Al Farwaniyah Governorate,Kuwait,"Badur Travel?is?the leading customer oriented travel agency network and ranks one amongst the top travel companies in Kuwait. We are proud and privileged to be serving corporate houses in Kuwait. We offer and meet client expectations for all their travel requirements. Badur Travel has achieved the confidence and success over past years through competent staff, efficient management with fully computerized worldwide reservation system and best business & leisure travel services.?Badur Travel, i...",http://www.badurtravel.com/,,,,,
hajj-omra-services,https://kuwaitlocal.com/business/badur-travel-kuwait-city,2026-04-14 23:24:19,132264,Badur Travel - Kuwait City,+965 22451555,,,,,"Al Hilala Building,Al Soor Street,Block 10,Kuwait City",,Capital Governorate,Kuwait,"Badur Travel?is?the leading customer oriented travel agency network and ranks one amongst the top travel companies in Kuwait. We are proud and privileged to be serving corporate houses in Kuwait. We offer and meet client expectations for all their travel requirements. Badur Travel has achieved the confidence and success over past years through competent staff, efficient management with fully computerized worldwide reservation system and best business & leisure travel services.?Badur Travel, i...",http://www.badurtravel.com/,,,,,
hajj-omra-services,https://kuwaitlocal.com/business/badur-travel-salmiya,2026-04-14 23:24:19,132264,Badur Travel - Salmiya,+965 25647770,,,,,"Ground Floor,Sharifa Abdul Aziz Abdullah Building,Shop No. 35,Essa Al Qatami Street,Block 10,Salmiya",,Hawalli Governorate,Kuwait,"Badur Travel?is?the leading customer oriented travel agency network and ranks one amongst the top travel companies in Kuwait. We are proud and privileged to be serving corporate houses in Kuwait. We offer and meet client expectations for all their travel requirements. Badur Travel has achieved the confidence and success over past years through competent staff, efficient management with fully computerized worldwide reservation system and best business & leisure travel services.?Badur Travel, i...",http://www.badurtravel.com/,,,,,
hajj-omra-services,https://kuwaitlocal.com/business/tvs-travel-agency-khaitan,2026-04-14 23:24:20,132264,Tvs Travel Agency Khaitan (Permanently closed),,,,,,"Old Khaitan,Near New Pakistani School,Abraq Khaitan",,Al Farwaniyah Governorate,Kuwait,"Flagged off from a small unit, TVS Hyder Group is one among the leading Cargo and Travel operators having offices in Kuwait, India, Qatar and Sri Lanka. TVS is a group establishment of Mr. SM Hyder Ali - The Chairman with associate of more than 100 employees with 30 offices throughout the globe. We provide worldwide market coverage for our clients. Being one of the leading and trustworthy company, we have been able to provide most economical, faster transit time and a reliable services that a...",https://tvshydergroup.com/,,,,https://www.facebook.com/fly.tvs.71,https://www.youtube.com/channel/UCk2veL4WMvYRvDT62xkqbJw
hajj-omra-services,https://kuwaitlocal.com/business/tvs-travels-and-cargo-mirqab,2026-04-14 23:24:20,132264,TVS Travels and Cargo Mirqab,+96590026400,,,,,"AL Taqqi Building Ground Floor, Near Round About Masjid , Mirqab ,Kuwait,Mirqab",,Capital Governorate,Kuwait,"Flagged off from a small unit, TVS Hyder Group is one among the leading Cargo and Travel operators having offices in Kuwait, India, Qatar and Sri Lanka. TVS is a group establishment of Mr. SM Hyder Ali - The Chairman with associate of more than 100 employees with 30 offices throughout the globe. We provide worldwide market coverage for our clients. Being one of the leading and trustworthy company, we have been able to provide most economical, faster transit time and a reliable services that a...",http://tvshydergroup.com/,,,,,
hajj-omra-services,https://kuwaitlocal.com/business/wtts-travel-and-tourism-kuwait-city-2,2026-04-14 23:24:20,132264,WTTS Travel And Tourism - Kuwait City 2,,,,,,"Al Dawaliyah Complex,Ground Floor,Fahed Al Salem Street,Kuwait City",,Capital Governorate,Kuwait,"As a leading travel management company, Al- Waseet Travel Services will handle all your travel requirements from A to Z. We will negotiate and assist you with corporate travel agreements, advise on travel policy, maintain a client profile, track your travel, adapt our accounting to suit yours and, of course, provide you with your own dedicated travel consultant(s). WTTS specializes in creating customized travel solutions for our corporate clients. Our goal is to offer a personal and professio...",http://www.alwaseettravel.com/,,,,https://www.facebook.com/wttscorp,
hajj-omra-services,https://kuwaitlocal.com/business/badur-travel-fahaheel,2026-04-14 23:24:21,132264,Badur Travel - Fahaheel,+965 23929354,,,,,"Al Daboos Building,Daboos Street,Fahaheel",,Al-Ahmadi Governorate,Kuwait,"Badur Travel?is?the leading customer oriented travel agency network and ranks one amongst the top travel companies in Kuwait. We are proud and privileged to be serving corporate houses in Kuwait. We offer and meet client expectations for all their travel requirements. Badur Travel has achieved the confidence and success over past years through competent staff, efficient management with fully computerized worldwide reservation system and best business & leisure travel services.?Badur Travel, i...",http://www.badurtravel.com/,,,,,
hajj-omra-services,https://kuwaitlocal.com/business/wtts-travel-and-tourism-kuwait-city-1,2026-04-14 23:24:21,132264,WTTS Travel And Tourism - Kuwait City 1,,,,,,"Kuwait Totwers,26th Floor,Fahed Al Salem Street,Kuwait City",,Capital Governorate,Kuwait,"As a leading travel management company, Al- Waseet Travel Services will handle all your travel requirements from A to Z. We will negotiate and assist you with corporate travel agreements, advise on travel policy, maintain a client profile, track your travel, adapt our accounting to suit yours and, of course, provide you with your own dedicated travel consultant(s). WTTS specializes in creating customized travel solutions for our corporate clients. Our goal is to offer a personal and professio...",http://www.alwaseettravel.com/,,,,https://www.facebook.com/wttscorp,
