Name,Phone_1,Email,Location,Area,Country,About,Rating,Views,URL
Zumriadt Nizwa Trading,+968 24548805,,Suq AL Seeb Al Seeb -,Al Khud,Oman,Zumriadt Nizwa Trading,0,4692,https://oman.arablocal.com/business/view/zumriadt-nizwa-trading
Global Village Shopping LLC,+968 25544411,ghaedi.salman@gmail.com,Sur - Close to Sur Round About Sur -,Barka,Oman,Global Village Shopping LLC,0,3897,https://oman.arablocal.com/business/view/global-village-shopping-llc
Sahar Al Khaleej LLC,+968 24715077,lalwanigorindorm@yahoo.com,Suq Al Khoudh Near To National Bank -,Al Wadi Al Kabir,Oman,Sahar Al Khaleej LLC,0,2778,https://oman.arablocal.com/business/view/sahar-al-khaleej-llc
Abdul Rasool Saleh Mohd Store,+968 24836333,,Opp Mazoon Complex Ruwi -,Ruwi,Oman,Abdul Rasool Saleh Mohd Store,0,2382,https://oman.arablocal.com/business/view/abdul-rasool-saleh-mohd-store
Reaz Trade Co LLC,+968 23292768,,Dhofar -,Salalah,Oman,Reaz Trade Co LLC,0,2274,https://oman.arablocal.com/business/view/reaz-trade-co-llc
Sun Flower International LLC,+968 26346617,admin@alhosnigroup.com,Barka Industrial Area (Al-Saksook) Barka -,Al Seeb,Oman,Sun Flower International LLC,0,2254,https://oman.arablocal.com/business/view/sun-flower-international-llc
Al Toba Trading Co LLC,+968 24711977,mhd79@windowslive.com,Muttrah Al Kubra -,Hay Al Mina Jibroo,Oman,Al Toba Trading Co LLC,0,2231,https://oman.arablocal.com/business/view/al-toba-trading-co-llc
Abu Fahad Al Ghareebi Trade,+968 25411273,,AL Himaya Nizwa -,Nizwa,Oman,Abu Fahad Al Ghareebi Trade,0,2061,https://oman.arablocal.com/business/view/abu-fahad-al-ghareebi-trade
Ahmed Al Yhmadi Trading,+968 24877388,ahmed-alyhmadi@hotmail.com,Al Amirat -,Hay Al Mina Jibroo,Oman,Ahmed Al Yhmadi Trading,0,2038,https://oman.arablocal.com/business/view/ahmed-al-yhmadi-trading
Fun Garments And Accessories,+968 24713327,,Muttrah Al Kubra -,Ruwi,Oman,Fun Garments And Accessories,0,1879,https://oman.arablocal.com/business/view/fun-garments-and-accessories
