Name,Phone_1,Phone_2,Email,Location,Area,Country,About,Website,Rating,Views,URL
arablocal.com | 520: Web server is returning an unknown error,,,,,,Oman,,,,,https://oman.arablocal.com/business/view/althabat-holding-saoc
arablocal.com | 520: Web server is returning an unknown error,,,,,,Oman,,,,,https://oman.arablocal.com/business/view/awtad-international-company-llc
Muscat International Bitumen LLC,+968 22009630,,mibllcoman@gmail.com,Al Wattiya Mina Al Fahal -,Mina Al Fahal,Oman,Muscat International Bitumen LLC,,0,2314,https://oman.arablocal.com/business/view/muscat-international-bitumen-llc
Abdul Aziz And Brothers LLC,+968 24446792,,madhu@aabrosgroup.com,Ruwi -,Al Hamriyah,Oman,Abdul Aziz And Brothers LLC,,0,2295,https://oman.arablocal.com/business/view/abdul-aziz-and-brothers-llc
arablocal.com | 520: Web server is returning an unknown error,,,,,,Oman,,,,,https://oman.arablocal.com/business/view/horizon-salalah-united-services-llc
arablocal.com | 520: Web server is returning an unknown error,,,,,,Oman,,,,,https://oman.arablocal.com/business/view/iso-certification-in-oman
Saud Bin Musalim Al Rasbi Trading,+968 24560617,,saudmhal@omantel.net.om,Galah -,Azaiba,Oman,Saud Bin Musalim Al Rasbi Trading,,0,2132,https://oman.arablocal.com/business/view/saud-bin-musalim-al-rasbi-trading
Al Awadi International LLC,+968 24212300,,awadiest@omantel.net.om,"Intilal Office Muscat Grand Mall, 1st -",Ruwi,Oman,Al Awadi International LLC,,0,2074,https://oman.arablocal.com/business/view/al-awadi-international-llc
Al Ameen International LLC,+968 24452909,,,Al Mabella -,Al Hamriyah,Oman,Al Ameen International LLC,,0,1924,https://oman.arablocal.com/business/view/al-ameen-international-llc
Manar Al Omran Co Scaffolding And Trading,+968 24614940,,,Galah -,Hay Al Mina Jibroo,Oman,Manar Al Omran Co Scaffolding And Trading,,0,1903,https://oman.arablocal.com/business/view/manar-al-omran-co-scaffolding-and-trading
arablocal.com | 520: Web server is returning an unknown error,,,,,,Oman,,,,,https://oman.arablocal.com/business/view/arkaan-international-engineering-consultancy-llc
arablocal.com | 520: Web server is returning an unknown error,,,,,,Oman,,,,,https://oman.arablocal.com/business/view/al-anwar-holding-co-llc
Suhail Bahwan Group Holding LLC,+968 24650000,,karan.s@suhailbahwangroup.com,Qurum -,Muscat,Oman,Suhail Bahwan Group Holding LLC,http://www.suhailbahwangroup.com,,2489,https://oman.arablocal.com/business/view/suhail-bahwan-group-holding-llc
Jawad International Projects LLC,+968 24493563,,jawadgrp@omanntel.net.om,Nr Al Maha Hotel Al Gubra -,Al Khud,Oman,Jawad International Projects LLC,http://www.jawad.com,0,2167,https://oman.arablocal.com/business/view/jawad-international-projects-llc
Cowi And Partners LLC,+968 24604200,,cowioman@cowi.com,"Bait Mahmiyat, 2nd Floor Al Qurum -",Ruwi,Oman,Cowi And Partners LLC,http://www.cowi.com/oman,0,2054,https://oman.arablocal.com/business/view/cowi-and-partners-llc
Shanfari Group Of Companies,+968 24602710,,Zaki@shanfari.com,"Al Khuwair, Next to Centrepoint -",Muscat,Oman,Shanfari Group Of Companies,http://www.shanfari.com,0,1984,https://oman.arablocal.com/business/view/shanfari-group-of-companies
Ain Al Bedaya Trading,+968 26709555,,alzman@omantel.net.om,Near Bank Shoar Ruwi -,Bidaya,Oman,Ain Al Bedaya Trading,http://www.ajmal.perfume.com,0,1853,https://oman.arablocal.com/business/view/ain-al-bedaya-trading
Al Badi Trading And Contracting Est,+968 26854411,,admin@albadygroup.com,Near Valley Office Saham -,Saham,Oman,Al Badi Trading And Contracting Est,http://www.albadygroup.com,0,1850,https://oman.arablocal.com/business/view/al-badi-trading-and-contracting-est
Al Rawahi Ltd LLC,+968 24563011,,binsalem@omantel.net.om,Al Wattayah -,Muscat,Oman,Al Rawahi Ltd LLC,http://www.binsalim.com,0,1819,https://oman.arablocal.com/business/view/al-rawahi-ltd-llc
Al Anwar Holding Saog,+968 24692503,+968 24692504,sanjay.tiwari@alanwarholdings.com,"Villa # 897, Way # 3013, Shatti -",Al Hamriyah,Oman,Al Anwar Holding Saog,http://www.alanwarholdings.com,0,1693,https://oman.arablocal.com/business/view/al-anwar-holding-saog
