Name,Phone_1,Email,Location,Area,Country,About,Website,Rating,Views,URL
Ateen Restaurants For Popualr Food,+968 23294413,,Salalah Dhofar -,Salalah,Oman,Ateen Restaurants For Popualr Food,,0,3723,https://oman.arablocal.com/business/view/ateen-restaurants-for-popualr-food
Chinese Waterfall Restaurant,+968 23289844,,Salalah Al Wasta Dhofar -,Salalah,Oman,Chinese Waterfall Restaurant,,0,3357,https://oman.arablocal.com/business/view/chinese-waterfall-restaurant
Midas Technical Trading Company LLC,+968 24535151,m.al_hosni@yahoo.com,North Al Mawalah,Al Seeb,Oman,Midas Technical Trading Company LLC,,0,3141,https://oman.arablocal.com/business/view/midas-technical-trading-company-llc
Al Badiyeh Restaurant,+968 24736068,,Near Post Office Muscat -,Muscat,Oman,Al Badiyeh Restaurant,,0,2453,https://oman.arablocal.com/business/view/al-badiyeh-restaurant
Tilal Atin Restaurant For Food Popular,+968 23294413,jn.alabri@gmail.com,ALmuataza Dhofar -,Salalah,Oman,Tilal Atin Restaurant For Food Popular,,,2427,https://oman.arablocal.com/business/view/tilal-atin-restaurant-for-food-popular
Abu Nabil Trading,+968 24814487,,Opp Bahwan Building Material Al Wadi -,Al Wadi Al Kabir,Oman,Abu Nabil Trading,,0,2377,https://oman.arablocal.com/business/view/abu-nabil-trading
International Tourism Restaurant Co,+968 24477714,hamadreda2003@yahoo.com,Kfc Sohar before sohar roundabuot in oman oil Sohar -,Ruwi,Oman,International Tourism Restaurant Co,,0,2278,https://oman.arablocal.com/business/view/international-tourism-restaurant-co
Best Food LLC,+968 23298072,,Opp Anas Bin Malik School Dhofar -,Salalah,Oman,Best Food LLC,,0,2224,https://oman.arablocal.com/business/view/best-food-llc
Abraj Al Madinah Modern Trade And Cont,+968 24810057,issa.harmi@gmail.com,Al Gubra -,Al Harthy Complex,Oman,Abraj Al Madinah Modern Trade And Cont,,0,1849,https://oman.arablocal.com/business/view/abraj-al-madinah-modern-trade-and-cont
Bur Al Hickman Hospitality,+968 24507077,armida@buralhickman.com,Muscat Al Azaiba -,Azaiba,Oman,Bur Al Hickman Hospitality,,0,1830,https://oman.arablocal.com/business/view/bur-al-hickman-hospitality
Said Bin Naser Bin Abdullah Almaaeni For Trading,+968 26712137,,Al Suwaiq -,Al Suwaiq,Oman,Said Bin Naser Bin Abdullah Almaaeni For Trading,,0,1639,https://oman.arablocal.com/business/view/said-bin-naser-bin-abdullah-almaaeni-for-trading
Abdullah Mohammed Said Al Mamari Trade,+968 25651851,,Al Buraimi Al Saraa Area Al Buraimi -,Al Buraimi,Oman,Abdullah Mohammed Said Al Mamari Trade,,0,1615,https://oman.arablocal.com/business/view/abdullah-mohammed-said-al-mamari-trade
Abu Mana Al Shehhi Trade Est,+968 26735286,,Khasab In Lima Area Khasab -,Khasab,Oman,Abu Mana Al Shehhi Trade Est,,0,1607,https://oman.arablocal.com/business/view/abu-mana-al-shehhi-trade-est
Al Haikal Restaurant Pakistani,+968 24700281,,"Near Masjid Qaboos, Muttrah Al Kubra -",Ruwi,Oman,Al Haikal Restaurant Pakistani,,0,1588,https://oman.arablocal.com/business/view/al-haikal-restaurant-pakistani
Abo Al Jalanda Al Hadhrami Trade,+968 26780015,,Nakhal -Bab Al Dhufur Area Nakhal -,Nakhal,Oman,Abo Al Jalanda Al Hadhrami Trade,,,1534,https://oman.arablocal.com/business/view/abo-al-jalanda-al-hadhrami-trade
Abu Saif National Trade Est,+968 26747227,,Area :,Shinas,Oman,Abu Saif National Trade Est,,0,1528,https://oman.arablocal.com/business/view/abu-saif-national-trade-est
Grill House Co LLC Hotel And Restaurant,+968 24605663,grillhousegroup@gmail.com,Near Centre Point Madinat Al -,Al Rumays,Oman,Grill House Co LLC Hotel And Restaurant,,0,1456,https://oman.arablocal.com/business/view/grill-house-co-llc-hotel-and-restaurant
North Star Technical Services LLC,+968 26868984,aboo-ali@live.com,Sohar -,Falaj Al Qabail,Oman,North Star Technical Services LLC,,0,1422,https://oman.arablocal.com/business/view/north-star-technical-services-llc
