Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-time-al-khor-branch-1,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/nespresso-doha-festival-city,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-time-ash-shahaniyah,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/adani-tea,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/cafe-noir,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/batteel-caf-doha-branch1,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-time-umm-salal-muhammed,,
Exit coffee al aziziyah,+974 77790440,,,"55 Othman Bin Affan Street , Doha",55 Othman Bin Affan Street,,Qatar,Exit coffee al aziziyah,,0,1833,https://qatar.arablocal.com/business/view/exit-coffee-al-aziziyah,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-time-lusail,,
Tea Time Lusail Marina,+974 66623113,,,"Lusail Marina, Lusail",Lusail Marina,,Qatar,Tea Time Lusail Marina,,,1737,https://qatar.arablocal.com/business/view/tea-time-lusail-marina,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/batteel-caf-ar-rayyan,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/cinnabon-seattle-s-best-coffee-bin-mahmoud,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/after-dark-cafe,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/nespresso-mall-of-qatar,,
The Coffee Club,+974 44688749,,,City :,,,Qatar,The Coffee Club,,,1538,https://qatar.arablocal.com/business/view/the-coffee-club-1,,
Mazaya Cafe,+974 66249588,,,City :,,,Qatar,Mazaya Cafe,,,1523,https://qatar.arablocal.com/business/view/mazaya-cafe,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/cinnabon-seattle-s-best-coffee-old-airport-road,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/aimee-s-cafe,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/kof-cafe,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/yallakora-playstation-cafe,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/caf-999,,
Tea Tent Cafeteria,+974 44721715,,,Al Khor,,,Qatar,Tea Tent Cafeteria,,,1412,https://qatar.arablocal.com/business/view/tea-tent-cafeteria,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/batteel-caf-doha-branch2,,
Shanab Cafe,+974 40018080,,,City :,,,Qatar,Shanab Cafe,,,1402,https://qatar.arablocal.com/business/view/shanab-cafe,,
arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-day-cafe,,
