Category,Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram,Twitter,YouTube
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/kuwari-optics,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/doha-drug-store,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/lusail-medical-center,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/qatar-armed-forces-medical-services,,,,
health-care,Physiotherapy Bin Omran,+974 44395777,,,Doha,,,Qatar,Physiotherapy Bin Omran,,,6142,https://qatar.arablocal.com/business/view/physiotherapy-bin-omran,,,,
health-care,Kuwari Optics Al Khor,,,,Al Khor,,,Qatar,Kuwari Optics Al Khor,,,5025,https://qatar.arablocal.com/business/view/kuwari-optics-al-khor,,,,
health-care,European For Medical Equipment And Services,+974 77889579,,,"Salwa Rd, Doha",Salwa Rd,,Qatar,European For Medical Equipment And Services,http://www.emesqatar.com,,4083,https://qatar.arablocal.com/business/view/european-for-medical-equipment-and-services,,,,
health-care,Clinic Dr Ghazi Skin And Venereal,+974 44871573,,,Doha,,,Qatar,Clinic Dr Ghazi Skin And Venereal,,,3751,https://qatar.arablocal.com/business/view/clinic-dr-ghazi-skin-and-venereal,,,,
health-care,Damascene Medical Center,+974 55913135,,,Muhammed,,,Qatar,Damascene Medical Center,,,3716,https://qatar.arablocal.com/business/view/damascene-medical-center,,,,
health-care,Al Salam Medical Center Ein Khaled Branch,+974 44441042,,,Doha,,,Qatar,Al Salam Medical Center Ein Khaled Branch,http://www.alsalammedicalcenter.com,,6922,https://qatar.arablocal.com/business/view/al-salam-medical-center-ein-khaled-branch,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-jazeera-medical-centre-mauither-branch,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/dr-muhannad-children-s-clinic,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/kings-dental-center-asian-town,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/24-hours-pharmacies-in-qatar,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/kulud-al-sadd-pharmacy,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/hmc-staff-clinic,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/pearl-medical-center,,,,
health-care,City Medical Center Al Maamoura Doha,+974 44414995,,,"Al Maamoura Saad Bin Majed Bldg, / 49 / Zone: 56 / Street: 780, Doha",Al Maamoura Saad Bin Majed Bldg,/ 49 / Zone: 56 / Street: 780,Qatar,City Medical Center Al Maamoura Doha,http://www.citymedical-center.com,,3329,https://qatar.arablocal.com/business/view/city-medical-center-al-maamoura-doha,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-dousari-veterinary-services-and-agriculture-co-ar-rayyan,,,,
health-care,Kulud Pharmacy Hamad International airport Doha,+974 40182036,,,"Hamad International Airport, Departure terminal B, Taxi Rte, Doha",Hamad International Airport,Taxi Rte,Qatar,Kulud Pharmacy Hamad International airport Doha,http://www.kulud-pharmacy.com,,3048,https://qatar.arablocal.com/business/view/kulud-pharmacy-hamad-international-airport-doha,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/ebn-sina-pharmacy-msheireb,,,,
health-care,Al Dafna Medical Center,,,,"Al Jamiaa St, Doha",Al Jamiaa St,,Qatar,Al Dafna Medical Center,,,3035,https://qatar.arablocal.com/business/view/al-dafna-medical-center,,,,
health-care,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/family-medical-polyclinic-al-aziziyah,,,,
health-care,Beauty Clinic By Turkish Hospital,+974 44992499,,,"Behind Turkish Hospital, Ali Bin Abi Talib St, Al nuzha Signal, Doha",Behind Turkish Hospital,Al nuzha Signal,Qatar,Beauty Clinic By Turkish Hospital,http://www.thbeautyclinic.com,,2958,https://qatar.arablocal.com/business/view/beauty-clinic-by-turkish-hospital,,,,
health-care,Al Hekma Medical Center,+974 44141977,,,"Umm Al Dome St, Ar-Rayyan, Qatar",Umm Al Dome St,Ar-Rayyan,Qatar,Al Hekma Medical Center,http://www.hekmahealth.com,,2790,https://qatar.arablocal.com/business/view/al-hekma-medical-center,,,,
health-care,Aljazeera Medical center Abusidra Branch,+974 44688024,,,"Bldg.No.30 Al silia Road ST .No.870 Zone 55,Al Rayyan",Bldg.No.30 Al silia Road ST .No.870 Zone 55,,Qatar,Aljazeera Medical center Abusidra Branch,,,4051,https://qatar.arablocal.com/business/view/aljazeera-medical-center-abusidra-branch,,,,
cafeterias,Tea Time Bin Omran,+974 44877041,,,Doha,,,Qatar,Tea Time Bin Omran,http://www.teatimeqatar.com,,3837,https://qatar.arablocal.com/business/view/tea-time-bin-omran,,,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-time-al-khor-branch-1,,,,
cafeterias,Noora Cafe,+974 70558376,,,Al Khor,,,Qatar,,https://www.instagram.com,,2860,https://qatar.arablocal.com/business/view/noora-cafe,,https://www.instagram.com,,
cafeterias,Batteel Bakery West Bay,+974 44931211,,info@batteel.com,DohaAl-Istikal Street-Westbay Petroleum Station,,,Qatar,Batteel Bakery West Bay,http://www.batteel.com/,,2718,https://qatar.arablocal.com/business/view/batteel-bakery-and-caf,https://www.facebook.com/BatteelBakery,https://www.instagram.com/batteelbakery/,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/nespresso-doha-festival-city,,,,
cafeterias,Batteel Head Office,+974 44312313,+974 44314805,info@batteel.com,"Suite #7, 2nd floor, Souq Mirqab, Salwa Road Beside Qatar Medical Center, P.O.Box 7775",Suite #7,Salwa Road Beside Qatar Medical Center,Qatar,Batteel Head Office,http://www.batteel.com/,,2527,https://qatar.arablocal.com/business/view/batteel-caf-doha-branch3,https://www.facebook.com/BatteelBakery,https://www.instagram.com/batteelbakery/,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/tea-time-ash-shahaniyah,,,,
cafeterias,Dahab Restaurant And Cafe,+974 33999732,,,"Al Sharq, Doha",Al Sharq,,Qatar,Dahab Restaurant And Cafe,http://www.dahab.qa,,2318,https://qatar.arablocal.com/business/view/dahab-restaurant-and-cafe,,https://www.instagram.com/dahabresturant/?hl=en,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/adani-tea,,,,
cafeterias,Nespresso The Pearl,+974 44885581,,info@bluesalon.com,"Porto Arabia, The Pearl",Porto Arabia,,Qatar,"The Nespresso story began with a simple idea: enable anyone to create the perfect cup of espresso coffee – just like a skilled barista. From its beginning in 1986, Nespresso has redefined and revolutionised the way millions of people enjoy their espresso coffee. It has shaped the global coffee culture. Every Nespresso capsule sold in the world is produced in one of our three state-of-the-art production centres in Switzerland.",http://www.abuissa.com,,2006,https://qatar.arablocal.com/business/view/nespresso-the-pearl,,,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/cafe-noir,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/al-sadd-sc-swimming-academy,,,,
fitness,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/city-gym-ladies-wakra,,,,
fitness,Kerala Ayurvedic Spa Massage Center For Ladies,+974 50007714,,,"Al Nasser, Al Mirqab Al Jadeed St",Al Nasser,,Qatar,Kerala Ayurvedic Spa Massage Center For Ladies,http://kerala-massage-center-for-ladies-doha-qatar.business.site/?utm_source=gmb&utm_medium=referral,,4791,https://qatar.arablocal.com/business/view/kerala-ayurvedic-spa-massage-center-for-ladies-doha-qatar,,,,
business-b2b,Al Misnad Services,+974 44117888,,,"Doha, Qatar",Doha,,Qatar,Al Misnad Services,http://www.almisnadservices.com,,4394,https://qatar.arablocal.com/business/view/al-misnad-services,,,,
cafeterias,arablocal.com | 520: Web server is returning an unknown error,,,,,,,Qatar,,,,,https://qatar.arablocal.com/business/view/batteel-caf-doha-branch1,,,,
fitness,Al Ahli Sports Club Swmming Pool,+974 40327732,,,"Al Nadi St, Doha",Al Nadi St,,Qatar,Al Ahli Sports Club Swmming Pool,http://www.al-ahliclub.com,,4273,https://qatar.arablocal.com/business/view/al-ahli-sports-club-swmming-pool,,,,
cafeterias,Pappa Roti,+974 44315246,,,"Villaggio Mall, Doha",Villaggio Mall,,Qatar,,http://www.papparoti.com.my,,1897,https://qatar.arablocal.com/business/view/pappa-roti,,,,
industrial,Qatar Steel Industries Factory,+974 44603365,,,"15 Abou Omair, Gate No:81, Doha, Qatar. P.O.Box 11182",15 Abou Omair,Doha,Qatar,"Established in 1980, we have carved an unparalleled position in Qatar Market by making relentless endeavor to cater to our clients with premium quality products. We are a Qatar's leading manufacturer of: MS / GI Square / Rectangular / Round ERW & Hollow Pipes / Tubes | GI Corrugated Roofing Sheets | PU foam Insulated Sandwich Roof / Wall Panels | Angle | MS I BEAMS | MS U Channels | MS Flat Bars | C & Z Purlins | Decking Sheet | Chain Link Fencing | HR / CR / Chequered Coils & Sheets | GI Coi...",http://www.qatarsteelfactory.com,,5089,https://qatar.arablocal.com/business/view/qatar-steel-industries-factory,,,,
business-b2b,Nys Enterprises Ltd,+974 33047161,,,"Al Rawabi Street Building 18, Office 215, Doha",Al Rawabi Street Building 18,Office 215,Qatar,Nys Enterprises Ltd,http://www.nysenterprises.ca,,3482,https://qatar.arablocal.com/business/view/nys-enterprises-ltd,,,,
