Category,URL,Scraped_At,Runtime_Sec,Name,Phone_1,Phone_2,Phone_3,WhatsApp,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax
health-care,https://qatar.arablocal.com/business/view/kuwari-optics,2026-04-14 19:11:41,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/doha-drug-store,2026-04-14 19:11:43,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/lusail-medical-center,2026-04-14 19:11:45,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/qatar-armed-forces-medical-services,2026-04-14 19:11:45,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/physiotherapy-bin-omran,2026-04-14 19:11:46,117098,Physiotherapy Bin Omran,+974 44395777,,,,,Doha,,,Qatar,Physiotherapy Bin Omran,,,6142,
health-care,https://qatar.arablocal.com/business/view/kuwari-optics-al-khor,2026-04-14 19:11:46,117098,Kuwari Optics Al Khor,,,,,,Al Khor,,,Qatar,Kuwari Optics Al Khor,,,5025,
health-care,https://qatar.arablocal.com/business/view/european-for-medical-equipment-and-services,2026-04-14 19:11:46,117098,European For Medical Equipment And Services,+974 77889579,,,,,"Salwa Rd, Doha",Salwa Rd,,Qatar,European For Medical Equipment And Services,http://www.emesqatar.com,,4083,
health-care,https://qatar.arablocal.com/business/view/clinic-dr-ghazi-skin-and-venereal,2026-04-14 19:11:47,117098,Clinic Dr Ghazi Skin And Venereal,+974 44871573,,,,,Doha,,,Qatar,Clinic Dr Ghazi Skin And Venereal,,,3751,
health-care,https://qatar.arablocal.com/business/view/damascene-medical-center,2026-04-14 19:11:47,117098,Damascene Medical Center,+974 55913135,,,,,Muhammed,,,Qatar,Damascene Medical Center,,,3716,
health-care,https://qatar.arablocal.com/business/view/al-salam-medical-center-ein-khaled-branch,2026-04-14 19:11:47,117098,Al Salam Medical Center Ein Khaled Branch,+974 44441042,,,,,Doha,,,Qatar,Al Salam Medical Center Ein Khaled Branch,http://www.alsalammedicalcenter.com,,6922,
health-care,https://qatar.arablocal.com/business/view/al-jazeera-medical-centre-mauither-branch,2026-04-14 19:11:48,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/dr-muhannad-children-s-clinic,2026-04-14 19:11:48,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/kings-dental-center-asian-town,2026-04-14 19:11:48,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/24-hours-pharmacies-in-qatar,2026-04-14 19:11:49,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/kulud-al-sadd-pharmacy,2026-04-14 19:11:50,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/hmc-staff-clinic,2026-04-14 19:11:51,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/pearl-medical-center,2026-04-14 19:11:51,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
health-care,https://qatar.arablocal.com/business/view/city-medical-center-al-maamoura-doha,2026-04-14 19:11:53,117098,City Medical Center Al Maamoura Doha,+974 44414995,,,,,"Al Maamoura Saad Bin Majed Bldg, / 49 / Zone: 56 / Street: 780, Doha",Al Maamoura Saad Bin Majed Bldg,/ 49 / Zone: 56 / Street: 780,Qatar,City Medical Center Al Maamoura Doha,http://www.citymedical-center.com,,3329,
health-care,https://qatar.arablocal.com/business/view/al-dousari-veterinary-services-and-agriculture-co-ar-rayyan,2026-04-14 19:11:53,117098,arablocal.com | 520: Web server is returning an unknown error,,,,,,,,,Qatar,,,,,
