Name,Phone_1,Email,Location,Area,Governorate,Country,About,Website,URL,Instagram,LinkedIn,Twitter,YouTube
Bayader,+966 126439063,,"Al Balad Dist., Jeddah, Al Balad Dist., Jeddah, Makkah Province, Saudi Arabia",Al Balad Dist.,Makkah Province,Saudi Arabia,,,https://arablocal.com/business/view/bayader,,,,
Bata Riyadh,+966 14644823,,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"BATA is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,https://arablocal.com/business/view/bata-riyadh,,,,
Alharam Center,+966 12440484,,"Olaya, North, Olaya, North , Ulaya Dist., Riyadh, Riyadh Province, Saudi Arabia",Olaya,Riyadh Province,Saudi Arabia,"ALHARAM CENTER is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,https://arablocal.com/business/view/alharam-center,,,,
Alfaisal Est For Trading And Contracting,+966 6421287,,"P.O. Box: 16494 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 16494,Makkah Province,Saudi Arabia,"AL-FAISAL EST.FOR TRADING AND CONTR. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/alfaisal-est-for-trading-and-contracting,,,,
Bajsair Technical Metal Works Factory,+966 26452069,,"Al Madinah Road Intersection Schools Street Front Of Al Faresy Jewelry, Al Baghdadiyah , P.O.Box: 17221, Postal Code: 21484 , Al Baghdadiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Al Madinah Road Intersection Schools Street Front Of Al Faresy Jewelry,Makkah Province,Saudi Arabia,"Bajsair Technical Metal Works Factory is located in Jeddah, Saudi Arabia. Company is working in Gifts, Accessories business activities.",,https://arablocal.com/business/view/bajsair-technical-metal-works-factory,,,,
Aynama,+966 12705460,,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"AYNAMA is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,https://arablocal.com/business/view/aynama,,,,
Ali Abdullah Alhamidi Est Trading Branch,+966 6471313,,"Jeddah, Makkah Province, Saudi Arabia",Jeddah,Makkah Province,Saudi Arabia,"ALI ABDULLAH AL-HAMIDI EST. (TRADING BRANCH) is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/ali-abdullah-alhamidi-est-trading-branch,,,,
Ali Abdallah Alesayi Est,+966 6317751,,"P.O. Box: 162 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 162,Makkah Province,Saudi Arabia,"ALI ABDALLAH AL-ESAYI EST. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/ali-abdallah-alesayi-est,,,,
Alkabli Co Ltd,+966 6686000,,"P.O. Box: 3311 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 3311,Makkah Province,Saudi Arabia,"AL-KABLI CO. LTD. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/alkabli-co-ltd,,,,
Alsawani Group Branch,+966 6912612,,"P.O. Box: 6411 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 6411,Makkah Province,Saudi Arabia,"AL-SAWANI GROUP (BRANCH) is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/alsawani-group-branch,,,,
Bakraman Trading Est,+966 26483650,,"Jeddah, Makkah Province, Saudi Arabia",Jeddah,Makkah Province,Saudi Arabia,"BAKRAMAN TRADING EST is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,https://arablocal.com/business/view/bakraman-trading-est,,,,
Alfursan Center,+966 6215677,,"P.O. Box: 33630 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 33630,Makkah Province,Saudi Arabia,"AL-FURSAN CENTER is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/alfursan-center,,,,
Ali Abdul Rahman Alamoodi Trading Est,+966 6474185,,"Jeddah, Makkah Province, Saudi Arabia",Jeddah,Makkah Province,Saudi Arabia,"ALI ABDUL RAHMAN AL-AMOODI TRADING EST. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/ali-abdul-rahman-alamoodi-trading-est,,,,
Amira Exhibition,+966 14644355,,"Riyadh City, Riyadh, Riyadh Province, Saudi Arabia",Riyadh City,Riyadh Province,Saudi Arabia,"AMIRA EXHIBITION is located in Riyadh, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,https://arablocal.com/business/view/amira-exhibition,,,,
Alhama For Development Commercial Agencies Co Ltd,+966 6671676,,"P.O. Box: 16201 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 16201,Makkah Province,Saudi Arabia,"AL-HAMA FOR PORDEVELOPMENT COMMERCIAL AGENCIES CO.LTD. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/alhama-for-development-commercial-agencies-co-ltd,,,,
Alyagoot Trading Est,+966 6316644,,"P.O. Box: 30289 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 30289,Makkah Province,Saudi Arabia,"AL-YAGOOT TRADING EST. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,https://arablocal.com/business/view/alyagoot-trading-est,,,,
Bin Talib Trading Est,+966 6492318,,"P.O. Box: 11280 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 11280,Makkah Province,Saudi Arabia,"BIN TALIB TRDG. EST. is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/bin-talib-trading-est,,,,
Blue Line Trading Est,+966 26985707,,"Salama Dist., Jeddah, Makkah Province, Saudi Arabia",Salama Dist.,Makkah Province,Saudi Arabia,"Blue Line Trading Est. is located in Jeddah, Saudi Arabia. Company is working in Gifts, Accessories business activities.",,https://arablocal.com/business/view/blue-line-trading-est,,,,
Algazzaz Trading And Contracting Est,+966 6444215,,"P.O. Box: 3100 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 3100,Makkah Province,Saudi Arabia,"AL-GAZZAZ TRADING AND CONTRACTING EST. is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/algazzaz-trading-and-contracting-est,,,,
Alrashedi Showroom For Ready Made Clothes,+966 6430296,,"P.O. Box: 24370 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 24370,Makkah Province,Saudi Arabia,"AL-RASHEDI SHOWROOM FOR READY MADE CLOTHS is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Kids, Baby Clothing, Kids Clothing business activities.",,https://arablocal.com/business/view/alrashedi-showroom-for-ready-made-clothes,,,,
Arabian Shoes Showroom,+966 6425863,,"P.O. Box: 18997 , Jeddah, Makkah Province, Saudi Arabia",P.O. Box: 18997,Makkah Province,Saudi Arabia,"ARABIAN SHOES SHOWROOM is located in Jeddah, Saudi Arabia. Company is working in Clothing and Accessories, Shoes business activities.",,https://arablocal.com/business/view/arabian-shoes-showroom,,,,
Alwan Store Jeddah,+966 26234786,,"Jawharah Dist., Jeddah, Makkah Province, Saudi Arabia",Jawharah Dist.,Makkah Province,Saudi Arabia,"Alwan Store is located in Jeddah, Saudi Arabia. Company is working in Kids, Baby Clothing, Kids Clothing, Kids Shoes business activities.",,https://arablocal.com/business/view/alwan-store-jeddah,,,,
Bondstrand Ltd,+966 38471500,,"P.O.Box 589; 31421 , Dammam, Eastern Province, Saudi Arabia",P.O.Box 589; 31421,Eastern Province,Saudi Arabia,"BONDSTRAND LTD is located in Dammam, Saudi Arabia. Company is working in Clothing and Accessories, Textile business activities. Visit our company website for more information about us : http://amiantit.com",,https://arablocal.com/business/view/bondstrand-ltd,,,,
