Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Baddad International Co.,+966 112153000,,,"King Abdul Aziz Road, Riyadh, King Abdul Aziz Road, Riyadh, Riyadh Province, Saudi Arabia",King Abdul Aziz Road,Riyadh Province,Saudi Arabia,Al Baddad International Co.,,https://arablocal.com/business/view/al-baddad-international-co,,,,,
Ahmed M. Al Damegh Factory,+966 138114700,,,"Dammam Highway, Dammam, Dammam Highway, Dammam, Eastern Province, Saudi Arabia",Dammam Highway,Eastern Province,Saudi Arabia,Ahmed M. Al Damegh Factory,,https://arablocal.com/business/view/ahmed-m-al-damegh-factory,,,,,
Al Azzam for Refrigerators and Caravans,+966 112957169,,,"Prince Salman Industrial, Riyadh, Prince Salman Industrial, Riyadh, Riyadh Province, Saudi Arabia",Prince Salman Industrial,Riyadh Province,Saudi Arabia,Al Azzam for Refrigerators and Caravans,,https://arablocal.com/business/view/al-azzam-for-refrigerators-and-caravans,,,,,
Al Dakheel Pre-Fabricated Houses And Steel Building,+966 114778560,,,"New Industrial, Riyadh, New Industrial, Riyadh, Riyadh Province, Saudi Arabia",New Industrial,Riyadh Province,Saudi Arabia,Al Dakheel Pre-Fabricated Houses And Steel Building,,https://arablocal.com/business/view/al-dakheel-pre-fabricated-houses-and-steel-building,,,,,
Abdul Aziz Al Dakheel Factory For Portable Houses,+966 112412519,,,"SHOBAH Dist., Riyadh, SHOBAH Dist., Riyadh, Riyadh Province, Saudi Arabia",SHOBAH Dist.,Riyadh Province,Saudi Arabia,Abdul Aziz Al Dakheel Factory For Portable Houses,,https://arablocal.com/business/view/abdul-aziz-al-dakheel-factory-for-portable-houses,,,,,
Saudi Prefab Company- Newfab,+966 114646186,,,"Sulaimaniyah Dist., Riyadh, Sulaimaniyah Dist., Riyadh, Riyadh Province, Saudi Arabia",Sulaimaniyah Dist.,Riyadh Province,Saudi Arabia,Saudi Prefab Company- Newfab,,https://arablocal.com/business/view/saudi-prefab-company-newfab,,,,,
Al Bader Palace For Furnished Flats,+966 143981111,,,"King Abdul Aziz Street Beside Baladya Signal, Yanbu Al Bahar, Yanbu, Yanbu Al Bahar, Yanbu, Madinah Province, Saudi Arabia",King Abdul Aziz Street Beside Baladya Signal,Madinah Province,Saudi Arabia,Al Bader Palace For Furnished Flats,,https://arablocal.com/business/view/al-bader-palace-for-furnished-flats,,,,,
Al Sultan Dammam,+966 138159999,,,"Dammam Jubail Highway, Al Waha Dist., Dammam, Al Waha Dist., Dammam, Eastern Province, Saudi Arabia",Dammam Jubail Highway,Eastern Province,Saudi Arabia,Al Sultan Dammam,,https://arablocal.com/business/view/al-sultan-dammam,,,,,
Address Tower Hotel,+966 133621002,,,"Jubail, Jubail, Jubail, Eastern Province, Saudi Arabia",Jubail,Eastern Province,Saudi Arabia,Address Tower Hotel,,https://arablocal.com/business/view/address-tower-hotel,,,,,
PORTABLE HOUSE FACTORY,+966 540009766,+966 138300571,,"Safwa, Ras Tanurah, Safwa, Ras Tanurah, Eastern Province, Saudi Arabia",Safwa,Eastern Province,Saudi Arabia,PORTABLE HOUSE FACTORY,,https://arablocal.com/business/view/portable-house-factory,,,,,
Hassan Darian Factory For Prefab House Quwaiza Quarter Jeddah,+966 126246031,,,"Quwaiza Quarter, Jeddah, Quwaiza Quarter, Jeddah, Makkah Province, Saudi Arabia",Quwaiza Quarter,Makkah Province,Saudi Arabia,"Manufacturing of prefabricated houses (workers' housing, offices). We have several designs according to finishes & possibility of insurance inside & outside the Kingdom. Renting heavy equipment,",,https://arablocal.com/business/view/hassan-darian-factory-for-prefab-house-quwaiza-quarter-jeddah,,,,,
Bader Trading Est. For Ready Made Houses,+966 565712624,+966 126832245,,"Sari Street, Rabwa Dist., Jeddah, Rabwa Dist., Jeddah, Makkah Province, Saudi Arabia",Sari Street,Makkah Province,Saudi Arabia,Bader Trading Est. For Ready Made Houses,,https://arablocal.com/business/view/bader-trading-est-for-ready-made-houses,,,,,
Al Hout Al Khaliji Portables Factory,+966 138375171,,,"Abo Hadryha Road, Dammam, Abo Hadryha Road, Dammam, Eastern Province, Saudi Arabia",Abo Hadryha Road,Eastern Province,Saudi Arabia,Al Hout Al Khaliji Portables Factory,,https://arablocal.com/business/view/al-hout-al-khaliji-portables-factory,,,,,
