Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Safa Makkah Polyclinic Al Wazarat Riyadh,+966 114012128,,,,"Hara, Al Wazarat Dist., Riyadh, Al Wazarat Dist., Riyadh, Riyadh Province, Saudi Arabia",Hara,Riyadh Province,Saudi Arabia,Safa Makkah Polyclinic Al Wazarat Riyadh,,https://arablocal.com/business/view/safa-makkah-polyclinic-al-wazarat-riyadh,,,,,
Dr Ibrahim Al Taaimi Clinics,+966 920006091,,,,"Al Aqeiq Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Aqeiq Dist.,Riyadh Province,Saudi Arabia,Dr. Ibrahim Al Taaimi Clinics,,https://arablocal.com/business/view/dr-ibrahim-al-taaimi-clinics,,,,,
Taif Medical Center,+966 114881133,,,,"Altkhassusi Street, Maathar St., Riyadh, Maathar St., Riyadh, Riyadh Province, Saudi Arabia",Altkhassusi Street,Riyadh Province,Saudi Arabia,Taif Medical Center,,https://arablocal.com/business/view/taif-medical-center,,,,,
Red Sea Polyclinic,+966 506342641,+966 143223413,,,"Zhour Dist., Yanbu, Zhour Dist., Yanbu, Madinah Province, Saudi Arabia",Zhour Dist.,Madinah Province,Saudi Arabia,Red Sea Polyclinic,,https://arablocal.com/business/view/red-sea-polyclinic,,,,,
Shifa Al Khobar Polyclinic,+966 138944984,,,,"Meshaab Street, Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia",Meshaab Street,Eastern Province,Saudi Arabia,Shifa Al Khobar Polyclinic,,https://arablocal.com/business/view/shifa-al-khobar-polyclinic,,,,,
Primary Health Care Center Al Khobar,+966 138026081,,,,"Al Jeser Dist., Al Khobar, Al Jeser Dist., Al Khobar, Eastern Province, Saudi Arabia",Al Jeser Dist.,Eastern Province,Saudi Arabia,Primary Health Care Center Al Khobar,,https://arablocal.com/business/view/primary-health-care-center-al-khobar,,,,,
Shifa Al Munthaza Polyclinic,+966 122620501,,,,"Al Muntzhat Dist., Jeddah, Al Muntzhat Dist., Jeddah, Makkah Province, Saudi Arabia",Al Muntzhat Dist.,Makkah Province,Saudi Arabia,Shifa Al Munthaza Polyclinic,,https://arablocal.com/business/view/shifa-al-munthaza-polyclinic,,,,,
Your Health Medical Clinic Taif,+966 127499099,,,,"Al Washha Dist., Taif, Al Washha Dist., Taif, Makkah Province, Saudi Arabia",Al Washha Dist.,Makkah Province,Saudi Arabia,Your Health Medical Clinic Taif,,https://arablocal.com/business/view/your-health-medical-clinic-taif,,,,,
Sahaj Medical Clinic,+966 112450683,,,,"Al Jonadriyah, Riyadh, Al Jonadriyah, Riyadh, Riyadh Province, Saudi Arabia",Al Jonadriyah,Riyadh Province,Saudi Arabia,Sahaj Medical Clinic,,https://arablocal.com/business/view/sahaj-medical-clinic,,,,,
Shifa Jeddah Polyclinic And Diagnostic Center,+966 126533636,,,,"King Khalid Street, Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia",King Khalid Street,Makkah Province,Saudi Arabia,Shifa Jeddah Polyclinic And Diagnostic Center,,https://arablocal.com/business/view/shifa-jeddah-polyclinic-and-diagnostic-center,,,,,
Shifa Al Baraka Medical Center,+966 125479000,,,,"Biban Dist., Makkah Al Mukarrmah, Biban Dist., Mecca, Makkah Province, Saudi Arabia",Biban Dist.,Makkah Province,Saudi Arabia,Shifa Al Baraka Medical Center,,https://arablocal.com/business/view/shifa-al-baraka-medical-center,,,,,
Shifa Al Bawadi Medical Services Co.,+966 126625908,,,,"Rabwa Dist., Jeddah, Rabwa Dist., Jeddah, Makkah Province, Saudi Arabia",Rabwa Dist.,Makkah Province,Saudi Arabia,Shifa Al Bawadi Medical Services Co.,,https://arablocal.com/business/view/shifa-al-bawadi-medical-services-co,,,,,
Wajha Specialist Medical Complex,+966 505825059,+966 138327139,,,"Al Rowadh Dist., Dammam, Al Rowadh Dist., Dammam, Eastern Province, Saudi Arabia",Al Rowadh Dist.,Eastern Province,Saudi Arabia,Wajha Specialist Medical Complex,,https://arablocal.com/business/view/wajha-specialist-medical-complex,,,,,
White Wing Medical Center,+966 114834286,,,,"West Of National Commercial Bank, Takhassusi St., Riyadh, Takhassusi St., Riyadh, Riyadh Province, Saudi Arabia",West Of National Commercial Bank,Riyadh Province,Saudi Arabia,White Wing Medical Center,,https://arablocal.com/business/view/white-wing-medical-center,,,,,
Sarabeel Commercial Est.,+966 126572246,,,,"Sharafiyah Dist., Jeddah, Sharafiyah Dist., Jeddah, Makkah Province, Saudi Arabia",Sharafiyah Dist.,Makkah Province,Saudi Arabia,Sarabeel Commercial Est.,,https://arablocal.com/business/view/sarabeel-commercial-est,,,,,
Turki Medical Clinic Complex,+966 127441111,,,,"Al Shuhdah Dist., Taif, Al Shuhdah Dist., Taif, Makkah Province, Saudi Arabia",Al Shuhdah Dist.,Makkah Province,Saudi Arabia,Turki Medical Clinic Complex,,https://arablocal.com/business/view/turki-medical-clinic-complex,,,,,
Ssent Herbal Clinic,,,,,"38 debi nabas road, Riyadh Area, Riyadh, Riyadh Province, Saudi Arabia",38 debi nabas road,Riyadh Province,Saudi Arabia,"Traditional healing by African traditional healer Chief Dembe who has traditional muti, traditional spells casting, traditional herbal remedies & divination to assist humanity resolve problems in their lives by getting in touch with the ancestral spirits SSENT Herbal and Therapy is the home of traditional medicine, spell casting, muti, herbs and herbal therapies that work to cure any disease, illness or solve any problem. Traditional healer to help you get back with a ex lover, traditional he...",,https://arablocal.com/business/view/ssent-herbal-clinic,,,,,
Qasr Al Raed Medical Clinic King Fahd Riyadh,+966 112690606,,,,"Prince Naif Street, King Fahd Dist., Riyadh, King Fahd Dist., Riyadh, Riyadh Province, Saudi Arabia",Prince Naif Street,Riyadh Province,Saudi Arabia,Qasr Al Raed Medical Clinic King Fahd Riyadh,,https://arablocal.com/business/view/qasr-al-raed-medical-clinic-king-fahd-riyadh,,,,,
Rafa Medical Center Al Khobar,+966 138974777,,,,"Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia",Khobar Southern,Eastern Province,Saudi Arabia,Rafa Medical Center Al Khobar,,https://arablocal.com/business/view/rafa-medical-center-al-khobar,https://www.facebook.com/RafaMedicalCenter/,,,,
Thanaya Clinic Dental Clinics Batha Quraish Mecca,+966 125660036,,,,"Batha Quraish, Makkah Al Mukarrmah, Batha Quraish, Mecca, Makkah Province, Saudi Arabia",Batha Quraish,Makkah Province,Saudi Arabia,Thanaya Clinic Dental Clinics Batha Quraish Mecca,,https://arablocal.com/business/view/thanaya-clinic-dental-clinics-batha-quraish-mecca,https://www.facebook.com/pages/category/Hospital/Thanaya-Clinic-227470230602758/,,,,
Al Amal Polyclinic Rabigh,+966 124222916,+966 124223604,+966 124223608,care@alamalclinic.com,"Main Street, Al Samad Dist., Rabigh, Makkah Province, Saudi Arabia",Main Street,Makkah Province,Saudi Arabia,Al Amal Polyclinic Rabigh,http://alamalclinic.com/,https://arablocal.com/business/view/al-amal-polyclinic-rabigh,https://www.facebook.com/Al-Amal-Polyclinic,,,https://twitter.com/alamalclinic,
