Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
health-care,Al Amal Polyclinic Rabigh,+966 124222916,+966 124223604,+966 124223608,care@alamalclinic.com,"Main Street, Al Samad Dist., Rabigh, Makkah Province, Saudi Arabia",Main Street,Makkah Province,Saudi Arabia,Al Amal Polyclinic Rabigh,http://alamalclinic.com/,,https://arablocal.com/business/view/al-amal-polyclinic-rabigh,https://www.facebook.com/Al-Amal-Polyclinic,,,https://twitter.com/alamalclinic,
health-care,Shifa Al Jazeera Polyclinic Al Batha Riyadh,+966 546121901,+966 4024900,+966 4121855,info@shifaaljazeera.com.sa,"Batha Main street – Opp: Jamal Complex, Al Bat'ha Dist., Riyadh, Riyadh Province, Saudi Arabia",Batha Main street – Opp: Jamal Complex,Riyadh Province,Saudi Arabia,"Eighteen years back in the eve of a breezy cool day of November -2002 Shifa al Jazeera was started with a minimal number of Doctors ,Paramedics and other staff.Now we commands a commendable position in the health care sector of Riyadh, due to its integral,cost effective treatment reentered to its patients.When looking back from a simple and humble start we are here with a little pomp and pride.Eighteen years are surly a milestone in the step by step development of this clinic.Days have passed...",http://shifaaljazeera.com.sa/,,https://arablocal.com/business/view/shifa-al-jazeera-polyclinic-al-batha-riyadh,,,,,
health-care,Al Maghlouth Medical Dispensary,+966 135313333,,,,"Makkah Street, Al Shurofiyah, Al Mubarraz, Eastern Province, Saudi Arabia",Makkah Street,Eastern Province,Saudi Arabia,Al Maghlouth Medical Dispensary,http://www.magclinic.com/,,https://arablocal.com/business/view/al-maghlouth-medical-dispensary,,,,,
health-care,Safa Makkah Polyclinic Al Wazarat Riyadh,+966 114012128,,,,"Hara, Al Wazarat Dist., Riyadh, Al Wazarat Dist., Riyadh, Riyadh Province, Saudi Arabia",Hara,Riyadh Province,Saudi Arabia,Safa Makkah Polyclinic Al Wazarat Riyadh,,,https://arablocal.com/business/view/safa-makkah-polyclinic-al-wazarat-riyadh,,,,,
health-care,Dr Ibrahim Al Taaimi Clinics,+966 920006091,,,,"Al Aqeiq Dist., Riyadh, Riyadh Province, Saudi Arabia",Al Aqeiq Dist.,Riyadh Province,Saudi Arabia,Dr. Ibrahim Al Taaimi Clinics,,,https://arablocal.com/business/view/dr-ibrahim-al-taaimi-clinics,,,,,
health-care,Salehiya Medical,+966 138260830,,,,"Hassan Al Basri, Al Tebashee Dist., Dammam, Al Tebashee Dist., Dammam, Eastern Province, Saudi Arabia",Hassan Al Basri,Eastern Province,Saudi Arabia,"Salehiya started commercial activities in 1964, as a specialized healthcare company. At present, it is one of the leading companies in Saudi Arabia specializing in the distribution of pharmaceuticals, medical and laboratory equipment, diagnostics, medical disposables and hospital supplies as well as consumer supplies. The company kept apace with the rapid development of the health sector and evolved along with the demands of a constantly growing market and ambitious development plans of the g...",http://www.salehiya.com,,https://arablocal.com/business/view/salehiya-medical,,,,,
health-care,Rafa Medical Center Al Khobar,+966 138974777,,,,"Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia",Khobar Southern,Eastern Province,Saudi Arabia,Rafa Medical Center Al Khobar,,,https://arablocal.com/business/view/rafa-medical-center-al-khobar,https://www.facebook.com/RafaMedicalCenter/,,,,
health-care,Saudi German Nursing Institute,+966 126623750,,,,"Al Zahra Dist., Makkah Al Mukarrmah, Al Zahra Dist., Mecca, Makkah Province, Saudi Arabia",Al Zahra Dist.,Makkah Province,Saudi Arabia,Saudi German Nursing Institute,http://www.sghgroup.com.sa/ar,,https://arablocal.com/business/view/saudi-german-nursing-institute,https://www.facebook.com/SaudiGermanHospitals/,https://www.instagram.com/sgh.group/,https://www.linkedin.com/company/saudi-german-hospitals-group,https://www.twitter.com/sghgroup,https://www.youtube.com/user/SaudiGermanHospitals
health-care,Taif Medical Center,+966 114881133,,,,"Altkhassusi Street, Maathar St., Riyadh, Maathar St., Riyadh, Riyadh Province, Saudi Arabia",Altkhassusi Street,Riyadh Province,Saudi Arabia,Taif Medical Center,,,https://arablocal.com/business/view/taif-medical-center,,,,,
health-care,Red Sea Polyclinic,+966 506342641,+966 143223413,,,"Zhour Dist., Yanbu, Zhour Dist., Yanbu, Madinah Province, Saudi Arabia",Zhour Dist.,Madinah Province,Saudi Arabia,Red Sea Polyclinic,,,https://arablocal.com/business/view/red-sea-polyclinic,,,,,
health-care,Shifa Al Khobar Polyclinic,+966 138944984,,,,"Meshaab Street, Khobar Southern, Al Khobar, Khobar Southern, Al Khobar, Eastern Province, Saudi Arabia",Meshaab Street,Eastern Province,Saudi Arabia,Shifa Al Khobar Polyclinic,,,https://arablocal.com/business/view/shifa-al-khobar-polyclinic,,,,,
health-care,Al Badr Medical Clinics,+966 125701287,,,,"Al Khansa Dist., Mecca, Makkah Province, Saudi Arabia",Al Khansa Dist.,Makkah Province,Saudi Arabia,Al Badr Medical Clinics,http://www.albadrmedical.com/,,https://arablocal.com/business/view/al-badr-medical-clinics,,,,,
health-care,Primary Health Care Center Al Khobar,+966 138026081,,,,"Al Jeser Dist., Al Khobar, Al Jeser Dist., Al Khobar, Eastern Province, Saudi Arabia",Al Jeser Dist.,Eastern Province,Saudi Arabia,Primary Health Care Center Al Khobar,,,https://arablocal.com/business/view/primary-health-care-center-al-khobar,,,,,
health-care,Shifa Al Munthaza Polyclinic,+966 122620501,,,,"Al Muntzhat Dist., Jeddah, Al Muntzhat Dist., Jeddah, Makkah Province, Saudi Arabia",Al Muntzhat Dist.,Makkah Province,Saudi Arabia,Shifa Al Munthaza Polyclinic,,,https://arablocal.com/business/view/shifa-al-munthaza-polyclinic,,,,,
health-care,Your Health Medical Clinic Taif,+966 127499099,,,,"Al Washha Dist., Taif, Al Washha Dist., Taif, Makkah Province, Saudi Arabia",Al Washha Dist.,Makkah Province,Saudi Arabia,Your Health Medical Clinic Taif,,,https://arablocal.com/business/view/your-health-medical-clinic-taif,,,,,
