Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Injaz Services FZ LLC,+971 44401818,,,,"Dubai Outsource Zone,",Dubai Outsource Zone,Dubai,UAE,Injaz Services FZ LLC,,2749,,https://uae.arablocal.com/business/view/injaz-services-fz-llc,,,,,
Al Khazna Chicken Farm,+971 37372992,,,,Area :,Al Ain,Abu Dhabi,UAE,"Al Khazna Chicken Farm is located in Al Ain, UAE. Company is working in Overseas Business, Import and Export Agents business activities. If you have any questions, please contact us",,2725,,https://uae.arablocal.com/business/view/al-khazna-chicken-farm,,,,,
Fujairah National Printing Press,+971 92223388,,,,"Industrial,",Fujairah,Fujairah,UAE,Fujairah National Printing Press,,3163,,https://uae.arablocal.com/business/view/fujairah-national-printing-press,,,,,
Afdhal Auto Paints Trading,+971 65420451,,,,Sharjah,Industrial Area 5,Sharjah,UAE,Afdhal Auto Paints Trading,,3161,,https://uae.arablocal.com/business/view/afdhal-auto-paints-trading,,,,,
Australian World Trading LLC,+971 3443500,,,,Box No. 333455,Jebel Ali Freezone,Dubai,UAE,"AUSTRALIAN WORLD TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,6526,,https://uae.arablocal.com/business/view/australian-world-trading-llc,,,,,
Al Megido Electromechanical Works LLC,+971 2987818,,,,Box No. 89385,Dubai Others,Dubai,UAE,"AL MEGIDO ELECTROMECHANICAL WORKS LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Civil Engineering, Lift Engineers, Electromechanical Equipment Installation, Plumbing & Sanitary business activities.",,1987,,https://uae.arablocal.com/business/view/al-megido-electromechanical-works--llc,,,,,
Al Abad Manpower Supply,+971 92223302,,,,Fujairah,Al Fujairah,Fujairah,UAE,Al Abad Manpower Supply,,1924,,https://uae.arablocal.com/business/view/al-abad-manpower-supply,,,,,
Afaq Recruitment and Manpower Supply Services,+971 26457007,+971 564012035,,,"Floor # 9, GTH Building, Electra Street, Tourist Club,",Abu Dhabi City,Abu Dhabi,UAE,Afaq Recruitment and Manpower Supply Services,,1758,,https://uae.arablocal.com/business/view/afaq-recruitment-and-manpower-supply-services,,,,,
Holford Facilities Management LLC,+971 43793100,,,,"2nd Floor, SIT Tower, Office 207, Street D 54,",Dubai Silicon Oasis,Dubai,UAE,Holford Facilities Management LLC,,1704,,https://uae.arablocal.com/business/view/holford-facilities-management-llc,,,,,
Al Khaleej Foam Factory,+971 67438844,,,,5274,Ajman Others,Ajman,UAE,"Al Khaleej Foam Factory is located in Ajman, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1791,,https://uae.arablocal.com/business/view/al-khaleej-foam-factory,,,,,
Gardenia Trading Est,+971 43961420,,,,"Shop #2, Ground Floor, Ahmed Saif Belhasa, Al Karama,",Bur Dubai,Dubai,UAE,Gardenia Trading Est,,1825,,https://uae.arablocal.com/business/view/gardenia-trading-est,,,,,
