Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook
Gemini Building Materials Mussafah Abu Dhabi,+971 25541410,+971 561197955,,,"Ground Floor, Firdaus Building, Shop # 114-116, Mussafah (M-3),",Musaffah,Abu Dhabi,UAE,Gemini Building Materials Mussafah Abu Dhabi,,7592,,https://uae.arablocal.com/business/view/gemini-building-materials-mussafah-abu-dhabi,
Emirates International Blocks and Interlock Factory,+971 72447555,,,,Ras Al Khaimah,Al Jazirah Al Hamra,Ras Al Khaimah,UAE,Emirates International Blocks and Interlock Factory,,9095,,https://uae.arablocal.com/business/view/emirates-international-blocks-and-interlock-factory,
Emirates Ceramic Factory,+971 92223995,,,,Fujairah,Al Hayl,Fujairah,UAE,Emirates Ceramic Factory,,4159,,https://uae.arablocal.com/business/view/emirates-ceramic-factory,
Osool Finance Co,+971 42979250,,,,"Hor Al Anz East,",Deira,Dubai,UAE,Osool Finance Co,,4278,,https://uae.arablocal.com/business/view/osool-finance-co,
MS Construction L.L.C,+971 44079799,,,,"Nadd Al Shiba 1,",Nad Al Sheba,Dubai,UAE,MS Construction L.L.C,,3014,,https://uae.arablocal.com/business/view/ms-construction-l-l-c,
Al Futtaim Engineering Elevators and Escalators Division Dubai,+971 42119111,,,,Dubai,Garhoud,Dubai,UAE,Al Futtaim Engineering Elevators and Escalators Division Dubai,,3203,,https://uae.arablocal.com/business/view/al-futtaim-engineering-elevators-and-escalators-division-dubai,
Al Gouz Block Factory LLC,+971 48802880,,,,Dubai,Jebel Ali Industrial,Dubai,UAE,Al Gouz Block Factory LLC,,2986,,https://uae.arablocal.com/business/view/al-gouz-block-factory-llc,
Al Shallalat Well Drilling Est Al Mushrif Abu Dhabi,+971 26429962,+971 502199952,,,"Mezzanine Floor, Building# 848, Office #01, Sheikh Rashid Bin Saeed Street,",Al Mushrif,Abu Dhabi,UAE,Al Shallalat Well Drilling Est Al Mushrif Abu Dhabi,,3007,,https://uae.arablocal.com/business/view/al-shallalat-well-drilling-est-al-mushrif-abu-dhabi,
Schindler UAE Abu Dhabi,+971 26120000,,,,"9th Floor, Tower B - Al Saman Tower, Hamdan Street,",Abu Dhabi Industrial City,Abu Dhabi,UAE,Schindler UAE Abu Dhabi,,3518,,https://uae.arablocal.com/business/view/schindler-uae-abu-dhabi,
El Ezh Building Contracting LLC,+971 72221668,,,,"Floor # 4, Julphar Tower, Al Hisn Road,",Al Nakheel,Ras Al Khaimah,UAE,El Ezh Building Contracting LLC,,2957,,https://uae.arablocal.com/business/view/el-ezh-building-contracting-llc,
