Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Ain Mineral Water Bottling Factory,+971 37686500,,,Al Ain,Al Ain,Abu Dhabi,UAE,Al Ain Mineral Water Bottling Factory,,,4016,https://uae.arablocal.com/business/view/al-ain-mineral-water-bottling-factory,,,,,
Oasis Water Company Abu Dhabi,+971 25582030,,,"Muqtaa,",Muqtaa,Abu Dhabi,UAE,Oasis Water Company Abu Dhabi,,,3625,https://uae.arablocal.com/business/view/oasis-water-company-abu-dhabi,,,,,
Abu Dhabi National Carpet Factory,+971 25515100,,,"ICAD, ICAD,",Al Dabiya,Abu Dhabi,UAE,Abu Dhabi National Carpet Factory,,,3443,https://uae.arablocal.com/business/view/abu-dhabi-national-carpet-factory,,,,,
Faza Trading Llc,+971 2944244,,,Box No. 22700,Dubai Others,Dubai,UAE,"FAZA TRADING LLC is located in Dubai, UAE. Company is working in Beauty Products, Cosmetics, Clothing and Accessories, Shoes, Gifts, Jewellery, Imitation Jewellery, Handbags & Leather Products business activities. If you have any questions, please contact us",,,3081,https://uae.arablocal.com/business/view/faza-trading--llc,,,,,
Noor Islam Engineering CO.LLC,+971 25575858,,,"Mussafah,",Musaffah,Abu Dhabi,UAE,Noor Islam Engineering CO.LLC,,,2325,https://uae.arablocal.com/business/view/noor-islam-engineering-co-llc,,,,,
Diamond Packaging Industries LLC,+971 43881416,,,"Al Quoz,",Al Quoz,Dubai,UAE,Diamond Packaging Industries LLC,,,3007,https://uae.arablocal.com/business/view/diamond-packaging-industries-llc,,,,,
Cdc Abu Dhabi L L C Couture,+971 26335584,,,Abu Dhabi,Dubai Others,Dubai,UAE,"Cdc Abu Dhabi - L L C - Couture is located in Abu Dhabi, UAE. Company is working in Clothing and Accessories business activities. If you have any questions, please contact us",,,2522,https://uae.arablocal.com/business/view/cdc-abu-dhabi-l-l-c-couture,,,,,
Masafi Mineral Water Co LLC Ras Al Khaimah,+971 72286030,,,Ras Al Khaimah,Al Juwais,Ras Al Khaimah,UAE,Masafi Mineral Water Co LLC Ras Al Khaimah,,,2720,https://uae.arablocal.com/business/view/masafi-mineral-water-co-llc-ras-al-khaimah,,,,,
Masafi Mineral Water Co LLC Abu Dhabi,+971 37825929,,,Abu Dhabi,Zayed Port,Abu Dhabi,UAE,Masafi Mineral Water Co LLC Abu Dhabi,,,3030,https://uae.arablocal.com/business/view/masafi-mineral-water-co-llc-abu-dhabi,,,,,
Al Mohamadi Light Industries Co LLC,+971 67431314,,,Ajman,Ajman Industrial 1,Ajman,UAE,Al Mohamadi Light Industries Co LLC,,,2567,https://uae.arablocal.com/business/view/al-mohamadi-light-industries-co-llc,,,,,
