Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Al Haram Carton Ind LLC,+971 65334469,,,,Sharjah,Industrial Area 1,Sharjah,UAE,Al Haram Carton Ind LLC,,6921,,https://uae.arablocal.com/business/view/al-haram-carton-ind-llc,,,,,
Pasco Paving Stones Co LLC Mussafah Abu Dhabi,+971 25591088,,,,"Mezannine Floor, Building #179, Office #M10, Mussafah (M-10),",Musaffah,Abu Dhabi,UAE,Pasco Paving Stones Co LLC Mussafah Abu Dhabi,,5212,,https://uae.arablocal.com/business/view/pasco-paving-stones-co-llc-mussafah-abu-dhabi,,,,,
Al Kharashi Laundry Equipments,+971 42677600,,,,"Ground Floor, Al Kharashi Laundry Equipment Building, Shed # 5, Amman Street,",Al Qusais,Dubai,UAE,Al Kharashi Laundry Equipments,,4571,,https://uae.arablocal.com/business/view/al-kharashi-laundry-equipments,,,,,
Pepsi-Cola International Ltd,+971 43393000,,,,"Al Quoz First,",Al Quoz,Dubai,UAE,Pepsi-Cola International Ltd,,4840,,https://uae.arablocal.com/business/view/pepsi-cola-international-ltd,,,,,
Abu Dhabi Fibre Glass Factory,+971 25511444,,,,Abu Dhabi,Mussafah Industrial Area mw 5,Abu Dhabi,UAE,Abu Dhabi Fibre Glass Factory,,4437,,https://uae.arablocal.com/business/view/abu-dhabi-fibre-glass-factory,,,,,
Al Ain National Juice and Refreshment Company LLC,+971 37216555,,,,"Al Rwaidhat,",Sanaiya,Abu Dhabi,UAE,Al Ain National Juice and Refreshment Company LLC,,4500,,https://uae.arablocal.com/business/view/al-ain-national-juice-and-refreshment-company-llc,,,,,
Lotus General Trading Co LLC,+971 43536862,,,,Dubai,Al Souk Al Kabeer,Dubai,UAE,Lotus General Trading Co LLC,,3775,,https://uae.arablocal.com/business/view/lotus-general-trading-co-llc,,,,,
Al Guthmi Trading Sharjah,+971 65146999,,,,"Maliha Road,",Industrial Area 17,Sharjah,UAE,Al Guthmi Trading Sharjah,,4195,,https://uae.arablocal.com/business/view/al-guthmi-trading-sharjah,,,,,
Golden Paper Cups Manuf. Co. L.L.C,+971 67489941,,,,"Office # 1,",New Industrial Area,Ajman,UAE,Golden Paper Cups Manuf. Co. L.L.C,,4252,,https://uae.arablocal.com/business/view/golden-paper-cups-manuf-co-l-l-c,,,,,
Jebel Ali Carton Factory Inc,+971 48816274,,,,"Jebel Ali Port Zone,",Jebel Ali,Dubai,UAE,Jebel Ali Carton Factory Inc,,3299,,https://uae.arablocal.com/business/view/jebel-ali-carton-factory-inc,,,,,
