Category,Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
health-care,Al Ain Pharmacy Ruwais Branch,+971 507950998,+971 24477065,,info@alain-pharmacy.com,Al RuwaisAl Ruwais City - Abu Dhabi - United Arab Emirates,Al Ruwais,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,,3787,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-ruwais-branch,,,,,
health-care,Saleh Al Shawaf Trading Est - Bernafon Audiology Centre Abu Dhabi,+971 26332383,,,,"M Hamdan,",Al Danah,Abu Dhabi,UAE,Saleh Al Shawaf Trading Est - Bernafon Audiology Centre Abu Dhabi,,,3359,,https://uae.arablocal.com/business/view/saleh-al-shawaf-trading-est-bernafon-audiology-centre-abu-dhabi,,,,,
health-care,Al Hayat Medical Center,+971 67429589,,,,"Choithram Bldg, Floor 1, Flat 12, Sheikh Rashid bin Humaid Al Nuaimi Street, Nakheel",Al Nakheel,Ajman,UAE,"Al Hayat Medical Center is located in Ajman, UAE. Company is working in Doctors and Clinics business activities.",,,3211,,https://uae.arablocal.com/business/view/al-hayat-medical-center,,,,,
health-care,Aster Pharmacy 1 Bur Dubai,+971 43863800,,,info@asterpharmacy.com,"Bur Dubai, Dubai, Bait Al Waleed, Al Souq Al Kabeer. Bur Dubai, Dubai",Bur Dubai,Dubai,UAE,"Starting the journey with just one pharmacy in 1987, Aster Pharmacy, a division of Aster DM Healthcare has evolved over the years & established itself as a responsible healthcare provider. Recognized today as the region’s leading pharmacy retail chain, Aster Pharmacy started with a focus on “delivering good health and happiness” through friendly neighborhood pharmacies which were customer centric and easily accessible.Over the Years, the network has expanded leaps & bounds, reaching up to a s...",http://asterpharmacy.com/pharmacy-network/,,3681,800700600,https://uae.arablocal.com/business/view/aster-pharmacy-1-bur-dubai,https://www.facebook.com/AsterPharmacy,,https://www.linkedin.com/company/3880628,https://twitter.com/Aster_Pharmacy,https://www.youtube.com/channel/UCWTiiPzPymfbo11-dt2OGSQ
health-care,Al Ain Pharmacy Al Maqam Branch,+971 567191896,+971 37676439,,info@alain-pharmacy.com,AsharijBida Bin Ammar - Abu Dhabi - United Arab Emirates,Bida bin ammar,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,,3435,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-al-maqam-branch,,,,,
health-care,Yateem Optician Hamdan St,+971 26776222,,,yateemdubai@yateemgroup.ae,"Yateem Mall, Sh. Hamdan Street.",Dubai Others,Dubai,UAE,"The Yateem legacy began as one of the first optical shops and pharmacy in Bahrain in the year 1910.Late Mr. Ahmed Ali Yateem, was a pioneer in the Middle East region and he saw the need for having a home-grown optical presence to serve the needs of the community.Following his footsteps, the late Mr. Abdulla Ali Yateem formed the foundation for spreading the yateem group through strategic expansions in the region.In 1971 Mr. Naser Abdulla Yateem who had joined the business, ventured out to tap...",http://yateemgroup.com/,,3937,,https://uae.arablocal.com/business/view/yateem-optician-hamdan-st,https://www.facebook.com/yateemoptician/,https://www.instagram.com/yateemoptician_uae/,http://www.linkedin.com/company/yateem-opticians,,https://www.youtube.com/user/YateemOpticians
health-care,Al Ain Pharmacy Zakher Branch,+971 502402798,+971 37807767,,info@alain-pharmacy.com,Zakhir - Abu Dhabi - United Arab Emirates,Zakhir,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,,4441,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-zakher-branch,,,,,
health-care,Al Ain Pharmacy Main Branch,+971 508064341,+971 37655120,,info@alain-pharmacy.com,Central District - Al Ain - United Arab Emirates,Central District,Abu Dhabi,UAE,"Al Ain Pharmacy has been serving the UAE for over 40 years and caring for over 3000 customers everyday across 34 pharmacies.Once inside Al Ain Pharmacy, an army of over 200 trained pharmacists are dedicated to being your remedy runners with over 28,000 products under pharmaceuticals, non-pharmaceuticals, dermaceuticals and home care equipment. With a familial attitude, Al Ain Pharmacy is looking at being, not just your neighborhood chemists, but your wellness consultants!Experience Al Ain Pha...",http://www.alain-pharmacy.com/,,5971,37654438,https://uae.arablocal.com/business/view/al-ain-pharmacy-main-branch,,,,,
health-care,Grand Optics Al Qassimia Sharjah,+971 65528014,,,,"1 st Floor, Matager Mall, Wasat Roundabout,",Al Qassamia,Sharjah,UAE,Grand Optics Al Qassimia Sharjah,,,3165,,https://uae.arablocal.com/business/view/grand-optics-al-qassimia-sharjah,,,,,
health-care,Yateem Optician Al Ain Mall,+971 37510025,,,yateemdubai@yateemgroup.ae,"Al Ain Mall,Al Ain - United Arab Emirates",Al Ain Others,Abu Dhabi,UAE,"The Yateem legacy began as one of the first optical shops and pharmacy in Bahrain in the year 1910.Late Mr. Ahmed Ali Yateem, was a pioneer in the Middle East region and he saw the need for having a home-grown optical presence to serve the needs of the community.Following his footsteps, the late Mr. Abdulla Ali Yateem formed the foundation for spreading the yateem group through strategic expansions in the region.In 1971 Mr. Naser Abdulla Yateem who had joined the business, ventured out to tap...",http://yateemgroup.com/,,2792,,https://uae.arablocal.com/business/view/yateem-optician-al-ain-mall,https://www.facebook.com/yateemoptician/,https://www.instagram.com/yateemoptician_uae/,http://www.linkedin.com/company/yateem-opticians,,https://www.youtube.com/user/YateemOpticians
