Name,Phone_1,Location,Area,Governorate,Country,About,Website,URL,Facebook,Instagram,LinkedIn,YouTube
Al Baddad International Co.,+966 112153000,,,,Saudi Arabia,Al Baddad International Co.,,https://arablocal.com/business/view/al-baddad-international-co,,,,
Ahmed M. Al Damegh Factory,+966 138114700,,,,Saudi Arabia,Ahmed M. Al Damegh Factory,,https://arablocal.com/business/view/ahmed-m-al-damegh-factory,,,,
Al Azzam for Refrigerators and Caravans,+966 112957169,,,,Saudi Arabia,Al Azzam for Refrigerators and Caravans,,https://arablocal.com/business/view/al-azzam-for-refrigerators-and-caravans,,,,
Al Dakheel Pre-Fabricated Houses And Steel Building,+966 114778560,,,,Saudi Arabia,Al Dakheel Pre-Fabricated Houses And Steel Building,,https://arablocal.com/business/view/al-dakheel-pre-fabricated-houses-and-steel-building,,,,
Saudi Prefab Company- Newfab,+966 114646186,"Sulaimaniyah Dist., Riyadh,, Sulaimaniyah Dist.,, Riyadh,, Riyadh Province,, Saudi Arabia",Sulaimaniyah Dist.,Riyadh Province,Saudi Arabia,Saudi Prefab Company- Newfab,,https://arablocal.com/business/view/saudi-prefab-company-newfab,,,,
Abdul Aziz Al Dakheel Factory For Portable Houses,+966 112412519,"SHOBAH Dist., Riyadh,, SHOBAH Dist.,, Riyadh,, Riyadh Province,, Saudi Arabia",SHOBAH Dist.,Riyadh Province,Saudi Arabia,Abdul Aziz Al Dakheel Factory For Portable Houses,,https://arablocal.com/business/view/abdul-aziz-al-dakheel-factory-for-portable-houses,,,,
Al Bader Palace For Furnished Flats,+966 143981111,"King Abdul Aziz Street Beside Baladya Signal, Yanbu Al Bahar, Yanbu,, Yanbu Al Bahar,, Yanbu,, Madinah Province,, Saudi Arabia",King Abdul Aziz Street Beside Baladya Signal,Madinah Province,Saudi Arabia,Al Bader Palace For Furnished Flats,,https://arablocal.com/business/view/al-bader-palace-for-furnished-flats,,,,
Boecker Public Health Co.,+966 112884466,,,,Saudi Arabia,"Boecker Public Health, the region’s largest Pest Management, Food Safety and Biosecurity services, provides World Class services for the most demanding commercial, food service and residential sectors. Founded in 1993, Boecker has been positioned as a renowned leader in the field of public health with a well founded expansion in the Middle East region operating in UAE, Lebanon, Saudi Arabia, Kuwait, Qatar and lately in Nigeria.",http://www.boecker.com,https://arablocal.com/business/view/boecker-public-health-co,https://www.facebook.com/FollowBoecker/,https://www.instagram.com/followboecker/,https://www.linkedin.com/company/boecker-public-health,https://www.youtube.com/user/boeckerpublichealth
Eastern Factory For Ready Houses,+966 138112301,,,,Saudi Arabia,Specialized in ready houses manufacturing and supplying for more than 28 years.,http://www.eastern-factory.com,https://arablocal.com/business/view/eastern-factory-for-ready-houses,,,,
Mura Bustan Compounds,+966 126910041,,,,Saudi Arabia,Mura Bustan Compounds,http://www.mura-bustan.com,https://arablocal.com/business/view/mura-bustan-compounds,,,,
