Category,URL,Scraped_At,Runtime_Sec,Name,Phone_1,Phone_2,Phone_3,WhatsApp,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax
accomodation,https://arablocal.com/business/view/boecker-public-health-co,2026-04-14 17:11:05,11,Boecker Public Health Co.,+966 112884466,,,,,,,,Saudi Arabia,"Boecker Public Health, the region’s largest Pest Management, Food Safety and Biosecurity services, provides World Class services for the most demanding commercial, food service and residential sectors. Founded in 1993, Boecker has been positioned as a renowned leader in the field of public health with a well founded expansion in the Middle East region operating in UAE, Lebanon, Saudi Arabia, Kuwait, Qatar and lately in Nigeria.",http://www.boecker.com,,,
accomodation,https://arablocal.com/business/view/eastern-factory-for-ready-houses,2026-04-14 17:11:06,12,Eastern Factory For Ready Houses,+966 138112301,,,,,,,,Saudi Arabia,Specialized in ready houses manufacturing and supplying for more than 28 years.,http://www.eastern-factory.com,,,
accomodation,https://arablocal.com/business/view/al-baddad-international-co,2026-04-14 17:11:09,14,Al Baddad International Co.,+966 112153000,,,,,,,,Saudi Arabia,Al Baddad International Co.,,,,
accomodation,https://arablocal.com/business/view/ahmed-m-al-damegh-factory,2026-04-14 17:11:10,15,Ahmed M. Al Damegh Factory,+966 138114700,,,,,,,,Saudi Arabia,Ahmed M. Al Damegh Factory,,,,
accomodation,https://arablocal.com/business/view/al-azzam-for-refrigerators-and-caravans,2026-04-14 17:11:11,16,Al Azzam for Refrigerators and Caravans,+966 112957169,,,,,,,,Saudi Arabia,Al Azzam for Refrigerators and Caravans,,,,
accomodation,https://arablocal.com/business/view/mura-bustan-compounds,2026-04-14 17:11:12,17,Mura Bustan Compounds,+966 126910041,,,,,,,,Saudi Arabia,Mura Bustan Compounds,http://www.mura-bustan.com,,,
accomodation,https://arablocal.com/business/view/al-dakheel-pre-fabricated-houses-and-steel-building,2026-04-14 17:11:13,18,Al Dakheel Pre-Fabricated Houses And Steel Building,+966 114778560,,,,,,,,Saudi Arabia,Al Dakheel Pre-Fabricated Houses And Steel Building,,,,
accessory,https://arablocal.com/business/view/bayader,2026-04-14 17:49:04,8,Bayader,+966 126439063,,,,,"Al Balad Dist., Jeddah,, Al Balad Dist.,, Jeddah,, Makkah Province,, Saudi Arabia",Al Balad Dist.,Makkah Province,Saudi Arabia,,,,,
accomodation,https://arablocal.com/business/view/saudi-prefab-company-newfab,2026-04-14 17:49:04,8,Saudi Prefab Company- Newfab,+966 114646186,,,,,"Sulaimaniyah Dist., Riyadh,, Sulaimaniyah Dist.,, Riyadh,, Riyadh Province,, Saudi Arabia",Sulaimaniyah Dist.,Riyadh Province,Saudi Arabia,Saudi Prefab Company- Newfab,,,,
accomodation,https://arablocal.com/business/view/abdul-aziz-al-dakheel-factory-for-portable-houses,2026-04-14 17:49:04,8,Abdul Aziz Al Dakheel Factory For Portable Houses,+966 112412519,,,,,"SHOBAH Dist., Riyadh,, SHOBAH Dist.,, Riyadh,, Riyadh Province,, Saudi Arabia",SHOBAH Dist.,Riyadh Province,Saudi Arabia,Abdul Aziz Al Dakheel Factory For Portable Houses,,,,
