Category,URL,Scraped_At,Runtime_Sec,Name,Phone_1,Phone_2,Phone_3,WhatsApp,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax
construction,https://uae.arablocal.com/business/view/gemini-building-materials-mussafah-abu-dhabi,2026-04-14 15:53:28,19,Gemini Building Materials Mussafah Abu Dhabi,+971 25541410,+971 561197955,,,,"Ground Floor, Firdaus Building, Shop # 114-116, Mussafah (M-3),",Musaffah,Abu Dhabi,UAE,Gemini Building Materials Mussafah Abu Dhabi,,,7590,
construction,https://uae.arablocal.com/business/view/mohammed-abdul-mohsin-al-kharafi-and-sons-llc-dubai,2026-04-14 15:53:31,23,Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Dubai,+971 43607754,,,,,"Building # 2, Office # 208, Dubai Industrial Park, DubaiP.O.Box: 11171, Dubai",Dubai Industrial Park,Dubai,UAE,"One of the largest in the Middle East area, classified in Category ""I""​ (First) with the Central Tenders Committee of Kuwait and treated at par with international contractors..",http://www.makharafi.net/,,13576,
construction,https://uae.arablocal.com/business/view/emirates-international-blocks-and-interlock-factory,2026-04-14 15:53:38,29,Emirates International Blocks and Interlock Factory,+971 72447555,,,,,Ras Al Khaimah,Al Jazirah Al Hamra,Ras Al Khaimah,UAE,Emirates International Blocks and Interlock Factory,,,9090,
construction,https://uae.arablocal.com/business/view/emirates-ceramic-factory,2026-04-14 15:53:40,32,Emirates Ceramic Factory,+971 92223995,,,,,Fujairah,Al Hayl,Fujairah,UAE,Emirates Ceramic Factory,,,4156,
construction,https://uae.arablocal.com/business/view/schindler-uae-abu-dhabi,2026-04-14 15:53:43,35,Schindler UAE Abu Dhabi,+971 26120000,,,,,"9th Floor, Tower B - Al Saman Tower, Hamdan Street,",Abu Dhabi Industrial City,Abu Dhabi,UAE,Schindler UAE Abu Dhabi,,,3516,
construction,https://uae.arablocal.com/business/view/osool-finance-co,2026-04-14 15:53:49,41,Osool Finance Co,+971 42979250,,,,,"Hor Al Anz East,",Deira,Dubai,UAE,Osool Finance Co,,,4276,
construction,https://uae.arablocal.com/business/view/mohammed-abdul-mohsin-al-kharafi-and-sons-llc-abu-dhabi,2026-04-14 15:53:55,47,Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Abu Dhabi,+971 25542200,,,,,"ADMAK Building, Mussafah (M-15),",Musaffah,Abu Dhabi,UAE,Mohammed Abdul Mohsin Al-Kharafi and Sons LLC Abu Dhabi,http://www.makharafi.net/,,6122,
construction,https://uae.arablocal.com/business/view/dubai-adhesive-material-factory-llc,2026-04-14 15:53:58,50,Dubai Adhesive Material Factory LLC,+971 65349708,+971 552412975,,,,"Plot # 4, 8th Kalba Road, Industrial Area 17 ,",Industrial Area,Sharjah,UAE,Dubai Adhesive Material Factory LLC,http://www.dubaiadhesive.com/,,3376,
construction,https://uae.arablocal.com/business/view/abu-dhabi-precast-llc,2026-04-14 15:54:05,57,Abu Dhabi Precast LLC,+971 25501033,+971 565035567,,,,"Floor # 25, Sector # 1-25, ICAD City, Sanaya,",Musaffah,Abu Dhabi,UAE,Abu Dhabi Precast LLC,http://www.abudhabiprecast.com/adp/index.php?cmd=cms__message&msg=U29ycnkhIFlvdSBhcmUgbm90IGF1dGhvcml6aW5nZ2dnZ2dnZyB0byBhY2Nlc3MgdGhpcyBwYWdlLg==,,3449,
construction,https://uae.arablocal.com/business/view/al-gouz-block-factory-llc,2026-04-14 15:54:10,62,Al Gouz Block Factory LLC,+971 48802880,,,,,Dubai,Jebel Ali Industrial,Dubai,UAE,Al Gouz Block Factory LLC,,,2984,
