Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,LinkedIn,Twitter,YouTube
Australian World Trading LLC,+971 3443500,,,Box No. 333455,Jebel Ali Freezone,Dubai,UAE,"AUSTRALIAN WORLD TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,6523,,https://uae.arablocal.com/business/view/australian-world-trading-llc,,,,,
Fujairah National Printing Press,+971 92223388,,,"Industrial,",Fujairah,Fujairah,UAE,Fujairah National Printing Press,,3159,,https://uae.arablocal.com/business/view/fujairah-national-printing-press,,,,,
Injaz Services FZ LLC,+971 44401818,,,"Dubai Outsource Zone,",Dubai Outsource Zone,Dubai,UAE,Injaz Services FZ LLC,,2745,,https://uae.arablocal.com/business/view/injaz-services-fz-llc,,,,,
Al Khazna Chicken Farm,+971 37372992,,,Area :,Al Ain,Abu Dhabi,UAE,"Al Khazna Chicken Farm is located in Al Ain, UAE. Company is working in Overseas Business, Import and Export Agents business activities. If you have any questions, please contact us",,2722,,https://uae.arablocal.com/business/view/al-khazna-chicken-farm,,,,,
Afdhal Auto Paints Trading,+971 65420451,,,Sharjah,Industrial Area 5,Sharjah,UAE,Afdhal Auto Paints Trading,,3159,,https://uae.arablocal.com/business/view/afdhal-auto-paints-trading,,,,,
Al Megido Electromechanical Works LLC,+971 2987818,,,Box No. 89385,Dubai Others,Dubai,UAE,"AL MEGIDO ELECTROMECHANICAL WORKS LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Civil Engineering, Lift Engineers, Electromechanical Equipment Installation, Plumbing & Sanitary business activities.",,1985,,https://uae.arablocal.com/business/view/al-megido-electromechanical-works--llc,,,,,
Al Abad Manpower Supply,+971 92223302,,,Fujairah,Al Fujairah,Fujairah,UAE,Al Abad Manpower Supply,,1922,,https://uae.arablocal.com/business/view/al-abad-manpower-supply,,,,,
Al Khaleej Foam Factory,+971 67438844,,,5274,Ajman Others,Ajman,UAE,"Al Khaleej Foam Factory is located in Ajman, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1789,,https://uae.arablocal.com/business/view/al-khaleej-foam-factory,,,,,
Afaq Recruitment and Manpower Supply Services,+971 26457007,+971 564012035,,"Floor # 9, GTH Building, Electra Street, Tourist Club,",Abu Dhabi City,Abu Dhabi,UAE,Afaq Recruitment and Manpower Supply Services,,1756,,https://uae.arablocal.com/business/view/afaq-recruitment-and-manpower-supply-services,,,,,
Holford Facilities Management LLC,+971 43793100,,,"2nd Floor, SIT Tower, Office 207, Street D 54,",Dubai Silicon Oasis,Dubai,UAE,Holford Facilities Management LLC,,1702,,https://uae.arablocal.com/business/view/holford-facilities-management-llc,,,,,
Asmacs FZE,+971 65260711,,,"Hamriyah Free Zone,",Hamriyah Free Zone,Sharjah,UAE,,,1644,,https://uae.arablocal.com/business/view/asmacs-fze,,,,,
Gardenia Trading Est,+971 43961420,,,"Shop #2, Ground Floor, Ahmed Saif Belhasa, Al Karama,",Bur Dubai,Dubai,UAE,Gardenia Trading Est,,1823,,https://uae.arablocal.com/business/view/gardenia-trading-est,,,,,
Ac Nielsen Amer Shj Branch,+971 65724848,,,P.O Box 22525,Dubai Others,Dubai,UAE,"A/C Nielsen Amer (Shj. Branch) is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1505,,https://uae.arablocal.com/business/view/ac-nielsen-amer-shj-branch,,,,,
Al-Hiba Intellectual Property,+971 42547700,,,"Floor #1, Office #109,",Hor Al Anz East,Dubai,UAE,Al-Hiba Intellectual Property,,1493,,https://uae.arablocal.com/business/view/al-hiba-intellectual-property,,,,,
Al Arabia Operation and Maintenance LLC,+971 42851145,,,"Juma Al Majid Building, Al Marakech Street, Umm Ramool,",Al Rashidiya,Dubai,UAE,Al Arabia Operation and Maintenance LLC,,1404,,https://uae.arablocal.com/business/view/al-arabia-operation-and-maintenance-llc,,,,,
Dumarques Llc,+971 2211425,,,Box No. 5899,Dubai Others,Dubai,UAE,"DUMARQUES LLC is located in Dubai, UAE. Company is working in Trading business activities.",,1388,,https://uae.arablocal.com/business/view/dumarques--llc,,,,,
Al Arab and Asia Oil Fields Services LLC,+971 65615711,,,Sharjah,Umm Altaraffa,Sharjah,UAE,Al Arab and Asia Oil Fields Services LLC,,1380,,https://uae.arablocal.com/business/view/al-arab-and-asia-oil-fields-services-llc,,,,,
