Name,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,LinkedIn,Phone,Twitter,YouTube
Australian World Trading LLC,,Box No. 333455,Jebel Ali Freezone,Dubai,UAE,"AUSTRALIAN WORLD TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,6523,,https://uae.arablocal.com/business/view/australian-world-trading-llc,,,,+971 3443500,,
Fujairah National Printing Press,,"Industrial,",Fujairah,Fujairah,UAE,Fujairah National Printing Press,,3159,,https://uae.arablocal.com/business/view/fujairah-national-printing-press,,,,+971 92223388,,
Injaz Services FZ LLC,,"Dubai Outsource Zone,",Dubai Outsource Zone,Dubai,UAE,Injaz Services FZ LLC,,2745,,https://uae.arablocal.com/business/view/injaz-services-fz-llc,,,,+971 44401818,,
Afdhal Auto Paints Trading,,Sharjah,Industrial Area 5,Sharjah,UAE,Afdhal Auto Paints Trading,,3159,,https://uae.arablocal.com/business/view/afdhal-auto-paints-trading,,,,+971 65420451,,
Al Khazna Chicken Farm,,Area :,Al Ain,Abu Dhabi,UAE,"Al Khazna Chicken Farm is located in Al Ain, UAE. Company is working in Overseas Business, Import and Export Agents business activities. If you have any questions, please contact us",,2722,,https://uae.arablocal.com/business/view/al-khazna-chicken-farm,,,,+971 37372992 37372995,,
Al Megido Electromechanical Works LLC,,Box No. 89385,Dubai Others,Dubai,UAE,"AL MEGIDO ELECTROMECHANICAL WORKS LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Civil Engineering, Lift Engineers, Electromechanical Equipment Installation, Plumbing & Sanitary business activities.",,1985,,https://uae.arablocal.com/business/view/al-megido-electromechanical-works--llc,,,,+971 2987818 2981817,,
Abdul Aziz Mohd Al Majid Est,,Sharjah,Al Majaz 3,Sharjah,UAE,Abdul Aziz Mohd Al Majid Est,,2399,,https://uae.arablocal.com/business/view/abdul-aziz-mohd-al-majid-est,,,,+971 65564447,,
Al Abad Manpower Supply,,Fujairah,Al Fujairah,Fujairah,UAE,Al Abad Manpower Supply,,1922,,https://uae.arablocal.com/business/view/al-abad-manpower-supply,,,,+971 92223302,,
Al Khaleej Foam Factory,,5274,Ajman Others,Ajman,UAE,"Al Khaleej Foam Factory is located in Ajman, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1789,,https://uae.arablocal.com/business/view/al-khaleej-foam-factory,,,,+971 67438844 67439800,,
Afaq Recruitment and Manpower Supply Services,,"Floor # 9, GTH Building, Electra Street, Tourist Club,",Abu Dhabi City,Abu Dhabi,UAE,Afaq Recruitment and Manpower Supply Services,,1756,,https://uae.arablocal.com/business/view/afaq-recruitment-and-manpower-supply-services,,,,+971 26457007; +971 564012035 26457006,,
Holford Facilities Management LLC,,"2nd Floor, SIT Tower, Office 207, Street D 54,",Dubai Silicon Oasis,Dubai,UAE,Holford Facilities Management LLC,,1702,,https://uae.arablocal.com/business/view/holford-facilities-management-llc,,,,+971 43793100 43793200,,
Asmacs FZE,,"Hamriyah Free Zone,",Hamriyah Free Zone,Sharjah,UAE,,,1644,,https://uae.arablocal.com/business/view/asmacs-fze,,,,+971 65260711,,
Gardenia Trading Est,,"Shop #2, Ground Floor, Ahmed Saif Belhasa, Al Karama,",Bur Dubai,Dubai,UAE,Gardenia Trading Est,,1823,,https://uae.arablocal.com/business/view/gardenia-trading-est,,,,+971 43961420 43962504,,
Ac Nielsen Amer Shj Branch,,P.O Box 22525,Dubai Others,Dubai,UAE,"A/C Nielsen Amer (Shj. Branch) is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1505,,https://uae.arablocal.com/business/view/ac-nielsen-amer-shj-branch,,,,+971 65724848 65728153,,
Al-Hiba Intellectual Property,,"Floor #1, Office #109,",Hor Al Anz East,Dubai,UAE,Al-Hiba Intellectual Property,,1493,,https://uae.arablocal.com/business/view/al-hiba-intellectual-property,,,,+971 42547700 42547772,,
Al Arabia Operation and Maintenance LLC,,"Juma Al Majid Building, Al Marakech Street, Umm Ramool,",Al Rashidiya,Dubai,UAE,Al Arabia Operation and Maintenance LLC,,1404,,https://uae.arablocal.com/business/view/al-arabia-operation-and-maintenance-llc,,,,+971 42851145 42857890,,
Al Arab and Asia Oil Fields Services LLC,,Sharjah,Umm Altaraffa,Sharjah,UAE,Al Arab and Asia Oil Fields Services LLC,,1380,,https://uae.arablocal.com/business/view/al-arab-and-asia-oil-fields-services-llc,,,,+971 65615711,,
Binghatti Holding Limited,,"Level 1, Gate Village 6, Office 8 and 9, 312th Road,",Dubai International Financial Centre,Dubai,UAE,Binghatti Holding Limited,,1358,,https://uae.arablocal.com/business/view/binghatti-holding-limited,,,,+971 43863538,,
Fujairah Marble and Tiles Factory,,"Dibba,",Dibba,Fujairah,UAE,Fujairah Marble and Tiles Factory,,1660,,https://uae.arablocal.com/business/view/fujairah-marble-and-tiles-factory,,,,+971 92444101,,
Flex Facility Management LLC,,"Office # 124, 1st Floor, Al Fahad Building # 4, Damascus Street, Al Qusais Ind. Second,",Al Qusais,Dubai,UAE,Flex Facility Management LLC,,1324,,https://uae.arablocal.com/business/view/flex-facility-management-llc,,,,+971 42205999 42205353,,
Dumarques Llc,,Box No. 5899,Dubai Others,Dubai,UAE,"DUMARQUES LLC is located in Dubai, UAE. Company is working in Trading business activities.",,1388,,https://uae.arablocal.com/business/view/dumarques--llc,,,,+971 2211425 2237285,,
Avenues World FZ LLC,,"Building #10, 3rd Floor, Office #313,",Dubai Internet City,Dubai,UAE,Avenues World FZ LLC,,1302,,https://uae.arablocal.com/business/view/avenues-world-fz-llc,,,,+971 45531029,,
American Global International University,,Po Box 39362,Dubai Others,Dubai,UAE,"AMERICAN GLOBAL INTERNATIONAL UNIVERSITY is located in Dubai, UAE. Company is working in Trading, Agricultural, Veterinary Pesticides Trading, Colleges and Universities, Schools business activities.",,1272,,https://uae.arablocal.com/business/view/american-global-international-university,,,,,,
Frontier General Trading Llc,,P.O Box 120181,Dubai Others,Dubai,UAE,"FRONTIER GENERAL TRADING (L.L.C) is located in Dubai, UAE. Company is working in Small Business, General Traders business activities. If you have any questions, please contact us",,1281,,https://uae.arablocal.com/business/view/frontier-general-trading--llc,,,,+971 3517712 3517713,,
Al Suraa Al Faiqah Electrical Devices Trading,,"Tehsil Building - Block B, 1st Floor, Industrial Area 13,",Industrial Area,Sharjah,UAE,Al Suraa Al Faiqah Electrical Devices Trading,,1260,,https://uae.arablocal.com/business/view/al-suraa-al-faiqah-electrical-devices-trading,,,,+971 65562505 65562505,,
Fujairah National Dairy Farm,,"P.O.Box No.11680, DIB",Dibba,Fujairah,UAE,"FUJAIRAH NATL DAIRY FARM is located in P.O.Box No.11680, DIB, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1266,,https://uae.arablocal.com/business/view/fujairah-national-dairy-farm,,,,+971 92443021 92443022,,
East Sun Trading,,Area :,Dubai Others,Dubai,UAE,"East Sun Trading is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading business activities. If you have any questions, please contact us",,1259,,https://uae.arablocal.com/business/view/east-sun-trading,,,,+971 42732812 42732814,,
Huawei Tech UAE FZ LLC,,Dubai,Al Sufouh 2,Dubai,UAE,Huawei Tech UAE FZ LLC,,1564,,https://uae.arablocal.com/business/view/huawei-tech-uae-fz-llc,,,,+971 43915608,,
110 General Trading LLC,,Box No. 11217,Dubai Others,Dubai,UAE,"110 GENERAL TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,1214,,https://uae.arablocal.com/business/view/110-general-trading-llc,,,,+971 2738510 2738509,,
Abu Faisal Services Est,,"Khalifa Street,",Al Ain,Abu Dhabi,UAE,Abu Faisal Services Est,,1209,,https://uae.arablocal.com/business/view/abu-faisal-services-est,,,,+971 37654783 37666670,,
Delma Co-Operative Society,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Delma Co-Operative Society,,1536,,https://uae.arablocal.com/business/view/delma-co-operative-society,,,,+971 26669440,,
ASC FZ LLC,,"2nd Floor, Building 4,",Dubai Outsource Zone,Dubai,UAE,,,1197,,https://uae.arablocal.com/business/view/asc-fz-llc,,,,+971 44293900,,
Al Sariya General Trading,,Al Shamal St,Dubai Others,Dubai,UAE,"AL SARIYA GENERAL TRADING is located in Dubai, UAE. Company is working in Overseas Business, Import and Export Agents, Trading business activities. If you have any questions, please contact us",,1195,,https://uae.arablocal.com/business/view/al-sariya-general-trading,,,,+971 42266110 42260161,,
Ali Khalifa Ali Trading LLC,,"Ground Floor, Bin Thani Building,",Deira,Dubai,UAE,Ali Khalifa Ali Trading LLC,,1496,,https://uae.arablocal.com/business/view/ali-khalifa-ali-trading-llc,,,,+971 4,,
Links Commercial Brokers LLC,,"Third Floor, Fairmont Hotel, Sheikh Zayed Road,",Trade Center,Dubai,UAE,Links Commercial Brokers LLC,,1181,,https://uae.arablocal.com/business/view/links-commercial-brokers-llc,,,,+971 43325777 43325541,,
AppWhiz,,"Business Avenue Building, Suite # 806, Sheikh Rashid Road,",Al Khabaisi,Dubai,UAE,,,1192,,https://uae.arablocal.com/business/view/appwhiz,,,,+971 42949442,,
Alwafaa Group,,"Mezzanine Floor , Atrium Building / NBQ Bank Building, Office # M23, Al Doha Street, Abu Hail,",Deira,Dubai,UAE,Alwafaa Group,,1182,,https://uae.arablocal.com/business/view/alwafaa-group,,,,+971 4,,
Al Baraka Manpower Supply Services,,Dubai,Hor Al Anz,Dubai,UAE,Al Baraka Manpower Supply Services,,1155,,https://uae.arablocal.com/business/view/al-baraka-manpower-supply-services,,,,+971 42628816,,
Leadergate Typing and Administration,,"Ground Floor, Building # 13, Mussafah (M-9),",Musaffah,Abu Dhabi,UAE,Leadergate Typing and Administration,,1160,,https://uae.arablocal.com/business/view/leadergate-typing-and-administration,,,,+971 25566051 25566061,,
Belad Alkhair General Trading LLC,,Box No. 7648,Dubai Airport Free Zone,Dubai,UAE,"BELAD ALKHAIR GENERAL TRADING LLC is located in Dubai, UAE. Company is working in Trading business activities.",,1149,,https://uae.arablocal.com/business/view/belad-alkhair-general-trading-llc,,,,+971 2583559 2583559,,
Al Tariq Trading Company LLC,,"Al Zarooni building, Murshid Bazaar, , P.O. Box: 3305",Deira,Dubai,UAE,"Al Tariq Trading Company LLC is located in Dubai, UAE. Company is working in Trading, Blankets, Towels, Linens Trading business activities.",,1118,,https://uae.arablocal.com/business/view/al-tariq-trading-company--llc,,,,+971 42263605 42251225,,
Cactus General Trading LLC,,P.O. Box: 234307,Sharjah Others,Sharjah,UAE,"Cactus Gen Trdg LLC is located in Dubai, UAE. Company is working in Small Business, General Traders business activities.",,1131,,https://uae.arablocal.com/business/view/cactus-general-trading-llc,,,,+971 44477428 44477429,,
Fitra International Fzco,,P.O Box 16946,Dubai Others,Dubai,UAE,"Fitra International FZCO is located in Dubai, UAE. Company is working in Others business activities. If you have any questions, please contact us",,1142,,https://uae.arablocal.com/business/view/fitra-international-fzco,,,,+971 48045300 48045349,,
Al Furqan Trading Co,,Dubai,Deira,Dubai,UAE,Al Furqan Trading Co,,1376,,https://uae.arablocal.com/business/view/al-furqan-trading-co,,,,+971 42676634,,
Leader Express,,"5th Floor, Ministry of Economy Building, Office # 501, Near Clock Tower,",Business Village,Dubai,UAE,Leader Express,,1109,,https://uae.arablocal.com/business/view/leader-express,,,,+971 42384664,,
Al Ain Glass and Mirrors Factory,,Ajman,Ajman Industrial 2,Ajman,UAE,Al Ain Glass and Mirrors Factory,,2096,,https://uae.arablocal.com/business/view/al-ain-glass-and-mirrors-factory,,,,+971 67432179,,
Khazan,,"11, P.O. Box: 66335",Industrial Area 11,Sharjah,UAE,"Khazan is located in Sharjah, UAE. Company is working in Overseas Business, Import and Export Agents business activities.",,1104,,https://uae.arablocal.com/business/view/khazan,,,,+971 65350606 65350550,,
Al Nameer Trading Agencies Co,,Box No. 1604,Dubai Others,Dubai,UAE,"AL NAMEER TRADING AGENCIES CO. is located in Dubai, UAE. Company is working in Trading business activities.",,1099,,https://uae.arablocal.com/business/view/al-nameer-trading-agencies-co,,,,+971 3349993 3347781,,
Al Wasi Technical Service LLC,,Box No. 46486,Dubai Others,Dubai,UAE,"AL WASI TECHNICAL SERVICE LLC is located in Dubai, UAE. Company is working in Professional Services, Air Conditioning, Carpentry & Flooring, Contractors, Electromechanical Equipment Installation business activities.",,1098,,https://uae.arablocal.com/business/view/al-wasi-technical-service--llc,,,,+971 3937132 3932207,,
Al Rubaya Group,,"7, ADNIC Bldg, Khalifa,",Al Danah,Abu Dhabi,UAE,Al Rubaya Group,,1084,,https://uae.arablocal.com/business/view/al-rubaya-group,,,,+971 26272000,,
Wimpey Laboratories Dubai,,"Floor # 41, Platinum Tower, Office # 4105,",Jumeirah Lakes towers,Dubai,UAE,Wimpey Laboratories Dubai,,1071,,https://uae.arablocal.com/business/view/wimpey-laboratories-dubai,,,,+971 44410518,,
Omran Al Rawi Lawyer and Legal Consultancy,,"Floor # 10 & 26, JBC # 04, Office # 1002 & 2603, AL Sarayat Street,",Jumeirah Lakes towers,Dubai,UAE,Omran Al Rawi Lawyer and Legal Consultancy,,1061,,https://uae.arablocal.com/business/view/omran-al-rawi-lawyer-and-legal-consultancy,,,,+971 42776297,,
All Details Middle East Fz LLC,,"Floor # 3, Building # 10, Dubai Media City(DMC),",Umm Suqeim,Dubai,UAE,All Details Middle East Fz LLC,,1054,,https://uae.arablocal.com/business/view/all-details-middle-east-fz-llc,,,,+971 44484670,,
Lucky Engineering Services,,P.O Box 40432,Dubai Others,Dubai,UAE,"Lucky Engineering Services is located in Dubai, UAE. Company is working in Trading, Basic Steel Products business activities.",,1052,,https://uae.arablocal.com/business/view/lucky-engineering-services,,,,+971 5395075 5322484,,
Arab coupons,,"Tower X2, Suite 403,",Jumeirah Lakes towers,Dubai,UAE,Arab coupons,,1046,,https://uae.arablocal.com/business/view/arab-coupons,,,,+971 44179611,,
