Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Rating,Views,Fax,URL,Facebook,Instagram,Twitter
Gemini Building Materials Mussafah Abu Dhabi,+971 25541410,+971 561197955,,,"Ground Floor, Firdaus Building, Shop # 114-116, Mussafah (M-3),",Musaffah,Abu Dhabi,UAE,Gemini Building Materials Mussafah Abu Dhabi,,,7590,,https://uae.arablocal.com/business/view/gemini-building-materials-mussafah-abu-dhabi,,,
Emirates International Blocks and Interlock Factory,+971 72447555,,,,Ras Al Khaimah,Al Jazirah Al Hamra,Ras Al Khaimah,UAE,Emirates International Blocks and Interlock Factory,,,9090,,https://uae.arablocal.com/business/view/emirates-international-blocks-and-interlock-factory,,,
Emirates Ceramic Factory,+971 92223995,,,,Fujairah,Al Hayl,Fujairah,UAE,Emirates Ceramic Factory,,,4156,,https://uae.arablocal.com/business/view/emirates-ceramic-factory,,,
Schindler UAE Abu Dhabi,+971 26120000,,,,"9th Floor, Tower B - Al Saman Tower, Hamdan Street,",Abu Dhabi Industrial City,Abu Dhabi,UAE,Schindler UAE Abu Dhabi,,,3516,,https://uae.arablocal.com/business/view/schindler-uae-abu-dhabi,,,
Osool Finance Co,+971 42979250,,,,"Hor Al Anz East,",Deira,Dubai,UAE,Osool Finance Co,,,4276,,https://uae.arablocal.com/business/view/osool-finance-co,,,
Al Gouz Block Factory LLC,+971 48802880,,,,Dubai,Jebel Ali Industrial,Dubai,UAE,Al Gouz Block Factory LLC,,,2984,,https://uae.arablocal.com/business/view/al-gouz-block-factory-llc,,,
El Ezh Building Contracting LLC,+971 72221668,,,,"Floor # 4, Julphar Tower, Al Hisn Road,",Al Nakheel,Ras Al Khaimah,UAE,El Ezh Building Contracting LLC,,,2955,,https://uae.arablocal.com/business/view/el-ezh-building-contracting-llc,,,
Al Futtaim Engineering Elevators and Escalators Division Dubai,+971 42119111,,,,Dubai,Garhoud,Dubai,UAE,Al Futtaim Engineering Elevators and Escalators Division Dubai,,,3201,,https://uae.arablocal.com/business/view/al-futtaim-engineering-elevators-and-escalators-division-dubai,,,
MS Construction L.L.C,+971 44079799,,,,"Nadd Al Shiba 1,",Nad Al Sheba,Dubai,UAE,MS Construction L.L.C,,,3012,,https://uae.arablocal.com/business/view/ms-construction-l-l-c,,,
Al Shallalat Well Drilling Est Al Mushrif Abu Dhabi,+971 26429962,+971 502199952,,,"Mezzanine Floor, Building# 848, Office #01, Sheikh Rashid Bin Saeed Street,",Al Mushrif,Abu Dhabi,UAE,Al Shallalat Well Drilling Est Al Mushrif Abu Dhabi,,,3005,,https://uae.arablocal.com/business/view/al-shallalat-well-drilling-est-al-mushrif-abu-dhabi,,,
Amar Al Khaleej Construction,+971 42869966,,,,"2, Flower of Garhoud Building, 208, Al Garhoud,",Al Garhoud,Dubai,UAE,Amar Al Khaleej Construction,,,2792,,https://uae.arablocal.com/business/view/amar-al-khaleej-construction,,,
Galadari Trucks and Heavy Equipment Co Ltd LLC Mussafah 14 Abu Dhabi,+971 25559700,,,,"Mussafah Industrial Area,",Mussafah 14,Abu Dhabi,UAE,Galadari Trucks and Heavy Equipment Co Ltd LLC Mussafah 14 Abu Dhabi,,,2644,,https://uae.arablocal.com/business/view/galadari-trucks-and-heavy-equipment-co-ltd-llc-mussafah-14-abu-dhabi,,,
Nafees Bastan General Trading LLC,+971 43352355,,,,"ToufiqY Building, Flat# 2, Manama Road, Ras Al Khor Industrial Area # 2,",Ras Al Khor,Dubai,UAE,Nafees Bastan General Trading LLC,,,2788,,https://uae.arablocal.com/business/view/nafees-bastan-general-trading-llc,,,
Noor Al Sahara General Contracting L.L.C,+971 25591901,,,,Abu Dhabi,ICAD 3,Abu Dhabi,UAE,Noor Al Sahara General Contracting L.L.C,,,2723,,https://uae.arablocal.com/business/view/noor-al-sahara-general-contracting-l-l-c,,,
Abu Dhabi National Cement Factory,+971 25503766,,,,"Ground Floor,",I CAD 1,Abu Dhabi,UAE,Abu Dhabi National Cement Factory,,,2688,,https://uae.arablocal.com/business/view/abu-dhabi-national-cement-factory,,,
Al Jazeera Factory for Const Materials AAC Thermalite Blocks,+971 25822768,,,,"Al Ain Truck Road, Industrial Area,",Al Mafraq,Abu Dhabi,UAE,Al Jazeera Factory for Const Materials AAC Thermalite Blocks,,,2525,,https://uae.arablocal.com/business/view/al-jazeera-factory-for-const-materials-aac-thermalite-blocks,,,
Mohamed Abdulrahman Al-Bahar Sharjah,+971 65433555,,,,Sharjah,Industrial Area 3,Sharjah,UAE,Mohamed Abdulrahman Al-Bahar Sharjah,,,2529,,https://uae.arablocal.com/business/view/mohamed-abdulrahman-al-bahar-sharjah,,,
A M V I N Construction LLC,+971 43883928,,,,"Al Quoz 4,",Al Quoz 4,Dubai,UAE,A M V I N Construction LLC,,,2426,,https://uae.arablocal.com/business/view/a-m-v-i-n-construction-llc,,,
Al Nakheel Industrial Marble,+971 72223486,,,,Ras Al Khaimah,Al Sall,Ras Al Khaimah,UAE,Al Nakheel Industrial Marble,,,2461,,https://uae.arablocal.com/business/view/al-nakheel-industrial-marble,,,
Abdul Aziz Mohd Al Majid Est,+971 65564447,,,,Sharjah,Al Majaz 3,Sharjah,UAE,Abdul Aziz Mohd Al Majid Est,,,2399,,https://uae.arablocal.com/business/view/abdul-aziz-mohd-al-majid-est,,,
Almoftah Aldhabi Building Contracting L.L.C,+971 42507444,,,,"3, Nissan Showroom, 310, Al Ittihad Road, Port Saeed,",Deira,Dubai,UAE,Almoftah Aldhabi Building Contracting L.L.C,,,2262,,https://uae.arablocal.com/business/view/almoftah-aldhabi-building-contracting-l-l-c,,,
Abu Dhabi Precast Concrete Plant,+971 37838355,+971 521875644,,,"Ground Floor, Truck Road,",New Industrial Area,Abu Dhabi,UAE,Abu Dhabi Precast Concrete Plant,,,2378,,https://uae.arablocal.com/business/view/abu-dhabi-precast-concrete-plant,,,
Al Satari Trading Est,+971 37211611,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Satari Trading Est,,,2255,,https://uae.arablocal.com/business/view/al-satari-trading-est,,,
Al Amana Marble and Granite Factory,+971 67407950,,,,"Ground Floor,",Al Rashidiya 1,Ajman,UAE,Al Amana Marble and Granite Factory,,,2245,,https://uae.arablocal.com/business/view/al-amana-marble-and-granite-factory,,,
Emirates Precast Fences Factory Aswar,+971 25500911,,,,"Mussafah,",Al Selmiyyah,Abu Dhabi,UAE,Emirates Precast Fences Factory Aswar,,0,2254,,https://uae.arablocal.com/business/view/emirates-precast-fences-factory-aswar,,,
Abdul Aziz Al Majid Est,+971 42664116,,,,"Al Muraqqabat,",Deira,Dubai,UAE,Abdul Aziz Al Majid Est,,,2164,,https://uae.arablocal.com/business/view/abdul-aziz-al-majid-est,,,
Al Tamayoz Contracting Co L.L.C,+971 43520985,,,,"1st Floor, Unimix, 102-104, Sheikh Zayed Rd,",Al Quoz 3,Dubai,UAE,Al Tamayoz Contracting Co L.L.C,,,2159,,https://uae.arablocal.com/business/view/al-tamayoz-contracting-co-l-l-c,,,
Al Khalidiya Concrete Readymix,+971 37213070,,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Khalidiya Concrete Readymix,,,2099,,https://uae.arablocal.com/business/view/al-khalidiya-concrete-readymix,,,
Tamil Sandhai Supermarket L L C,+971 25500911,,,,Abu Dhabi,I CAD 1,Abu Dhabi,UAE,Tamil Sandhai Supermarket L L C,,,2147,,https://uae.arablocal.com/business/view/tamil-sandhai-supermarket-l-l-c,,,
Abu Faisal Auto Motive Parts LLC Mussafah Abu Dhabi,+971 25555414,,,,"Shop #3, Ground Floor, Plot #57, Mussafah (M-11),",Musaffah,Abu Dhabi,UAE,Abu Faisal Auto Motive Parts LLC Mussafah Abu Dhabi,,,2099,,https://uae.arablocal.com/business/view/abu-faisal-auto-motive-parts-llc-mussafah-abu-dhabi,,,
Al Muhairy General Contracting Co Industrial Area Abu Dhabi,+971 26334100,,,,Abu Dhabi,Industrial Area,Abu Dhabi,UAE,Al Muhairy General Contracting Co Industrial Area Abu Dhabi,,,2083,,https://uae.arablocal.com/business/view/al-muhairy-general-contracting-co-industrial-area-abu-dhabi,,,
Abu Faisal Automotive Parts LLC Sharjah,+971 65390882,,,,"Ground Floor, Office # 4, Caterpillar Road,",Industrial Area,Sharjah,UAE,Abu Faisal Automotive Parts LLC Sharjah,,,2135,,https://uae.arablocal.com/business/view/abu-faisal-automotive-parts-llc-sharjah,,,
Ajman Cement Co,+971 67481999,,,,Ajman,Al Jerf Industrial 3,Ajman,UAE,Ajman Cement Co,,,2075,,https://uae.arablocal.com/business/view/ajman-cement-co,,,
Best Block and Precast Products Factory,+971 67439332,,,,Ajman,Al Jerf Industrial 1,Ajman,UAE,Best Block and Precast Products Factory,,,2049,,https://uae.arablocal.com/business/view/best-block-and-precast-products-factory,,,
Al Yamama Pile Foundation LLC,+971 67494199,,,,Ajman,Al Muwaihat 2,Ajman,UAE,Al Yamama Pile Foundation LLC,,,2015,,https://uae.arablocal.com/business/view/al-yamama-pile-foundation-llc,,,
Abr Al Khaleej Construction,+971 26711881,,,,Abu Dhabi,Al Danah,Abu Dhabi,UAE,Abr Al Khaleej Construction,,,2031,,https://uae.arablocal.com/business/view/abr-al-khaleej-construction,,,
Abdul Latif Mohammed Al Zarooni Contracting Co,+971 67656236,,,,Umm Al Quwain,Al Hawiyah,Umm Al Quwain,UAE,Abdul Latif Mohammed Al Zarooni Contracting Co,,,2016,,https://uae.arablocal.com/business/view/abdul-latif-mohammed-al-zarooni-contracting-co,,,
Ghantoot Transport and General Contracting LLC Al Ajban Abu Dhabi,+971 26214466,,,,Abu Dhabi,Al Ajban,Abu Dhabi,UAE,Ghantoot Transport and General Contracting LLC Al Ajban Abu Dhabi,,,1996,,https://uae.arablocal.com/business/view/ghantoot-transport-and-general-contracting-llc-al-ajban-abu-dhabi,,,
Dafco Concrete Products Inds Co WLL,+971 68825447,,,,"Dhaid,",Dhaid,Sharjah,UAE,Dafco Concrete Products Inds Co WLL,,,1938,,https://uae.arablocal.com/business/view/dafco-concrete-products-inds-co-wll,,,
Al Ain General Contracting Co LLC ALGECO Companies Camp Abu Dhabi,+971 37825606,,,,"Mazyad Road,",Companies camps,Abu Dhabi,UAE,Al Ain General Contracting Co LLC ALGECO Companies Camp Abu Dhabi,,,1993,,https://uae.arablocal.com/business/view/al-ain-general-contracting-co-llc-algeco-companies-camp-abu-dhabi,,,
