Name,Phone_1,Phone_2,Email,Location,Area,Governorate,Country,About,Website,Views,URL
Al Haram Carton Ind LLC,+971 65334469,,,Sharjah,Industrial Area 1,Sharjah,UAE,Al Haram Carton Ind LLC,,6916,https://uae.arablocal.com/business/view/al-haram-carton-ind-llc
Pasco Paving Stones Co LLC Mussafah Abu Dhabi,+971 25591088,,,"Mezannine Floor, Building #179, Office #M10, Mussafah (M-10),",Musaffah,Abu Dhabi,UAE,Pasco Paving Stones Co LLC Mussafah Abu Dhabi,,5210,https://uae.arablocal.com/business/view/pasco-paving-stones-co-llc-mussafah-abu-dhabi
Pepsi-Cola International Ltd,+971 43393000,,,"Al Quoz First,",Al Quoz,Dubai,UAE,Pepsi-Cola International Ltd,,4838,https://uae.arablocal.com/business/view/pepsi-cola-international-ltd
Al Kharashi Laundry Equipments,+971 42677600,,,"Ground Floor, Al Kharashi Laundry Equipment Building, Shed # 5, Amman Street,",Al Qusais,Dubai,UAE,Al Kharashi Laundry Equipments,,4569,https://uae.arablocal.com/business/view/al-kharashi-laundry-equipments
Al Ain National Juice and Refreshment Company LLC,+971 37216555,,,"Al Rwaidhat,",Sanaiya,Abu Dhabi,UAE,Al Ain National Juice and Refreshment Company LLC,,4498,https://uae.arablocal.com/business/view/al-ain-national-juice-and-refreshment-company-llc
Abu Dhabi Fibre Glass Factory,+971 25511444,,,Abu Dhabi,Mussafah Industrial Area mw 5,Abu Dhabi,UAE,Abu Dhabi Fibre Glass Factory,,4435,https://uae.arablocal.com/business/view/abu-dhabi-fibre-glass-factory
Golden Paper Cups Manuf. Co. L.L.C,+971 67489941,,,"Office # 1,",New Industrial Area,Ajman,UAE,Golden Paper Cups Manuf. Co. L.L.C,,4250,https://uae.arablocal.com/business/view/golden-paper-cups-manuf-co-l-l-c
Al Guthmi Trading Sharjah,+971 65146999,,,"Maliha Road,",Industrial Area 17,Sharjah,UAE,Al Guthmi Trading Sharjah,,4193,https://uae.arablocal.com/business/view/al-guthmi-trading-sharjah
Lotus General Trading Co LLC,+971 43536862,,,Dubai,Al Souk Al Kabeer,Dubai,UAE,Lotus General Trading Co LLC,,3773,https://uae.arablocal.com/business/view/lotus-general-trading-co-llc
Al Rams Scrap Co,+971 72238904,,,Ras Al Khaimah,Al Ghubb,Ras Al Khaimah,UAE,Al Rams Scrap Co,,3472,https://uae.arablocal.com/business/view/al-rams-scrap-co
Jebel Ali Carton Factory Inc,+971 48816274,,,"Jebel Ali Port Zone,",Jebel Ali,Dubai,UAE,Jebel Ali Carton Factory Inc,,3297,https://uae.arablocal.com/business/view/jebel-ali-carton-factory-inc
Al Ameer Keys and Locks Al Khalidiyah Abu Dhabi,+971 26219090,,,"Ground Floor, Mubarak Abdulla Al Muraiki Building, Khalidiya Street,",Al Khalidiyah,Abu Dhabi,UAE,Al Ameer Keys and Locks Al Khalidiyah Abu Dhabi,,3218,https://uae.arablocal.com/business/view/al-ameer-keys-and-locks-al-khalidiyah-abu-dhabi
Al Masdar Al Awal Metal Scrap Trading LLC,+971 65344471,,,"Industrial Area 10,",Industrial Area,Sharjah,UAE,Al Masdar Al Awal Metal Scrap Trading LLC,,3113,https://uae.arablocal.com/business/view/al-masdar-al-awal-metal-scrap-trading-llc
Al Jallaf Carton Boxes Manufacturing LLC,+971 67490418,,,"Industrial Area# 1,",Industrial Area# 1,Ajman,UAE,Al Jallaf Carton Boxes Manufacturing LLC,,3074,https://uae.arablocal.com/business/view/al-jallaf-carton-boxes-manufacturing-llc
Dayal Metal Containers Factory LLC,+971 67430611,+971 567501659,,"Ground Floor,",New Industrial Area,Ajman,UAE,Dayal Metal Containers Factory LLC,,3040,https://uae.arablocal.com/business/view/dayal-metal-containers-factory-llc
Union Chemical Factory Abu dhabi,+971 25502026,,,"Ground Floor, ICAD Street,",I CAD 1,Abu Dhabi,UAE,Union Chemical Factory Abu dhabi,,2997,https://uae.arablocal.com/business/view/union-chemical-factory-abu-dhabi
Arrow Metals and Scrap Trading LLC,+971 25575881,+971 506349984,,"Mussafah (M-17),",Musaffah,Abu Dhabi,UAE,Arrow Metals and Scrap Trading LLC,,2902,https://uae.arablocal.com/business/view/arrow-metals-and-scrap-trading-llc
Agricultural Materials Co Ltd Al Ain Abu Dhabi,+971 37641064,,,"B F, Arab Bank Building,",Al Ain,Abu Dhabi,UAE,Agricultural Materials Co Ltd Al Ain Abu Dhabi,,2761,https://uae.arablocal.com/business/view/agricultural-materials-co-ltd-al-ain-abu-dhabi
Al Baha Trading Est,+971 26332115,+971 506132543,,"Ground Floor, Dana Masaoud Tower, Najda Street,",Al Danah,Abu Dhabi,UAE,Al Baha Trading Est,,2749,https://uae.arablocal.com/business/view/al-baha-trading-est
Stars Poly Storage Tanks Factory LLC Al Quoz Dubai,+971 43476200,+971 504696964,,"Warehouse, 22nd Street,",Al Quoz,Dubai,UAE,Stars Poly Storage Tanks Factory LLC Al Quoz Dubai,,2685,https://uae.arablocal.com/business/view/stars-poly-storage-tanks-factory-llc-al-quoz-dubai
JSW Steel Limited DMCC,+971 44385286,,,"Jumeirah Bay Tower X3, Unit # 309,",Jumeirah Lakes towers,Dubai,UAE,JSW Steel Limited DMCC,,2616,https://uae.arablocal.com/business/view/jsw-steel-limited-dmcc
Al Bassam RAK for Tanks LLC,+971 72221026,,,"Al Nakheel Street, Dafan Al Nakheel,",Dafan Al Nakheel,Ras Al Khaimah,UAE,Al Bassam RAK for Tanks LLC,,2612,https://uae.arablocal.com/business/view/al-bassam-rak-for-tanks-llc
Packart Packing and Packaging Ajman,+971 67431166,,,"Shed# 3 & 4, Lootah Street,",New Industrial Area,Ajman,UAE,Packart Packing and Packaging Ajman,,2605,https://uae.arablocal.com/business/view/packart-packing-and-packaging-ajman
Ahmad Talha Carton Boxes Factory LLC,+971 65384814,+971 503265409,,"Warehouse #54,",Industrial Area 12,Sharjah,UAE,Ahmad Talha Carton Boxes Factory LLC,,2506,https://uae.arablocal.com/business/view/ahmad-talha-carton-boxes-factory-llc
Mohammed Ibrahim Haji Aluminium Trading,+971 42691523,,,"Al Khabaisi,",Deira,Dubai,UAE,Mohammed Ibrahim Haji Aluminium Trading,,2496,https://uae.arablocal.com/business/view/mohammed-ibrahim-haji-aluminium-trading
Al Wadi Sanitary Wares Company LLC Mussafah Abu Dhabi,+971 25551941,,,"Mussafah (M-9),",Musaffah,Abu Dhabi,UAE,Al Wadi Sanitary Wares Company LLC Mussafah Abu Dhabi,,2463,https://uae.arablocal.com/business/view/al-wadi-sanitary-wares-company-llc-mussafah-abu-dhabi
Sawas Kitchen Equipment Co LLC Sharjah,+971 65554410,,,"Ground Floor, Sawas kitchen & Bakeries Equip Building, Jamal Abdel Nasser Road, Al Majaz 2,",Al Majaz District,Sharjah,UAE,Sawas Kitchen Equipment Co LLC Sharjah,,2447,https://uae.arablocal.com/business/view/sawas-kitchen-equipment-co-llc-sharjah
Al Abbar Glass and Trading Co,+971 43331588,,,Dubai,Ras Al Khor Industrial Area 2,Dubai,UAE,Al Abbar Glass and Trading Co,,2363,https://uae.arablocal.com/business/view/al-abbar-glass-and-trading-co
Cosmoplast Industrial Co LLC,+971 65331264,,,Sharjah,Industrial Area 1,Sharjah,UAE,Cosmoplast Industrial Co LLC,,2347,https://uae.arablocal.com/business/view/cosmoplast-industrial-co-llc
Al Fajer Detergent Industries Co LLC,+971 67436675,,,Ajman,Ajman Industrial 1,Ajman,UAE,Al Fajer Detergent Industries Co LLC,,2291,https://uae.arablocal.com/business/view/al-fajer-detergent-industries-co-llc
Al Sharqia Gypsum and Ceramic Factory,+971 37213433,,,Abu Dhabi,Al Ain,Abu Dhabi,UAE,Al Sharqia Gypsum and Ceramic Factory,,2274,https://uae.arablocal.com/business/view/al-sharqia-gypsum-and-ceramic-factory
Abdul Aziz Jassem Textiles LLC,+971 42353947,,,"Ground Floor, Al Buteen Building, Shop # 11, Murshid Bazaar Road,",Deira,Dubai,UAE,Abdul Aziz Jassem Textiles LLC,,2254,https://uae.arablocal.com/business/view/abdul-aziz-jassem-textiles-llc
Al Bayan Kitchen Equipment LLC Sharjah,+971 65550991,,,Sharjah,Industrial Area 4,Sharjah,UAE,Al Bayan Kitchen Equipment LLC Sharjah,,2254,https://uae.arablocal.com/business/view/al-bayan-kitchen-equipment-llc-sharjah
Al Bahar Caterpillar,+971 65433555,,,"Al-Wasit Street,",Industrial Area 3,Sharjah,UAE,Al Bahar Caterpillar,,2222,https://uae.arablocal.com/business/view/al-bahar-caterpillar
Atlas Plastic Factory LLC,+971 43479793,,,"Al Quoz Industrial,",Al Quoz,Dubai,UAE,Atlas Plastic Factory LLC,,2197,https://uae.arablocal.com/business/view/atlas-plastic-factory-llc
International Rubber Company LLC,+971 48859880,,,"Ground Floor, Warehouse, Dubai Investment Park (DIP) First,",Jebel Ali,Dubai,UAE,International Rubber Company LLC,,2180,https://uae.arablocal.com/business/view/international-rubber-company-llc
Al Khowahir Chemicals Mat Trading LLC Sharjah,+971 65424694,,,"Ground Floor, Salah Bin Salah Building, Caterpillar Street, Industrial Area 2,",Industrial Area,Sharjah,UAE,Al Khowahir Chemicals Mat Trading LLC Sharjah,,2178,https://uae.arablocal.com/business/view/al-khowahir-chemicals-mat-trading-llc-sharjah
