Name,Email,Location,Area,Governorate,Country,About,Website,Views,Fax,URL,Facebook,Instagram,Phone,Twitter
Al Haram Carton Ind LLC,,Sharjah,Industrial Area 1,Sharjah,UAE,Al Haram Carton Ind LLC,,6916,,https://uae.arablocal.com/business/view/al-haram-carton-ind-llc,,,+971 65334469,
Pasco Paving Stones Co LLC Mussafah Abu Dhabi,,"Mezannine Floor, Building #179, Office #M10, Mussafah (M-10),",Musaffah,Abu Dhabi,UAE,Pasco Paving Stones Co LLC Mussafah Abu Dhabi,,5210,,https://uae.arablocal.com/business/view/pasco-paving-stones-co-llc-mussafah-abu-dhabi,,,+971 25591088 25591098,
Pepsi-Cola International Ltd,,"Al Quoz First,",Al Quoz,Dubai,UAE,Pepsi-Cola International Ltd,,4838,,https://uae.arablocal.com/business/view/pepsi-cola-international-ltd,,,+971 43393000,
Al Kharashi Laundry Equipments,,"Ground Floor, Al Kharashi Laundry Equipment Building, Shed # 5, Amman Street,",Al Qusais,Dubai,UAE,Al Kharashi Laundry Equipments,,4569,,https://uae.arablocal.com/business/view/al-kharashi-laundry-equipments,,,+971 42677600 42677668,
Abu Dhabi Fibre Glass Factory,,Abu Dhabi,Mussafah Industrial Area mw 5,Abu Dhabi,UAE,Abu Dhabi Fibre Glass Factory,,4435,,https://uae.arablocal.com/business/view/abu-dhabi-fibre-glass-factory,,,+971 25511444,
Al Ain National Juice and Refreshment Company LLC,,"Al Rwaidhat,",Sanaiya,Abu Dhabi,UAE,Al Ain National Juice and Refreshment Company LLC,,4498,,https://uae.arablocal.com/business/view/al-ain-national-juice-and-refreshment-company-llc,,,+971 37216555 337215208,
Golden Paper Cups Manuf. Co. L.L.C,,"Office # 1,",New Industrial Area,Ajman,UAE,Golden Paper Cups Manuf. Co. L.L.C,,4250,,https://uae.arablocal.com/business/view/golden-paper-cups-manuf-co-l-l-c,,,+971 67489941 67489942,
Al Guthmi Trading Sharjah,,"Maliha Road,",Industrial Area 17,Sharjah,UAE,Al Guthmi Trading Sharjah,,4193,,https://uae.arablocal.com/business/view/al-guthmi-trading-sharjah,,,+971 65146999 65354199,
Lotus General Trading Co LLC,,Dubai,Al Souk Al Kabeer,Dubai,UAE,Lotus General Trading Co LLC,,3773,,https://uae.arablocal.com/business/view/lotus-general-trading-co-llc,,,+971 43536862,
Al Rams Scrap Co,,Ras Al Khaimah,Al Ghubb,Ras Al Khaimah,UAE,Al Rams Scrap Co,,3472,,https://uae.arablocal.com/business/view/al-rams-scrap-co,,,+971 72238904,
Al Ameer Keys and Locks Al Khalidiyah Abu Dhabi,,"Ground Floor, Mubarak Abdulla Al Muraiki Building, Khalidiya Street,",Al Khalidiyah,Abu Dhabi,UAE,Al Ameer Keys and Locks Al Khalidiyah Abu Dhabi,,3218,,https://uae.arablocal.com/business/view/al-ameer-keys-and-locks-al-khalidiyah-abu-dhabi,,,+971 26219090 26310007,
Dayal Metal Containers Factory LLC,,"Ground Floor,",New Industrial Area,Ajman,UAE,Dayal Metal Containers Factory LLC,,3040,,https://uae.arablocal.com/business/view/dayal-metal-containers-factory-llc,,,+971 67430611; +971 567501659 67480911,
Union Chemical Factory Abu dhabi,,"Ground Floor, ICAD Street,",I CAD 1,Abu Dhabi,UAE,Union Chemical Factory Abu dhabi,,2997,,https://uae.arablocal.com/business/view/union-chemical-factory-abu-dhabi,,,+971 25502026 25502027,
Agricultural Materials Co Ltd Al Ain Abu Dhabi,,"B F, Arab Bank Building,",Al Ain,Abu Dhabi,UAE,Agricultural Materials Co Ltd Al Ain Abu Dhabi,,2761,,https://uae.arablocal.com/business/view/agricultural-materials-co-ltd-al-ain-abu-dhabi,,,+971 37641064 27662259,
Arrow Metals and Scrap Trading LLC,,"Mussafah (M-17),",Musaffah,Abu Dhabi,UAE,Arrow Metals and Scrap Trading LLC,,2902,,https://uae.arablocal.com/business/view/arrow-metals-and-scrap-trading-llc,,,+971 25575881; +971 506349984 25575884,
Jebel Ali Carton Factory Inc,,"Jebel Ali Port Zone,",Jebel Ali,Dubai,UAE,Jebel Ali Carton Factory Inc,,3297,,https://uae.arablocal.com/business/view/jebel-ali-carton-factory-inc,,,+971 48816274,
Al Baha Trading Est,,"Ground Floor, Dana Masaoud Tower, Najda Street,",Al Danah,Abu Dhabi,UAE,Al Baha Trading Est,,2749,,https://uae.arablocal.com/business/view/al-baha-trading-est,,,+971 26332115; +971 506132543 26391187,
Al Masdar Al Awal Metal Scrap Trading LLC,,"Industrial Area 10,",Industrial Area,Sharjah,UAE,Al Masdar Al Awal Metal Scrap Trading LLC,,3113,,https://uae.arablocal.com/business/view/al-masdar-al-awal-metal-scrap-trading-llc,,,+971 65344471,
Al Jallaf Carton Boxes Manufacturing LLC,,"Industrial Area# 1,",Industrial Area# 1,Ajman,UAE,Al Jallaf Carton Boxes Manufacturing LLC,,3074,,https://uae.arablocal.com/business/view/al-jallaf-carton-boxes-manufacturing-llc,,,+971 67490418 67490419,
Stars Poly Storage Tanks Factory LLC Al Quoz Dubai,,"Warehouse, 22nd Street,",Al Quoz,Dubai,UAE,Stars Poly Storage Tanks Factory LLC Al Quoz Dubai,,2685,,https://uae.arablocal.com/business/view/stars-poly-storage-tanks-factory-llc-al-quoz-dubai,,,+971 43476200; +971 504696964 43476232,
JSW Steel Limited DMCC,,"Jumeirah Bay Tower X3, Unit # 309,",Jumeirah Lakes towers,Dubai,UAE,JSW Steel Limited DMCC,,2616,,https://uae.arablocal.com/business/view/jsw-steel-limited-dmcc,,,+971 44385286 44385297,
