Name,Phone_1,Phone_2,Phone_3,Email,Location,Area,Governorate,Country,About,Website,Views,URL,Facebook,Instagram,LinkedIn,Phone,Twitter,YouTube
Best Food LLC | Oman | Oman Local,,,,,Opp Anas Bin Malik School Dhofar -,Salalah,,Oman,Best Food LLC,,2224,https://oman.arablocal.com/business/view/best-food-llc,,,,+968 23298072 23290987,,
International Tourism Restaurant Co | Oman | Oman Local,,,,hamadreda2003@yahoo.com,Kfc Sohar before sohar roundabuot in oman oil Sohar -,Ruwi,,Oman,International Tourism Restaurant Co,,2278,https://oman.arablocal.com/business/view/international-tourism-restaurant-co,,,,+968 24477714,,
Bur Al Hickman Hospitality | Oman | Oman Local,,,,armida@buralhickman.com,Muscat Al Azaiba -,Azaiba,,Oman,Bur Al Hickman Hospitality,,1830,https://oman.arablocal.com/business/view/bur-al-hickman-hospitality,,,,+968 24507077,,
Abraj Al Madinah Modern Trade And Cont | Oman | Oman Local,,,,issa.harmi@gmail.com,Al Gubra -,Al Harthy Complex,,Oman,Abraj Al Madinah Modern Trade And Cont,,1849,https://oman.arablocal.com/business/view/abraj-al-madinah-modern-trade-and-cont,,,,+968 24810057,,
Said Bin Naser Bin Abdullah Almaaeni For Trading | Oman | Oman Local,,,,,Al Suwaiq -,Al Suwaiq,,Oman,Said Bin Naser Bin Abdullah Almaaeni For Trading,,1639,https://oman.arablocal.com/business/view/said-bin-naser-bin-abdullah-almaaeni-for-trading,,,,+968 26712137,,
Abu Mana Al Shehhi Trade Est | Oman | Oman Local,,,,,Khasab In Lima Area Khasab -,Khasab,,Oman,Abu Mana Al Shehhi Trade Est,,1607,https://oman.arablocal.com/business/view/abu-mana-al-shehhi-trade-est,,,,+968 26735286,,
Ateen Restaurants For Popualr Food | Oman | Oman Local,,,,,Salalah Dhofar -,Salalah,,Oman,Ateen Restaurants For Popualr Food,,3723,https://oman.arablocal.com/business/view/ateen-restaurants-for-popualr-food,,,,+968 23294413 23296528,,
Al Badiyeh Restaurant | Oman | Oman Local,,,,,Near Post Office Muscat -,Muscat,,Oman,Al Badiyeh Restaurant,,2453,https://oman.arablocal.com/business/view/al-badiyeh-restaurant,,,,+968 24736068 24492268,,
Chinese Waterfall Restaurant | Oman | Oman Local,,,,,Salalah Al Wasta Dhofar -,Salalah,,Oman,Chinese Waterfall Restaurant,,3357,https://oman.arablocal.com/business/view/chinese-waterfall-restaurant,,,,+968 23289844 23289835,,
Midas Technical Trading Company LLC | Oman | Oman Local,,,,m.al_hosni@yahoo.com,North Al Mawalah,Al Seeb,,Oman,Midas Technical Trading Company LLC,,3141,https://oman.arablocal.com/business/view/midas-technical-trading-company-llc,,,,+968 24535151,,
Al Haikal Restaurant Pakistani | Oman | Oman Local,,,,,"Near Masjid Qaboos, Muttrah Al Kubra -",Ruwi,,Oman,Al Haikal Restaurant Pakistani,,1588,https://oman.arablocal.com/business/view/al-haikal-restaurant-pakistani,,,,+968 24700281,,
Abo Al Jalanda Al Hadhrami Trade | Oman | Oman Local,,,,,Nakhal -Bab Al Dhufur Area Nakhal -,Nakhal,,Oman,Abo Al Jalanda Al Hadhrami Trade,,1534,https://oman.arablocal.com/business/view/abo-al-jalanda-al-hadhrami-trade,,,,+968 26780015 26780015,,
Tilal Atin Restaurant For Food Popular | Oman | Oman Local,,,,jn.alabri@gmail.com,ALmuataza Dhofar -,Salalah,,Oman,Tilal Atin Restaurant For Food Popular,,2427,https://oman.arablocal.com/business/view/tilal-atin-restaurant-for-food-popular,,,,+968 23294413,,
Abu Nabil Trading | Oman | Oman Local,,,,,Opp Bahwan Building Material Al Wadi -,Al Wadi Al Kabir,,Oman,Abu Nabil Trading,,2377,https://oman.arablocal.com/business/view/abu-nabil-trading,,,,+968 24814487 24814487,,
Antakya Restaurant Al Wakrah,,,,,Al Wakrah,,,Qatar,Antakya Restaurant Al Wakrah,,3023,https://qatar.arablocal.com/business/view/antakya-restaurant-al-wakrah,,,,+974 44647799,,
Al Danah Trading And Contracting Co,,,,,"Souq Najd, Salwa Rd P.O.Box 2044",,,Qatar,Al Danah Trading And Contracting Co,,2943,https://qatar.arablocal.com/business/view/al-danah-trading-and-contracting-co,,,,+974 44329777; +974 55518200 44329666,,
Al Jassim Group,,,,,"15th Floor, Al Jassim TowerSuhaim Bin Hamad StreetC-Ring Road, Doha, Qatar P.O.Box 790",,,Qatar,Al Jassim Group,,3202,https://qatar.arablocal.com/business/view/al-jassim-group,,,,+974 44329363; +974 44466222 44329365,,
Al Shaibani Restaurant And Makhbazah,,,,,Unnamed Road,,,Qatar,Al Shaibani Restaurant And Makhbazah,,2432,https://qatar.arablocal.com/business/view/al-shaibani-restaurant-and-makhbazah,,,,+974 44761980,,
Al Naseem Kitchen,,,,,"Unnamed Road Umm ?al?l, Umm ?al?l 'Al?",,,Qatar,Al Naseem Kitchen,,2665,https://qatar.arablocal.com/business/view/al-naseem-kitchen,,,,+974 50811177,,
Abu Saif National Trade Est | Oman | Oman Local,,,,,Area :,Shinas,,Oman,Abu Saif National Trade Est,,1528,https://oman.arablocal.com/business/view/abu-saif-national-trade-est,,,,+968 26747227 26747227,,
Grill House Co LLC Hotel And Restaurant | Oman | Oman Local,,,,grillhousegroup@gmail.com,Near Centre Point Madinat Al -,Al Rumays,,Oman,Grill House Co LLC Hotel And Restaurant,,1456,https://oman.arablocal.com/business/view/grill-house-co-llc-hotel-and-restaurant,,,,+968 24605663,,
Soha Restaurant | Oman | Oman Local,,,,,Near Zawawi Mosque Al Khuwair -,Al Khuwiar,,Oman,Soha Restaurant,,1257,https://oman.arablocal.com/business/view/soha-restaurant,,,,+968 24479012 24479012,,
Maryam Al Fouri Trading | Oman | Oman Local,,,,,Muscat -,Muscat,,Oman,Maryam Al Fouri Trading,,1376,https://oman.arablocal.com/business/view/maryam-al-fouri-trading,,,,+968 24736151,,
North Star Technical Services LLC | Oman | Oman Local,,,,aboo-ali@live.com,Sohar -,Falaj Al Qabail,,Oman,North Star Technical Services LLC,,1422,https://oman.arablocal.com/business/view/north-star-technical-services-llc,,,,+968 26868984,,
Abu Abdulaziz Al Mumtaza Trade Co | Oman | Oman Local,,,,,Shinas -,Shinas,,Oman,Abu Abdulaziz Al Mumtaza Trade Co,,1262,https://oman.arablocal.com/business/view/abu-abdulaziz-al-mumtaza-trade-co,,,,+968 26747227 26747227,,
Aladdin Restaurant LLC,,,,,Al Khuwair -,Ruwi,,Oman,Aladdin Restaurant LLC,,1232,https://oman.arablocal.com/business/view/aladdin-restaurant-llc,,,,+968 24799975,,
Al Seeb Waves Shopping Center Asso,,,,,Al Seeb -,Tiwi Atair,,Oman,Al Seeb Waves Shopping Center Asso,,1242,https://oman.arablocal.com/business/view/al-seeb-waves-shopping-center-asso,,,,+968 24420181,,
Abu Retaj Al Harthi Trade,,,,,Suq Al Seeb -,Hay Al Mina Jibroo,,Oman,Abu Retaj Al Harthi Trade,,1296,https://oman.arablocal.com/business/view/abu-retaj-al-harthi-trade,,,,+968 24708348,,
Abu Abdulaziz Al Rashdi Trade,,,,,Ruwi -,Nizwa,,Oman,Abu Abdulaziz Al Rashdi Trade,,1250,https://oman.arablocal.com/business/view/abu-abdulaziz-al-rashdi-trade,,,,+968 25410600,,
Al Duqm New National LLC,,,,abduduqum@yahoo.com,AL Duqm Al Sai Al Duqm -,Al Kamil And Al Wafi,,Oman,Al Duqm New National LLC,,1216,https://oman.arablocal.com/business/view/al-duqm-new-national-llc,,,,+968 25215121,,
Amlak Al Qurum LLC,,,,adill@richouxoman.com,Inside The Opera Al Qurum -,Qurum City Center,,Oman,Amlak Al Qurum LLC,,1201,https://oman.arablocal.com/business/view/amlak-al-qurum-llc,,,,+968 22005165,,
Abo Salim Al Gahwari Trading,,,,,Bidaya - Suq Al Suwaiq -,Bidaya,,Oman,Abo Salim Al Gahwari Trading,,1172,https://oman.arablocal.com/business/view/abo-salim-al-gahwari-trading,,,,+968 26709709,,
Blue Horizon International,,,,aalshaikhani@gmail.com,Ghala Heights Galah -,Seeb City Center,,Oman,Blue Horizon International,,1155,https://oman.arablocal.com/business/view/blue-horizon-international,,,,+968 24216943,,
Shuaa Majan National LLC,,,,,Sohar -,Falaj Al Qabail,,Oman,Shuaa Majan National LLC,,1133,https://oman.arablocal.com/business/view/shuaa-majan-national-llc,,,,+968 26753033,,
